Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.474	0.000	432.981	20.000	5416383.000	-27810080.000
2.858	0.000	432.981	21.363	5080470.000	-28361140.000
4.157	0.000	432.983	22.819	4616942.000	-26674700.000
5.401	0.000	432.985	24.375	4202870.000	-25125290.000
6.546	0.000	432.988	26.036	3812805.000	-23656410.000
7.626	0.000	432.990	27.811	3464983.000	-22284750.000
8.640	0.000	432.992	29.707	3132350.000	-20972080.000
9.593	0.000	432.997	31.732	2829787.000	-19741600.000
10.491	0.000	433.011	33.895	2535869.000	-18553990.000
11.337	0.000	433.022	36.205	2336553.000	-17420060.000
12.143	0.000	433.031	38.673	2119766.000	-16384130.000
13.086	0.000	433.040	41.309	1890880.000	-15403800.000
13.976	0.000	433.047	44.125	1677010.000	-14491650.000
14.821	0.000	433.053	47.133	1497052.000	-13606270.000
15.608	0.000	433.058	50.346	1328887.000	-12807040.000
16.347	0.000	433.062	53.777	1232142.000	-12027660.000
17.044	0.000	433.065	57.443	1144341.000	-11301250.000
17.701	0.000	433.068	61.359	1054652.000	-10618420.000
18.321	0.000	433.070	65.541	952160.000	-9963431.000
18.908	0.000	433.071	70.009	868836.100	-9362200.000
19.461	0.000	433.073	74.781	783286.200	-8786329.000
19.983	0.000	433.073	79.878	713625.700	-8237557.000
20.478	0.000	433.074	85.323	644732.700	-7739250.000
20.945	0.000	433.075	91.139	586881.100	-7261307.000
21.387	0.000	433.075	97.352	534503.800	-6816201.000
21.819	0.000	433.075	103.987	482770.400	-6393886.000
22.212	0.000	433.076	111.076	442098.400	-6003608.000
22.585	0.000	433.076	118.647	400455.400	-5631381.000
22.942	0.000	433.076	126.735	365411.500	-5283627.000
23.314	0.000	433.076	135.373	328657.700	-4958326.000
23.638	0.000	433.076	144.601	293567.600	-4647082.000
23.961	0.000	433.075	154.458	277050.600	-4354378.000
24.270	0.000	433.075	164.986	250736.400	-4091186.000
24.571	0.000	433.075	176.232	229077.200	-3835860.000
24.848	0.000	433.075	188.245	208565.600	-3599319.000
25.125	0.000	433.075	201.077	189430.300	-3376518.000
25.420	0.000	433.074	214.783	173243.900	-3165613.000
25.676	0.000	433.074	229.423	157499.800	-2969145.000
25.965	0.000	433.074	245.062	144161.800	-2781293.000
26.234	0.000	433.073	261.766	130610.100	-2609155.000
26.511	0.000	433.073	279.609	120182.300	-2446656.000
26.820	0.000	433.073	298.669	109988.100	-2294042.000
27.055	0.000	433.072	319.027	100371.300	-2152020.000
27.345	0.000	433.072	340.773	92045.900	-2017308.000
27.627	0.000	433.071	364.002	83898.350	-1891187.000
27.938	0.000	433.071	388.814	76955.970	-1773225.000
28.219	0.000	433.070	415.317	70681.860	-1662413.000
28.507	0.000	433.070	443.627	64722.710	-1558738.000
28.804	0.000	433.069	473.866	59044.720	-1461544.000
29.023	0.000	433.069	506.167	54472.350	-1369863.000
29.276	0.000	433.068	540.670	49834.820	-1283988.000
29.460	0.000	433.068	577.524	46143.790	-1203483.000
29.710	0.000	433.067	616.890	42189.680	-1128021.000
29.941	0.000	433.067	658.940	38816.310	-1057418.000
30.131	0.000	433.067	703.857	35695.310	-991345.900
30.387	0.000	433.066	751.834	32644.710	-929063.200
30.599	0.000	433.065	803.083	29845.200	-871058.900
30.796	0.000	433.065	857.824	27645.210	-816379.900
31.043	0.000	433.064	916.297	25613.130	-765217.900
31.227	0.000	433.064	978.756	23560.100	-717011.500
31.799	0.000	433.062	1045.472	21460.830	-672565.900
32.297	0.000	433.061	1116.736	19699.510	-630486.300
32.756	0.000	433.060	1192.857	18290.770	-590934.600
33.196	0.000	433.058	1274.167	16844.170	-553799.600
33.610	0.000	433.057	1361.020	15610.240	-519005.700
34.012	0.000	433.056	1453.793	14453.350	-486413.300
34.391	0.000	433.055	1552.890	13335.890	-455910.100
34.787	0.000	433.055	1658.741	12375.840	-427186.100
35.158	0.000	433.054	1771.808	11441.030	-400392.200
35.532	0.000	433.053	1892.582	10589.410	-375235.500
35.868	0.000	433.053	2021.589	9767.936	-351645.000
36.227	0.000	433.052	2159.389	9058.067	-329531.000
36.549	0.000	433.051	2306.582	8393.826	-308808.900
36.872	0.000	433.050	2463.808	7779.759	-289397.200
37.222	0.000	433.049	2631.752	7224.186	-271156.800
37.503	0.000	433.049	2811.143	6726.122	-254113.100
37.788	0.000	433.048	3002.763	6240.677	-238148.300
38.053	0.000	433.047	3207.444	5771.321	-223172.800
38.339	0.000	433.046	3426.077	5364.346	-209132.300
38.597	0.000	433.046	3659.613	4984.511	-195976.800
38.921	0.000	433.045	3909.068	4625.627	-183609.200
39.282	0.000	433.044	4175.526	4291.745	-172142.200
39.639	0.000	433.044	4460.148	4010.376	-161318.400
40.007	0.000	433.043	4764.171	3702.952	-151154.600
40.355	0.000	433.043	5088.917	3411.512	-141653.500
40.648	0.000	433.042	5435.799	3211.824	-132716.900
40.929	0.000	433.042	5806.326	2975.704	-124335.100
41.223	0.000	433.042	6202.110	2767.382	-116538.100
41.501	0.000	433.041	6624.872	2602.473	-109209.900
41.747	0.000	433.040	7076.452	2409.022	-102325.600
42.082	0.000	433.040	7558.813	2228.832	-95922.170
42.478	0.000	433.039	8074.054	2067.747	-89882.960
42.772	0.000	433.038	8624.416	1914.986	-84181.040
43.101	0.000	433.038	9212.292	1797.114	-78936.260
43.359	0.000	433.037	9840.241	1678.557	-73925.260
43.617	0.000	433.037	10510.994	1579.811	-69264.300
43.924	0.000	433.036	11227.468	1467.310	-64905.270
44.195	0.000	433.036	11992.780	1375.420	-60819.360
44.462	0.000	433.035	12810.259	1277.153	-56987.390
44.717	0.000	433.035	13683.461	1193.626	-53400.280
45.002	0.000	433.035	14616.184	1117.364	-50040.120
45.221	0.000	433.034	15612.485	1031.143	-46882.960
45.499	0.000	433.034	16676.698	971.008	-43934.630
45.752	0.000	433.034	17813.453	904.014	-41163.680
46.056	0.000	433.033	19027.694	845.828	-38567.780
46.340	0.000	433.032	20324.702	786.465	-36141.780
46.615	0.000	433.032	21710.121	740.437	-33857.000
46.856	0.000	433.031	23189.975	688.830	-31726.360
