Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.472	0.000	462.974	20.000	11409900.000	-25029460.000
2.886	0.000	462.975	21.363	8797619.000	-23382900.000
4.186	0.000	462.975	22.819	8052609.000	-22261750.000
5.407	0.000	462.975	24.375	7377529.000	-21218700.000
6.554	0.000	462.976	26.036	6748287.000	-20187010.000
7.632	0.000	462.976	27.811	6174805.000	-19193230.000
8.651	0.000	462.976	29.707	5613935.000	-18249470.000
9.604	0.000	462.976	31.732	5134644.000	-17293480.000
10.503	0.000	462.976	33.895	4711619.000	-16428530.000
11.348	0.000	462.976	36.205	4252135.000	-15570730.000
12.145	0.000	462.976	38.673	3902207.000	-14759920.000
13.089	0.000	462.976	41.309	3530237.000	-13960190.000
13.975	0.000	462.977	44.125	3182505.000	-13206260.000
14.811	0.000	462.978	47.133	2848034.000	-12500540.000
15.596	0.000	462.978	50.346	2573249.000	-11838790.000
16.336	0.000	462.978	53.777	2353218.000	-11147130.000
17.033	0.000	462.978	57.443	2146491.000	-10516160.000
17.690	0.000	462.978	61.359	1958184.000	-9924109.000
18.308	0.000	462.978	65.541	1776909.000	-9360563.000
18.894	0.000	462.978	70.009	1604839.000	-8818476.000
19.449	0.000	462.978	74.781	1452234.000	-8308191.000
19.971	0.000	462.978	79.878	1309751.000	-7832436.000
20.464	0.000	462.978	85.323	1189894.000	-7372855.000
20.931	0.000	462.978	91.139	1074360.000	-6941776.000
21.371	0.000	462.977	97.352	970010.500	-6528869.000
21.788	0.000	462.977	103.987	875955.900	-6141834.000
22.182	0.000	462.977	111.076	794255.600	-5777762.000
22.554	0.000	462.977	118.647	718015.400	-5431297.000
22.918	0.000	462.977	126.735	649659.800	-5107859.000
23.270	0.000	462.976	135.373	588380.000	-4801099.000
23.611	0.000	462.976	144.601	537621.100	-4506250.000
23.932	0.000	462.976	154.458	485911.600	-4244632.000
24.245	0.000	462.976	164.986	432973.100	-3983062.000
24.570	0.000	462.976	176.232	393458.000	-3741082.000
24.856	0.000	462.976	188.245	355840.800	-3515317.000
25.158	0.000	462.975	201.077	322321.800	-3301391.000
25.454	0.000	462.975	214.783	290488.400	-3098752.000
25.762	0.000	462.975	229.423	264368.500	-2909634.000
26.050	0.000	462.975	245.062	238855.300	-2733195.000
