Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.472	0.000	456.788	20.000	10399480.000	-23924940.000
2.855	0.000	456.789	21.363	8363543.000	-24290330.000
4.153	0.000	456.789	22.819	7655891.000	-23080710.000
5.374	0.000	456.789	24.375	6977334.000	-21948260.000
6.524	0.000	456.790	26.036	6365942.000	-20839150.000
7.603	0.000	456.790	27.811	5800474.000	-19755940.000
8.616	0.000	456.790	29.707	5288819.000	-18735650.000
9.569	0.000	456.791	31.732	4816286.000	-17745130.000
10.467	0.000	456.791	33.895	4396403.000	-16817710.000
11.313	0.000	456.791	36.205	3962005.000	-15909090.000
12.146	0.000	456.792	38.673	3596789.000	-15060370.000
13.089	0.000	456.792	41.309	3269938.000	-14225240.000
13.976	0.000	456.792	44.125	2933670.000	-13451660.000
14.811	0.000	456.793	47.133	2652071.000	-12697740.000
15.596	0.000	456.793	50.346	2364627.000	-11956980.000
16.364	0.000	456.794	53.777	2178511.000	-11294650.000
17.062	0.000	456.795	57.443	1986953.000	-10651890.000
17.743	0.000	456.795	61.359	1816660.000	-10050210.000
18.369	0.000	456.795	65.541	1635828.000	-9461540.000
18.956	0.000	456.795	70.009	1477908.000	-8914828.000
19.509	0.000	456.795	74.781	1341793.000	-8391818.000
20.046	0.000	456.795	79.878	1215489.000	-7902998.000
20.539	0.000	456.795	85.323	1098883.000	-7435144.000
21.005	0.000	456.795	91.139	994101.400	-6993540.000
21.445	0.000	456.794	97.352	899645.000	-6578431.000
21.859	0.000	456.794	103.987	810549.500	-6187192.000
22.253	0.000	456.794	111.076	732195.100	-5818023.000
22.628	0.000	456.794	118.647	665582.200	-5469940.000
22.991	0.000	456.794	126.735	601148.300	-5139449.000
23.353	0.000	456.794	135.373	544741.200	-4830871.000
23.697	0.000	456.794	144.601	493232.200	-4528490.000
24.017	0.000	456.794	154.458	453497.300	-4256627.000
24.330	0.000	456.794	164.986	404589.100	-4000663.000
24.656	0.000	456.794	176.232	364929.000	-3757298.000
24.935	0.000	456.794	188.245	331047.300	-3528776.000
25.220	0.000	456.793	201.077	300511.600	-3313384.000
25.517	0.000	456.793	214.783	271928.800	-3109907.000
25.801	0.000	456.794	229.423	246000.500	-2918991.000
26.046	0.000	456.794	245.062	224252.500	-2741171.000
26.343	0.000	456.794	261.766	202273.500	-2571345.000
26.629	0.000	456.794	279.609	183335.000	-2412124.000
26.908	0.000	456.794	298.669	165756.900	-2263938.000
27.189	0.000	456.794	319.027	150826.300	-2124273.000
27.480	0.000	456.795	340.773	137080.500	-1992623.000
27.777	0.000	456.795	364.002	124456.800	-1869386.000
28.092	0.000	456.795	388.814	113025.800	-1753955.000
28.386	0.000	456.795	415.317	102547.600	-1645392.000
28.609	0.000	456.796	443.627	93588.770	-1543095.000
28.871	0.000	456.796	473.866	85363.010	-1446946.000
29.104	0.000	456.796	506.167	77265.820	-1356743.000
29.344	0.000	456.796	540.670	70423.640	-1272890.000
29.576	0.000	456.796	577.524	64345.850	-1193663.000
29.776	0.000	456.796	616.890	58740.130	-1119087.000
29.999	0.000	456.796	658.940	53305.130	-1049492.000
30.223	0.000	456.796	703.857	48696.430	-984342.100
30.416	0.000	456.796	751.834	44429.450	-922837.800
30.626	0.000	456.796	803.083	40553.590	-865186.700
30.851	0.000	456.796	857.824	37094.340	-811209.600
31.060	0.000	456.796	916.297	33890.780	-760502.500
31.256	0.000	456.797	978.756	31043.970	-712819.600
31.814	0.000	456.797	1045.472	28196.470	-668799.600
32.317	0.000	456.797	1116.736	25676.040	-627099.000
32.776	0.000	456.798	1192.857	23547.120	-587870.400
33.213	0.000	456.798	1274.167	21574.270	-551129.600
33.626	0.000	456.798	1361.020	19778.560	-516716.100
34.060	0.000	456.799	1453.793	18226.360	-484288.900
34.444	0.000	456.799	1552.890	16694.520	-453997.900
34.845	0.000	456.799	1658.741	15339.910	-425447.400
35.200	0.000	456.799	1771.808	14128.070	-398830.700
35.570	0.000	456.799	1892.582	12958.920	-373844.400
35.921	0.000	456.799	2021.589	11896.930	-350380.300
36.248	0.000	456.799	2159.389	10921.960	-328394.800
36.553	0.000	456.799	2306.582	10063.590	-307803.100
36.844	0.000	456.799	2463.808	9258.419	-288498.900
37.204	0.000	456.799	2631.752	8517.178	-270407.200
37.527	0.000	456.799	2811.143	7881.712	-253423.000
37.788	0.000	456.799	3002.763	7234.967	-237537.100
38.072	0.000	456.799	3207.444	6683.271	-222562.500
38.331	0.000	456.799	3426.077	6149.570	-208588.100
38.645	0.000	456.799	3659.613	5680.231	-195499.300
38.907	0.000	456.800	3909.068	5254.207	-183198.400
39.244	0.000	456.800	4175.526	4842.053	-171710.300
39.615	0.000	456.800	4460.148	4468.728	-160936.500
39.926	0.000	456.800	4764.171	4131.151	-150826.200
40.265	0.000	456.799	5088.917	3813.889	-141351.900
40.620	0.000	456.799	5435.799	3526.612	-132447.800
40.922	0.000	456.799	5806.326	3290.257	-124098.000
41.227	0.000	456.799	6202.110	3005.564	-116335.700
41.506	0.000	456.800	6624.872	2773.762	-108960.300
41.798	0.000	456.800	7076.452	2597.499	-102116.200
42.042	0.000	456.800	7558.813	2408.200	-95685.060
42.366	0.000	456.800	8074.054	2210.874	-89644.970
42.671	0.000	456.800	8624.416	2043.852	-84033.200
42.953	0.000	456.801	9212.292	1968.699	-78714.290
43.262	0.000	456.801	9840.241	1770.834	-73779.080
43.493	0.000	456.801	10510.994	1642.593	-69134.070
43.743	0.000	456.801	11227.468	1529.465	-64779.800
44.040	0.000	456.801	11992.780	1420.017	-60698.950
44.305	0.000	456.801	12810.259	1321.971	-56882.550
44.578	0.000	456.801	13683.461	1234.145	-53294.900
44.811	0.000	456.801	14616.184	1143.489	-49941.990
45.061	0.000	456.801	15612.485	1065.328	-46785.330
45.354	0.000	456.801	16676.698	989.804	-43852.340
45.589	0.000	456.801	17813.453	926.822	-41095.760
45.869	0.000	456.801	19027.694	862.360	-38503.530
46.115	0.000	456.802	20324.702	796.871	-36073.300
46.391	0.000	456.802	21710.121	747.640	-33788.500
46.696	0.000	456.802	23189.975	697.546	-31659.950
46.959	0.000	456.802	24770.702	652.257	-29672.380
47.272	0.000	456.802	26459.178	606.303	-27802.580
47.573	0.000	456.802	28262.749	562.672	-26047.290
47.842	0.000	456.802	30189.258	525.478	-24402.030
48.115	0.000	456.802	32247.086	490.996	-22871.710
48.356	0.000	456.802	34445.185	458.838	-21427.070
48.678	0.000	456.802	36793.115	429.749	-20071.810
48.963	0.000	456.802	39301.090	397.729	-18811.410
49.222	0.000	456.802	41980.020	375.102	-17622.380
49.603	0.000	456.802	44841.556	353.998	-16512.390
50.026	0.000	456.802	47898.147	327.966	-15471.890
50.487	0.000	456.802	51163.089	306.062	-14499.110
50.841	0.000	456.802	54650.583	287.318	-13583.820
51.216	0.000	456.802	58375.799	266.023	-12722.360
51.470	0.000	456.802	62354.942	239.824	-11917.830
51.880	0.000	456.802	66605.320	239.440	-11167.930
52.265	0.000	456.802	71145.421	222.615	-10464.420
52.540	0.000	456.802	75994.996	207.344	-9805.345
52.814	0.000	456.802	81175.138	196.862	-9187.964
53.102	0.000	456.802	86708.381	181.526	-8608.391
53.417	0.000	456.802	92618.793	173.126	-8066.154
53.706	0.000	456.802	98932.084	159.306	-7553.714
54.018	0.000	456.802	105675.715	158.352	-7080.924
54.307	0.000	456.802	112879.022	145.642	-6632.983
54.583	0.000	456.802	120573.336	135.352	-6214.311
54.963	0.000	456.802	128792.127	135.047	-5819.877
55.248	0.000	456.802	137571.146	119.220	-5456.069
55.667	0.000	456.802	146948.581	112.782	-5111.499
55.964	0.000	456.802	156965.221	106.059	-4787.098
56.243	0.000	456.802	167664.638	101.817	-4484.484
56.538	0.000	456.802	179093.373	96.523	-4201.101
56.902	0.000	456.802	191301.139	91.266	-3935.606
57.196	0.000	456.802	204341.039	85.209	-3689.050
57.453	0.000	456.802	218269.793	81.439	-3454.906
57.732	0.000	456.802	233147.990	77.069	-3236.076
57.981	0.000	456.802	249040.349	73.630	-3032.157
58.255	0.000	456.802	266015.998	69.477	-2840.751
58.502	0.000	456.802	284148.780	66.631	-2660.894
58.760	0.000	456.802	303517.570	63.082	-2492.144
59.203	0.000	456.802	324206.618	60.039	-2335.157
59.506	0.000	456.802	346305.920	57.248	-2185.924
59.795	0.000	456.802	369911.605	54.355	-2048.026
60.094	0.000	456.802	395126.353	51.828	-1917.576
60.329	0.000	456.802	422059.846	49.666	-1796.467
60.652	0.000	456.802	450829.241	47.432	-1682.081
60.959	0.000	456.802	481559.679	45.713	-1575.145
61.206	0.000	456.802	514384.835	43.782	-1474.981
61.530	0.000	456.802	549447.493	41.691	-1380.856
