Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
2.571	0.000	454.633	20.000	9025522.000	-25944000.000
3.989	0.000	454.634	21.363	8132085.000	-24685890.000
5.325	0.000	454.634	22.819	7430108.000	-23404900.000
6.545	0.000	454.634	24.375	6787499.000	-22235710.000
7.693	0.000	454.634	26.036	6190878.000	-21081460.000
8.771	0.000	454.634	27.811	5640558.000	-20011430.000
9.784	0.000	454.635	29.707	5122990.000	-18945390.000
10.737	0.000	454.635	31.732	4653943.000	-17943530.000
11.635	0.000	454.635	33.895	4218556.000	-16948610.000
12.481	0.000	454.636	36.205	3864339.000	-16049720.000
13.280	0.000	454.636	38.673	3510369.000	-15152730.000
14.223	0.000	454.635	41.309	3152201.000	-14313620.000
15.110	0.000	454.635	44.125	2829639.000	-13514830.000
15.945	0.000	454.635	47.133	2546398.000	-12778140.000
16.730	0.000	454.635	50.346	2335601.000	-12039040.000
17.470	0.000	454.635	53.777	2095505.000	-11353920.000
18.168	0.000	454.635	57.443	1909948.000	-10707720.000
18.827	0.000	454.635	61.359	1745304.000	-10080970.000
19.446	0.000	454.635	65.541	1585977.000	-9494228.000
20.032	0.000	454.636	70.009	1426512.000	-8937634.000
20.588	0.000	454.636	74.781	1291990.000	-8414359.000
21.110	0.000	454.636	79.878	1171834.000	-7923068.000
21.603	0.000	454.636	85.323	1059656.000	-7454459.000
22.069	0.000	454.636	91.139	959345.000	-7013025.000
22.509	0.000	454.636	97.352	862471.000	-6591042.000
22.943	0.000	454.636	103.987	783594.700	-6200050.000
23.336	0.000	454.637	111.076	710202.400	-5827073.000
23.710	0.000	454.637	118.647	642330.900	-5476347.000
24.098	0.000	454.637	126.735	581318.600	-5145267.000
24.444	0.000	454.637	135.373	523754.800	-4833863.000
24.796	0.000	454.637	144.601	473253.000	-4547914.000
25.113	0.000	454.637	154.458	424699.200	-4268409.000
25.471	0.000	454.637	164.986	390323.600	-4004370.000
25.783	0.000	454.637	176.232	353107.900	-3759421.000
26.073	0.000	454.638	188.245	320213.900	-3531850.000
26.361	0.000	454.638	201.077	290705.200	-3313534.000
26.652	0.000	454.638	214.783	262829.300	-3110590.000
26.925	0.000	454.638	229.423	238536.900	-2919538.000
27.170	0.000	454.638	245.062	217994.300	-2740513.000
27.488	0.000	454.638	261.766	195520.600	-2571892.000
27.772	0.000	454.638	279.609	178036.900	-2411968.000
