Timestamp,Elapsed_Sec,Stage_Idx,Stage_Target_K,Temp_A_K,Error_K,Ramp_SP_K,Track_Err_K,Heater_Pct,Ramp_Rate_K_min,P_Gain,I_Gain,D_Gain,Range,MaxPwr_Pct,Phase
2026-09-04 22:40:13,5.6,1,375.00,371.8230,-3.1770,371.8098,-0.0132,15.57,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:14,7.0,1,375.00,371.8266,-3.1734,371.8332,+0.0066,15.96,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:16,8.4,1,375.00,371.8297,-3.1703,371.8566,+0.0269,16.44,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:17,9.8,1,375.00,371.8324,-3.1676,371.8800,+0.0476,16.89,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:18,11.3,1,375.00,371.8349,-3.1651,371.9034,+0.0685,17.31,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:20,12.7,1,375.00,371.8375,-3.1625,371.9268,+0.0893,17.70,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:21,14.1,1,375.00,371.8407,-3.1593,371.9502,+0.1095,18.02,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:23,15.5,1,375.00,371.8446,-3.1554,371.9736,+0.1290,18.42,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:24,16.9,1,375.00,371.8493,-3.1507,371.9970,+0.1477,18.73,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:25,18.3,1,375.00,371.8544,-3.1456,372.0204,+0.1660,19.12,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:27,19.7,1,375.00,371.8599,-3.1401,372.0438,+0.1839,19.44,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:28,21.1,1,375.00,371.8654,-3.1346,372.0671,+0.2017,19.80,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:30,22.5,1,375.00,371.8715,-3.1285,372.0905,+0.2190,20.09,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:31,23.9,1,375.00,371.8781,-3.1219,372.1139,+0.2358,20.34,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:32,25.3,1,375.00,371.8860,-3.1140,372.1373,+0.2513,20.59,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:34,26.7,1,375.00,371.8943,-3.1057,372.1607,+0.2664,20.85,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:35,28.1,1,375.00,371.9034,-3.0966,372.1841,+0.2807,21.06,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:37,29.5,1,375.00,371.9127,-3.0873,372.2075,+0.2948,21.33,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:38,30.9,1,375.00,371.9223,-3.0777,372.2309,+0.3086,21.52,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:39,32.3,1,375.00,371.9337,-3.0663,372.2543,+0.3206,21.63,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:41,33.7,1,375.00,371.9452,-3.0548,372.2777,+0.3325,21.89,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:42,35.1,1,375.00,371.9564,-3.0436,372.3011,+0.3447,22.11,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:44,36.5,1,375.00,371.9676,-3.0324,372.3245,+0.3569,22.25,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:45,37.9,1,375.00,371.9807,-3.0193,372.3479,+0.3672,22.39,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:46,39.3,1,375.00,371.9938,-3.0062,372.3713,+0.3775,22.52,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:48,40.7,1,375.00,372.0076,-2.9924,372.3947,+0.3871,22.64,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:49,42.1,1,375.00,372.0216,-2.9784,372.4181,+0.3965,22.72,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:51,43.5,1,375.00,372.0363,-2.9637,372.4415,+0.4052,22.87,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:52,44.9,1,375.00,372.0519,-2.9481,372.4649,+0.4130,23.07,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:53,46.3,1,375.00,372.0649,-2.9351,372.4883,+0.4234,23.22,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:55,47.7,1,375.00,372.0802,-2.9198,372.5116,+0.4314,23.25,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:56,49.2,1,375.00,372.0947,-2.9053,372.5350,+0.4403,23.43,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:58,50.6,1,375.00,372.1098,-2.8902,372.5584,+0.4486,23.48,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:40:59,52.0,1,375.00,372.1263,-2.8737,372.5818,+0.4555,23.56,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:00,53.4,1,375.00,372.1422,-2.8578,372.6051,+0.4629,23.63,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:02,54.8,1,375.00,372.1589,-2.8411,372.6285,+0.4696,23.64,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:03,56.2,1,375.00,372.1765,-2.8235,372.6519,+0.4754,23.63,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:05,57.6,1,375.00,372.1971,-2.8029,372.6753,+0.4782,23.47,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:06,59.0,1,375.00,372.2175,-2.7825,372.6987,+0.4812,23.47,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:07,60.4,1,375.00,372.2374,-2.7626,372.7221,+0.4847,23.45,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:09,61.8,1,375.00,372.2576,-2.7424,372.7455,+0.4879,23.45,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:10,63.2,1,375.00,372.2777,-2.7223,372.7689,+0.4912,23.49,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:12,64.6,1,375.00,372.2989,-2.7011,372.7923,+0.4934,23.45,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:13,66.0,1,375.00,372.3188,-2.6812,372.8157,+0.4969,23.47,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:14,67.4,1,375.00,372.3387,-2.6613,372.8391,+0.5004,23.48,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:16,68.8,1,375.00,372.3582,-2.6418,372.8625,+0.5043,23.49,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:17,70.2,1,375.00,372.3780,-2.6220,372.8859,+0.5079,23.51,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:19,71.6,1,375.00,372.3988,-2.6012,372.9093,+0.5105,23.57,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:20,73.0,1,375.00,372.4179,-2.5821,372.9327,+0.5148,23.57,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:22,74.4,1,375.00,372.4373,-2.5627,372.9561,+0.5188,23.49,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:23,75.8,1,375.00,372.4570,-2.5430,372.9795,+0.5225,23.56,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:24,77.2,1,375.00,372.4772,-2.5228,373.0029,+0.5257,23.54,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:26,78.6,1,375.00,372.4966,-2.5034,373.0263,+0.5297,23.58,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:27,80.0,1,375.00,372.5166,-2.4834,373.0497,+0.5331,23.50,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:29,81.4,1,375.00,372.5368,-2.4632,373.0731,+0.5363,23.53,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:30,82.8,1,375.00,372.5574,-2.4426,373.0964,+0.5390,23.54,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:31,84.2,1,375.00,372.5782,-2.4218,373.1198,+0.5416,23.61,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:33,85.6,1,375.00,372.5976,-2.4024,373.1432,+0.5456,23.60,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:34,87.0,1,375.00,372.6169,-2.3831,373.1666,+0.5497,23.55,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:36,88.5,1,375.00,372.6360,-2.3640,373.1900,+0.5540,23.67,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:37,89.9,1,375.00,372.6549,-2.3451,373.2134,+0.5585,23.65,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:38,91.3,1,375.00,372.6755,-2.3245,373.2368,+0.5613,23.68,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:40,92.7,1,375.00,372.6945,-2.3055,373.2602,+0.5657,23.68,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:41,94.1,1,375.00,372.7139,-2.2861,373.2836,+0.5697,23.65,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:43,95.5,1,375.00,372.7342,-2.2658,373.3070,+0.5728,23.57,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:44,96.9,1,375.00,372.7548,-2.2452,373.3304,+0.5756,23.56,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:45,98.3,1,375.00,372.7761,-2.2239,373.3538,+0.5777,23.67,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:47,99.7,1,375.00,372.7950,-2.2050,373.3772,+0.5822,23.73,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:48,101.1,1,375.00,372.8137,-2.1863,373.4006,+0.5869,23.74,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:50,102.5,1,375.00,372.8335,-2.1665,373.4240,+0.5905,23.65,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:51,103.9,1,375.00,372.8546,-2.1454,373.4474,+0.5928,23.66,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
2026-09-04 22:41:52,105.3,1,375.00,372.8739,-2.1261,373.4707,+0.5968,23.75,1.00,25.0,900.0,0.0,HI,70.0,RAMPING
