Timestamp,Elapsed_Sec,Temp_A_K,Setpoint_K,Error_K,Heater_Pct,Ramp_Rate_K_min,P_Gain,I_Gain,D_Gain,Range,MaxPwr_Pct,Stage
2026-09-04 21:43:22,0.0,340.6632,345.00,-4.3368,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:24,1.4,340.6610,345.00,-4.3390,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:25,2.8,340.6573,345.00,-4.3427,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:26,4.2,340.6524,345.00,-4.3476,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:28,5.6,340.6474,345.00,-4.3526,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:29,7.0,340.6419,345.00,-4.3581,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:31,8.4,340.6371,345.00,-4.3629,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:32,9.8,340.6320,345.00,-4.3680,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:33,11.2,340.6265,345.00,-4.3735,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:35,12.6,340.6214,345.00,-4.3786,0.00,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:36,14.0,340.6158,345.00,-4.3842,0.01,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:38,15.4,340.6096,345.00,-4.3904,0.01,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:39,16.8,340.6035,345.00,-4.3965,0.02,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:40,18.2,340.5978,345.00,-4.4022,0.03,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:42,19.7,340.5928,345.00,-4.4072,0.05,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:43,21.1,340.5883,345.00,-4.4117,0.06,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:45,22.5,340.5842,345.00,-4.4158,0.08,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:46,23.9,340.5790,345.00,-4.4210,0.11,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:47,25.3,340.5741,345.00,-4.4259,0.14,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:49,26.7,340.5687,345.00,-4.4313,0.17,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:50,28.1,340.5631,345.00,-4.4369,0.21,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:52,29.5,340.5579,345.00,-4.4421,0.24,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:53,30.9,340.5518,345.00,-4.4482,0.29,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:54,32.3,340.5457,345.00,-4.4543,0.34,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:56,33.7,340.5391,345.00,-4.4609,0.39,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:57,35.1,340.5334,345.00,-4.4666,0.44,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:43:59,36.5,340.5273,345.00,-4.4727,0.49,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:44:00,37.9,340.5225,345.00,-4.4775,0.55,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:44:01,39.3,340.5174,345.00,-4.4826,0.62,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:44:03,40.7,340.5119,345.00,-4.4881,0.68,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:44:04,42.1,340.5065,345.00,-4.4935,0.75,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:44:06,43.5,340.5009,345.00,-4.4991,0.82,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:44:07,44.9,340.4950,345.00,-4.5050,0.90,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:44:08,46.3,340.4896,345.00,-4.5104,0.98,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
2026-09-04 21:44:10,47.7,340.4841,345.00,-4.5159,1.06,1.00,2.0,18.0,0.0,HI,30.0,RAMPING
