T (K),f (Fixed),R (ohm),X (ohm),Time (s),Cp (pF),Tan_Delta,Eps_Prime,Heater (%),Setpoint (K)
430.3285,10000.00,1.816200e+03,-9.588034e+04,327.207,165.934,1.894236e-02,937.0355,30.44,300.000
430.3216,10000.00,1.775394e+03,-9.592860e+04,328.208,165.853,1.850745e-02,936.5793,30.59,300.000
430.3152,10000.00,1.818763e+03,-9.588402e+04,329.208,165.927,1.896836e-02,936.9986,30.59,300.000
430.3085,10000.00,1.778906e+03,-9.592012e+04,330.209,165.867,1.854570e-02,936.6608,30.70,300.000
430.3019,10000.00,1.795338e+03,-9.589464e+04,331.209,165.910,1.872198e-02,936.9035,30.41,300.000
430.2947,10000.00,1.830866e+03,-9.590053e+04,332.209,165.898,1.909130e-02,936.8329,30.77,300.000
430.2876,10000.00,1.808024e+03,-9.587827e+04,333.210,165.938,1.885750e-02,937.0587,30.72,300.000
430.2809,10000.00,1.853506e+03,-9.591735e+04,334.210,165.867,1.932399e-02,936.6603,30.45,300.000
430.2747,10000.00,1.797592e+03,-9.591277e+04,335.210,165.879,1.874195e-02,936.7257,30.48,300.000
430.2682,10000.00,1.814515e+03,-9.589756e+04,336.211,165.904,1.892139e-02,936.8680,30.46,300.000
430.2620,10000.00,1.812040e+03,-9.589182e+04,337.211,165.914,1.889671e-02,936.9249,30.38,300.000
430.2559,10000.00,1.769958e+03,-9.589723e+04,338.211,165.908,1.845682e-02,936.8875,30.34,300.000
430.2497,10000.00,1.854258e+03,-9.595472e+04,339.211,165.803,1.932430e-02,936.2955,30.44,300.000
430.2427,10000.00,1.791674e+03,-9.586750e+04,340.211,165.958,1.868907e-02,937.1699,30.38,300.000
430.2361,10000.00,1.863900e+03,-9.587163e+04,341.212,165.946,1.944162e-02,937.1027,30.51,300.000
430.2292,10000.00,1.834440e+03,-9.593213e+04,342.212,165.843,1.912227e-02,936.5232,30.51,300.000
430.2227,10000.00,1.807235e+03,-9.588305e+04,343.213,165.930,1.884833e-02,937.0123,30.48,300.000
430.2153,10000.00,1.802051e+03,-9.591388e+04,344.213,165.877,1.878822e-02,936.7133,30.57,300.000
430.2088,10000.00,1.819629e+03,-9.596548e+04,345.213,165.786,1.896129e-02,936.2035,30.36,300.000
430.2029,10000.00,1.826436e+03,-9.590758e+04,346.214,165.886,1.904371e-02,936.7657,30.32,300.000
430.1961,10000.00,1.831544e+03,-9.595909e+04,347.215,165.797,1.908672e-02,936.2614,30.49,300.000
430.1890,10000.00,1.802682e+03,-9.592560e+04,348.215,165.856,1.879250e-02,936.5987,30.42,300.000
430.1825,10000.00,1.876311e+03,-9.596135e+04,349.216,165.790,1.955278e-02,936.2225,30.45,300.000
430.1760,10000.00,1.797634e+03,-9.592466e+04,350.216,165.858,1.874006e-02,936.6097,30.44,300.000
430.1696,10000.00,1.862359e+03,-9.590879e+04,351.217,165.882,1.941802e-02,936.7404,30.24,300.000
430.1628,10000.00,1.789875e+03,-9.593579e+04,352.217,165.840,1.865701e-02,936.5039,30.37,300.000
430.1562,10000.00,1.799368e+03,-9.596010e+04,353.219,165.797,1.875121e-02,936.2634,30.41,300.000
430.1497,10000.00,1.771316e+03,-9.592688e+04,354.219,165.856,1.846527e-02,936.5976,30.31,300.000
430.1425,10000.00,1.831022e+03,-9.592437e+04,355.219,165.857,1.908818e-02,936.6002,30.45,300.000
430.1360,10000.00,1.811159e+03,-9.588076e+04,356.219,165.933,1.888970e-02,937.0332,30.32,300.000
430.1297,10000.00,1.825219e+03,-9.588419e+04,357.220,165.927,1.903566e-02,936.9945,30.33,300.000
430.1231,10000.00,1.784833e+03,-9.594206e+04,358.221,165.829,1.860324e-02,936.4446,30.37,300.000
430.1162,10000.00,1.827919e+03,-9.594984e+04,359.221,165.813,1.905078e-02,936.3529,30.23,300.000
430.1101,10000.00,1.828515e+03,-9.590173e+04,360.222,165.896,1.906655e-02,936.8221,30.20,300.000
430.1032,10000.00,1.818434e+03,-9.592344e+04,361.223,165.859,1.895714e-02,936.6139,30.42,300.000
430.0967,10000.00,1.861674e+03,-9.592622e+04,362.223,165.851,1.940735e-02,936.5706,30.21,300.000
430.0899,10000.00,1.800922e+03,-9.599268e+04,363.224,165.741,1.876103e-02,935.9453,30.20,300.000
430.0836,10000.00,1.829289e+03,-9.590732e+04,364.224,165.886,1.907351e-02,936.7672,30.29,300.000
430.0768,10000.00,1.793653e+03,-9.594487e+04,365.224,165.824,1.869462e-02,936.4140,30.39,300.000
430.0699,10000.00,1.837691e+03,-9.589938e+04,366.224,165.899,1.916270e-02,936.8416,30.42,300.000
430.0624,10000.00,1.785046e+03,-9.591542e+04,367.225,165.875,1.861063e-02,936.7044,30.42,300.000
430.0556,10000.00,1.817536e+03,-9.594361e+04,368.226,165.824,1.894379e-02,936.4175,30.14,300.000
430.0495,10000.00,1.809117e+03,-9.600525e+04,369.226,165.718,1.884394e-02,935.8198,30.27,300.000
430.0426,10000.00,1.818261e+03,-9.591084e+04,370.227,165.881,1.895783e-02,936.7370,30.20,300.000
430.0360,10000.00,1.812429e+03,-9.590911e+04,371.227,165.884,1.889736e-02,936.7560,30.27,300.000
430.0297,10000.00,1.859385e+03,-9.590197e+04,372.227,165.894,1.938839e-02,936.8081,30.22,300.000
430.0232,10000.00,1.820265e+03,-9.597396e+04,373.228,165.772,1.896624e-02,936.1206,30.10,300.000
430.0164,10000.00,1.839718e+03,-9.596824e+04,374.228,165.780,1.917007e-02,936.1691,30.18,300.000
430.0100,10000.00,1.807688e+03,-9.595180e+04,375.229,165.811,1.883954e-02,936.3413,30.20,300.000
430.0034,10000.00,1.763409e+03,-9.592357e+04,376.230,165.862,1.838348e-02,936.6327,30.20,300.000
429.9968,10000.00,1.785554e+03,-9.597770e+04,377.230,165.768,1.860384e-02,936.0968,30.10,300.000
429.9899,10000.00,1.807620e+03,-9.594353e+04,378.231,165.825,1.884046e-02,936.4219,30.02,300.000
429.9842,10000.00,1.788169e+03,-9.600892e+04,379.232,165.714,1.862503e-02,935.7917,29.94,300.000
429.9781,10000.00,1.850534e+03,-9.598420e+04,380.233,165.752,1.927957e-02,936.0095,30.17,300.000
429.9713,10000.00,1.834660e+03,-9.600835e+04,381.233,165.711,1.910938e-02,935.7802,30.22,300.000
429.9639,10000.00,1.830795e+03,-9.603165e+04,382.233,165.672,1.906450e-02,935.5547,30.25,300.000
429.9570,10000.00,1.798361e+03,-9.602437e+04,383.234,165.686,1.872817e-02,935.6375,30.26,300.000
429.9502,10000.00,1.817922e+03,-9.601293e+04,384.234,165.705,1.893414e-02,935.7418,30.28,300.000
429.9433,10000.00,1.814014e+03,-9.596538e+04,385.235,165.787,1.890280e-02,936.2065,30.44,300.000
429.9355,10000.00,1.865340e+03,-9.599717e+04,386.235,165.729,1.943120e-02,935.8776,30.22,300.000
429.9291,10000.00,1.793224e+03,-9.600470e+04,387.236,165.720,1.867850e-02,935.8310,30.20,300.000
429.9226,10000.00,1.814458e+03,-9.600869e+04,388.237,165.712,1.889889e-02,935.7843,30.19,300.000
429.9156,10000.00,1.822225e+03,-9.600791e+04,389.238,165.713,1.897995e-02,935.7891,30.17,300.000
429.9090,10000.00,1.867877e+03,-9.601615e+04,390.238,165.696,1.945378e-02,935.6917,30.23,300.000
429.9023,10000.00,1.807103e+03,-9.602841e+04,391.246,165.679,1.881842e-02,935.5950,30.27,300.000
429.8954,10000.00,1.868356e+03,-9.601745e+04,392.247,165.694,1.945850e-02,935.6789,30.38,300.000
429.8877,10000.00,1.822948e+03,-9.599419e+04,393.247,165.737,1.899019e-02,935.9225,30.36,300.000
