Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.472	0.000	369.975	20.000	2735736.000	-50982640.000
2.854	0.000	369.965	21.363	1755451.000	-54382330.000
4.151	0.000	369.956	22.819	1582359.000	-50817620.000
5.371	0.000	369.950	24.375	1368383.000	-47688900.000
6.517	0.000	369.942	26.036	1263147.000	-44711390.000
7.594	0.000	369.937	27.811	1124561.000	-41870080.000
8.607	0.000	369.931	29.707	1008953.000	-39251620.000
9.560	0.000	369.926	31.732	890962.600	-36785670.000
10.456	0.000	369.921	33.895	857814.200	-34384980.000
11.301	0.000	369.917	36.205	926109.800	-32274070.000
12.113	0.000	369.914	38.673	782163.900	-30332830.000
13.056	0.000	369.910	41.309	672260.100	-28322560.000
13.943	0.000	369.907	44.125	574403.500	-26512800.000
14.778	0.000	369.904	47.133	415523.500	-24869210.000
15.565	0.000	369.901	50.346	347513.700	-23230980.000
16.306	0.000	369.898	53.777	421263.900	-21815720.000
17.018	0.000	369.895	57.443	408082.800	-20442680.000
17.682	0.000	369.892	61.359	450717.400	-19141890.000
18.302	0.000	369.889	65.541	385567.800	-17944080.000
18.888	0.000	369.887	70.009	372955.300	-16849620.000
19.456	0.000	369.884	74.781	333478.700	-15782980.000
19.978	0.000	369.882	79.878	320773.900	-14771040.000
20.479	0.000	369.880	85.323	284614.300	-13846980.000
20.954	0.000	369.878	91.139	274438.900	-12978520.000
21.412	0.000	369.877	97.352	241457.900	-12150540.000
21.843	0.000	369.875	103.987	222288.000	-11388390.000
22.239	0.000	369.874	111.076	215020.700	-10669560.000
22.618	0.000	369.873	118.647	203064.000	-9993186.000
22.978	0.000	369.872	126.735	184083.700	-9361216.000
23.317	0.000	369.870	135.373	171792.600	-8775926.000
23.675	0.000	369.870	144.601	168330.800	-8224002.000
23.993	0.000	369.869	154.458	156873.800	-7706141.000
24.319	0.000	369.868	164.986	140317.000	-7218426.000
24.635	0.000	369.868	176.232	126653.200	-6760626.000
24.914	0.000	369.868	188.245	119868.700	-6332570.000
25.196	0.000	369.867	201.077	111739.600	-5937008.000
25.482	0.000	369.867	214.783	101786.400	-5560373.000
25.753	0.000	369.867	229.423	98690.070	-5202486.000
26.032	0.000	369.866	245.062	89036.140	-4878207.000
26.328	0.000	369.866	261.766	82169.090	-4571930.000
26.630	0.000	369.865	279.609	76750.950	-4283390.000
26.884	0.000	369.865	298.669	71772.020	-4011905.000
27.166	0.000	369.865	319.027	66544.820	-3759133.000
27.414	0.000	369.864	340.773	62692.660	-3522110.000
27.692	0.000	369.864	364.002	57470.140	-3299506.000
27.946	0.000	369.864	388.814	53886.750	-3091371.000
28.163	0.000	369.864	415.317	50681.510	-2895602.000
28.396	0.000	369.864	443.627	47898.940	-2712823.000
28.612	0.000	369.863	473.866	44905.750	-2540538.000
28.872	0.000	369.863	506.167	40424.060	-2379590.000
29.079	0.000	369.863	540.670	37936.120	-2230323.000
29.353	0.000	369.863	577.524	36068.180	-2089163.000
29.579	0.000	369.862	616.890	33359.190	-1957033.000
29.765	0.000	369.862	658.940	30342.730	-1834311.000
29.993	0.000	369.862	703.857	29092.480	-1718117.000
30.206	0.000	369.862	751.834	27070.750	-1609044.000
30.407	0.000	369.861	803.083	25296.730	-1508146.000
30.650	0.000	369.861	857.824	23265.290	-1412940.000
30.878	0.000	369.861	916.297	21565.310	-1323708.000
31.065	0.000	369.861	978.756	20150.360	-1240095.000
31.586	0.000	369.860	1045.472	18803.900	-1161760.000
32.073	0.000	369.860	1116.736	17723.060	-1087934.000
32.549	0.000	369.859	1192.857	16565.970	-1019164.000
32.989	0.000	369.859	1274.167	15525.640	-954550.200
33.406	0.000	369.858	1361.020	14423.540	-894371.800
33.813	0.000	369.858	1453.793	13448.770	-837696.200
34.187	0.000	369.857	1552.890	12585.150	-784574.900
34.555	0.000	369.857	1658.741	11903.360	-734975.900
34.958	0.000	369.857	1771.808	11117.120	-688494.400
35.338	0.000	369.856	1892.582	10269.550	-644800.900
35.686	0.000	369.856	2021.589	9674.823	-603836.600
36.042	0.000	369.856	2159.389	9031.488	-565563.200
36.398	0.000	369.856	2306.582	8443.355	-529810.200
36.711	0.000	369.857	2463.808	7937.422	-496237.200
37.054	0.000	369.857	2631.752	7424.259	-464851.100
37.429	0.000	369.857	2811.143	6987.651	-435417.800
37.793	0.000	369.857	3002.763	6612.156	-407869.700
38.060	0.000	369.857	3207.444	6186.951	-382064.200
38.388	0.000	369.857	3426.077	5740.098	-357910.900
38.623	0.000	369.857	3659.613	5289.336	-335294.800
38.939	0.000	369.857	3909.068	5011.632	-314109.400
39.326	0.000	369.858	4175.526	4662.488	-294299.700
39.669	0.000	369.859	4460.148	4380.852	-275676.100
40.049	0.000	369.859	4764.171	4113.372	-258219.800
40.397	0.000	369.860	5088.917	3850.445	-241956.500
40.754	0.000	369.861	5435.799	3576.289	-226533.700
41.049	0.000	369.861	5806.326	3357.189	-212244.500
41.373	0.000	369.862	6202.110	3134.174	-198858.100
41.645	0.000	369.863	6624.872	2929.004	-186253.700
41.928	0.000	369.863	7076.452	2767.918	-174503.200
42.192	0.000	369.865	7558.813	2607.021	-163439.300
42.513	0.000	369.865	8074.054	2409.706	-153037.900
42.797	0.000	369.866	8624.416	2229.501	-143413.700
43.106	0.000	369.867	9212.292	2076.652	-134292.300
43.380	0.000	369.867	9840.241	2005.223	-125824.200
43.697	0.000	369.868	10510.994	1887.850	-117854.800
43.931	0.000	369.869	11227.468	1775.615	-110405.000
44.204	0.000	369.869	11992.780	1649.963	-103399.400
44.457	0.000	369.870	12810.259	1566.229	-96884.040
44.797	0.000	369.871	13683.461	1477.072	-90768.260
45.053	0.000	369.872	14616.184	1380.873	-85027.010
45.286	0.000	369.872	15612.485	1312.770	-79647.800
45.564	0.000	369.872	16676.698	1212.468	-74613.080
45.828	0.000	369.873	17813.453	1145.816	-69900.480
46.077	0.000	369.873	19027.694	1085.708	-65482.570
46.303	0.000	369.874	20324.702	1027.473	-61358.440
46.545	0.000	369.874	21710.121	962.859	-57454.620
46.814	0.000	369.875	23189.975	927.338	-53810.640
47.135	0.000	369.875	24770.702	856.680	-50428.870
47.393	0.000	369.876	26459.178	801.154	-47229.360
47.677	0.000	369.877	28262.749	750.774	-44237.470
47.922	0.000	369.877	30189.258	720.231	-41450.170
48.210	0.000	369.878	32247.086	680.775	-38824.960
48.493	0.000	369.879	34445.185	637.027	-36371.430
48.724	0.000	369.879	36793.115	600.784	-34073.790
48.940	0.000	369.880	39301.090	571.561	-31923.580
49.200	0.000	369.880	41980.020	537.444	-29906.480
49.574	0.000	369.881	44841.556	507.801	-28004.310
50.009	0.000	369.882	47898.147	481.728	-26240.090
50.463	0.000	369.883	51163.089	446.129	-24584.900
50.761	0.000	369.884	54650.583	420.740	-23034.440
51.120	0.000	369.885	58375.799	407.897	-21574.060
51.410	0.000	369.885	62354.942	382.672	-20190.980
51.839	0.000	369.886	66605.320	364.888	-18932.730
52.219	0.000	369.887	71145.421	348.095	-17740.260
52.471	0.000	369.888	75994.996	331.992	-16618.490
52.736	0.000	369.889	81175.138	310.098	-15579.740
53.069	0.000	369.889	86708.381	301.054	-14580.340
53.382	0.000	369.890	92618.793	277.716	-13673.550
53.669	0.000	369.891	98932.084	265.167	-12796.690
