Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
2.583	0.000	450.048	20.000	1781930.000	-58937330.000
3.978	0.000	450.048	21.363	1547847.000	-55845630.000
5.292	0.000	450.048	22.819	1360656.000	-52414560.000
6.519	0.000	450.047	24.375	1201204.000	-49063670.000
7.676	0.000	450.047	26.036	1166034.000	-45891150.000
8.770	0.000	450.047	27.811	1090996.000	-42953900.000
9.795	0.000	450.046	29.707	972998.200	-40333610.000
10.767	0.000	450.046	31.732	962435.100	-37648050.000
11.676	0.000	450.046	33.895	770717.500	-35273460.000
12.527	0.000	450.046	36.205	715939.500	-33174280.000
13.337	0.000	450.046	38.673	778124.700	-31081590.000
14.286	0.000	450.046	41.309	573966.700	-29067830.000
15.187	0.000	450.046	44.125	461505.200	-27173580.000
16.035	0.000	450.046	47.133	311906.700	-25437160.000
16.836	0.000	450.046	50.346	276400.700	-23879680.000
17.587	0.000	450.046	53.777	325531.000	-22331240.000
18.297	0.000	450.046	57.443	367091.500	-20986440.000
18.969	0.000	450.046	61.359	403769.200	-19658930.000
19.594	0.000	450.046	65.541	362675.500	-18425040.000
20.187	0.000	450.046	70.009	325952.900	-17264930.000
20.756	0.000	450.046	74.781	284276.300	-16137080.000
21.284	0.000	450.046	79.878	271131.200	-15144080.000
21.784	0.000	450.046	85.323	246587.800	-14173930.000
22.265	0.000	450.046	91.139	238192.300	-13294010.000
22.713	0.000	450.046	97.352	216743.400	-12446910.000
23.145	0.000	450.046	103.987	200271.900	-11661180.000
23.557	0.000	450.046	111.076	187179.800	-10917740.000
23.948	0.000	450.046	118.647	171867.800	-10227480.000
24.312	0.000	450.046	126.735	163436.500	-9582711.000
24.670	0.000	450.046	135.373	157547.000	-8975880.000
25.009	0.000	450.046	144.601	132492.300	-8396454.000
25.351	0.000	450.046	154.458	143860.000	-7871100.000
25.681	0.000	450.046	164.986	120153.000	-7377449.000
25.982	0.000	450.045	176.232	113590.700	-6911365.000
26.272	0.000	450.045	188.245	103120.200	-6472802.000
26.583	0.000	450.045	201.077	96164.050	-6067097.000
26.879	0.000	450.045	214.783	88662.130	-5682335.000
27.169	0.000	450.045	229.423	85296.090	-5322238.000
27.429	0.000	450.045	245.062	80881.260	-4983860.000
27.724	0.000	450.045	261.766	74077.700	-4668788.000
28.021	0.000	450.045	279.609	67479.720	-4374202.000
28.309	0.000	450.045	298.669	63372.950	-4096564.000
28.599	0.000	450.045	319.027	58496.960	-3837454.000
28.881	0.000	450.045	340.773	54706.910	-3595577.000
29.188	0.000	450.045	364.002	51103.970	-3368072.000
29.494	0.000	450.045	388.814	47248.180	-3155092.000
29.726	0.000	450.045	415.317	43955.340	-2954860.000
29.981	0.000	450.045	443.627	41110.740	-2767537.000
30.201	0.000	450.045	473.866	38562.770	-2593369.000
30.428	0.000	450.045	506.167	36607.440	-2428367.000
30.643	0.000	450.045	540.670	34103.390	-2274749.000
30.845	0.000	450.045	577.524	31361.090	-2130585.000
31.078	0.000	450.045	616.890	30101.130	-1996214.000
31.299	0.000	450.045	658.940	27336.390	-1870211.000
31.496	0.000	450.045	703.857	25658.660	-1751475.000
31.730	0.000	450.045	751.834	23555.210	-1640824.000
31.949	0.000	450.045	803.083	22315.530	-1536649.000
32.140	0.000	450.045	857.824	20920.270	-1440087.000
32.370	0.000	450.045	916.297	19641.590	-1348826.000
32.616	0.000	450.045	978.756	18561.350	-1263198.000
33.150	0.000	450.045	1045.472	17048.720	-1183444.000
33.648	0.000	450.045	1116.736	15927.990	-1108630.000
34.114	0.000	450.046	1192.857	14833.750	-1038431.000
34.563	0.000	450.046	1274.167	13996.170	-972740.200
34.986	0.000	450.046	1361.020	12988.030	-911228.800
35.391	0.000	450.046	1453.793	12218.740	-853794.800
35.791	0.000	450.046	1552.890	11384.750	-799637.700
36.191	0.000	450.046	1658.741	10792.840	-749107.500
36.558	0.000	450.046	1771.808	10092.700	-701623.800
36.903	0.000	450.046	1892.582	9387.210	-657324.900
37.263	0.000	450.046	2021.589	8778.702	-615814.100
37.590	0.000	450.046	2159.389	8189.470	-576787.700
37.947	0.000	450.046	2306.582	7712.790	-540249.100
38.248	0.000	450.046	2463.808	7188.564	-506061.700
38.598	0.000	450.046	2631.752	6714.036	-474037.700
38.904	0.000	450.046	2811.143	6342.837	-444054.900
39.216	0.000	450.046	3002.763	5938.224	-415961.400
39.532	0.000	450.046	3207.444	5584.223	-389687.600
39.795	0.000	450.046	3426.077	5265.209	-365049.900
40.076	0.000	450.046	3659.613	4861.402	-341981.500
40.323	0.000	450.046	3909.068	4611.237	-320259.000
40.668	0.000	450.047	4175.526	4360.706	-300002.400
41.036	0.000	450.047	4460.148	4008.487	-281081.200
41.383	0.000	450.047	4764.171	3792.525	-263227.600
41.688	0.000	450.047	5088.917	3533.244	-246634.600
41.997	0.000	450.047	5435.799	3304.424	-231033.200
42.281	0.000	450.047	5806.326	3157.722	-216413.900
42.610	0.000	450.047	6202.110	2911.176	-202696.200
42.873	0.000	450.047	6624.872	2790.464	-189884.200
43.146	0.000	450.047	7076.452	2576.760	-177915.200
43.392	0.000	450.047	7558.813	2402.940	-166648.800
43.712	0.000	450.047	8074.054	2304.652	-156117.400
44.024	0.000	450.047	8624.416	2167.917	-146224.500
44.348	0.000	450.047	9212.292	1992.374	-136956.200
44.610	0.000	450.047	9840.241	1858.928	-128271.800
44.912	0.000	450.047	10510.994	1739.056	-120194.800
45.164	0.000	450.047	11227.468	1636.965	-112568.200
45.433	0.000	450.047	11992.780	1555.944	-105465.200
45.704	0.000	450.048	12810.259	1459.507	-98795.190
45.995	0.000	450.048	13683.461	1360.568	-92541.760
46.254	0.000	450.048	14616.184	1305.183	-86687.740
46.509	0.000	450.048	15612.485	1213.147	-81210.870
46.751	0.000	450.048	16676.698	1141.113	-76079.570
47.045	0.000	450.048	17813.453	1077.781	-71260.810
47.313	0.000	450.049	19027.694	1010.671	-66762.500
47.578	0.000	450.049	20324.702	950.506	-62549.410
47.859	0.000	450.049	21710.121	894.384	-58575.300
48.132	0.000	450.049	23189.975	822.981	-54890.880
48.389	0.000	450.049	24770.702	785.646	-51409.190
48.667	0.000	450.049	26459.178	741.335	-48162.070
48.964	0.000	450.049	28262.749	694.357	-45111.150
49.222	0.000	450.049	30189.258	654.104	-42247.850
49.572	0.000	450.049	32247.086	620.455	-39578.170
49.823	0.000	450.049	34445.185	584.368	-37081.250
50.080	0.000	450.049	36793.115	548.576	-34739.920
50.371	0.000	450.049	39301.090	514.008	-32536.590
50.673	0.000	450.049	41980.020	486.285	-30481.990
51.083	0.000	450.048	44841.556	460.357	-28552.450
51.473	0.000	450.048	47898.147	433.060	-26748.610
51.878	0.000	450.048	51163.089	403.763	-25061.530
52.178	0.000	450.048	54650.583	389.804	-23478.370
52.586	0.000	450.048	58375.799	352.260	-21989.640
52.874	0.000	450.048	62354.942	345.112	-20576.060
53.303	0.000	450.048	66605.320	320.253	-19294.870
53.667	0.000	450.048	71145.421	300.153	-18075.390
53.927	0.000	450.048	75994.996	287.965	-16933.330
54.208	0.000	450.048	81175.138	271.743	-15870.180
54.519	0.000	450.048	86708.381	256.433	-14861.400
54.854	0.000	450.048	92618.793	238.976	-13920.590
55.149	0.000	450.047	98932.084	225.427	-13031.000
55.528	0.000	450.047	105675.715	231.129	-12224.740
55.830	0.000	450.047	112879.022	207.460	-11445.530
56.133	0.000	450.047	120573.336	198.751	-10719.390
56.476	0.000	450.047	128792.127	168.348	-10031.340
56.774	0.000	450.047	137571.146	171.152	-9410.787
57.149	0.000	450.046	146948.581	165.431	-8811.325
57.456	0.000	450.046	156965.221	156.493	-8254.279
57.752	0.000	450.046	167664.638	146.389	-7735.927
58.035	0.000	450.046	179093.373	139.188	-7244.099
