Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
2.572	0.000	415.047	20.000	968763.300	-64995750.000
3.952	0.000	415.047	21.363	1400161.000	-60032460.000
5.248	0.000	415.047	22.819	1156662.000	-56464730.000
6.467	0.000	415.047	24.375	1164423.000	-52972970.000
7.614	0.000	415.047	26.036	1048047.000	-49421110.000
8.690	0.000	415.047	27.811	921346.900	-46237330.000
9.705	0.000	415.047	29.707	835864.200	-43290420.000
10.656	0.000	415.048	31.732	814223.300	-40594610.000
11.580	0.000	415.049	33.895	791974.200	-38044000.000
12.462	0.000	415.049	36.205	594795.900	-35578280.000
13.257	0.000	415.049	38.673	616594.200	-33490000.000
14.200	0.000	415.049	41.309	565222.000	-31265040.000
15.083	0.000	415.049	44.125	403897.900	-29227550.000
15.914	0.000	415.049	47.133	252616.600	-27392830.000
16.698	0.000	415.048	50.346	216083.400	-25705630.000
17.435	0.000	415.048	53.777	224683.000	-24050220.000
18.138	0.000	415.049	57.443	300432.100	-22535130.000
18.793	0.000	415.049	61.359	340094.300	-21131460.000
19.467	0.000	415.048	65.541	293383.000	-19802420.000
20.099	0.000	415.048	70.009	320260.300	-18562820.000
20.777	0.000	415.048	74.781	294066.700	-17370040.000
21.514	0.000	415.048	79.878	247115.100	-16290550.000
22.060	0.000	415.048	85.323	228791.400	-15244500.000
22.589	0.000	415.048	91.139	210293.100	-14288690.000
23.069	0.000	415.048	97.352	205377.200	-13379340.000
23.600	0.000	415.048	103.987	199014.900	-12535500.000
24.061	0.000	415.048	111.076	174550.200	-11744760.000
24.564	0.000	415.048	118.647	161924.900	-10994380.000
24.992	0.000	415.048	126.735	157008.200	-10304170.000
25.439	0.000	415.047	135.373	136850.900	-9645114.000
25.791	0.000	415.047	144.601	142848.000	-9030408.000
26.322	0.000	415.047	154.458	133003.800	-8478772.000
26.747	0.000	415.046	164.986	112781.800	-7930390.000
27.102	0.000	415.046	176.232	103097.300	-7434899.000
27.461	0.000	415.046	188.245	99870.680	-6957872.000
27.876	0.000	415.046	201.077	91344.290	-6516268.000
28.157	0.000	415.045	214.783	85356.400	-6104476.000
28.472	0.000	415.045	229.423	80625.630	-5719212.000
28.788	0.000	415.044	245.062	71855.060	-5359813.000
29.290	0.000	415.044	261.766	67336.050	-5018329.000
29.599	0.000	415.044	279.609	64003.900	-4699091.000
29.963	0.000	415.044	298.669	60131.750	-4401870.000
30.279	0.000	415.044	319.027	55431.830	-4123313.000
30.646	0.000	415.044	340.773	51753.260	-3861786.000
30.909	0.000	415.044	364.002	48550.060	-3617856.000
31.360	0.000	415.044	388.814	45119.420	-3388455.000
31.651	0.000	415.045	415.317	42544.130	-3173683.000
31.871	0.000	415.045	443.627	39976.620	-2972089.000
32.186	0.000	415.045	473.866	37248.530	-2783628.000
32.423	0.000	415.045	506.167	34326.810	-2607842.000
32.721	0.000	415.045	540.670	32669.770	-2442505.000
32.974	0.000	415.046	577.524	29389.510	-2288452.000
33.239	0.000	415.046	616.890	28148.410	-2143770.000
33.559	0.000	415.046	658.940	26182.810	-2007515.000
33.819	0.000	415.046	703.857	24396.900	-1880165.000
34.031	0.000	415.047	751.834	22927.140	-1760932.000
34.254	0.000	415.047	803.083	20864.050	-1649612.000
34.459	0.000	415.047	857.824	19856.380	-1545313.000
34.761	0.000	415.048	916.297	18637.440	-1447316.000
35.031	0.000	415.048	978.756	17150.280	-1355551.000
35.568	0.000	415.048	1045.472	16295.620	-1270089.000
36.092	0.000	415.048	1116.736	15178.840	-1189795.000
36.695	0.000	415.048	1192.857	14359.020	-1114404.000
37.165	0.000	415.048	1274.167	13189.020	-1043590.000
37.630	0.000	415.048	1361.020	12536.780	-977718.400
38.070	0.000	415.048	1453.793	11468.850	-915520.300
38.443	0.000	415.048	1552.890	10872.180	-857640.100
38.914	0.000	415.048	1658.741	10220.150	-803299.700
39.304	0.000	415.048	1771.808	9554.422	-752426.200
39.701	0.000	415.049	1892.582	8907.268	-704777.900
40.057	0.000	415.049	2021.589	8320.716	-660245.100
40.478	0.000	415.049	2159.389	7702.973	-618396.100
40.821	0.000	415.049	2306.582	7376.191	-579206.700
41.173	0.000	415.050	2463.808	6887.528	-542518.800
41.484	0.000	415.050	2631.752	6474.418	-508174.000
41.858	0.000	415.050	2811.143	6086.635	-475898.600
42.247	0.000	415.050	3002.763	5683.648	-445778.300
42.720	0.000	415.050	3207.444	5317.914	-417535.200
43.149	0.000	415.050	3426.077	4954.639	-391123.500
43.511	0.000	415.050	3659.613	4602.184	-366323.800
43.818	0.000	415.050	3909.068	4348.565	-343115.800
44.185	0.000	415.050	4175.526	4111.928	-321431.200
44.572	0.000	415.050	4460.148	3834.546	-301096.900
44.979	0.000	415.050	4764.171	3633.139	-281964.800
45.361	0.000	415.050	5088.917	3388.943	-264139.800
45.695	0.000	415.050	5435.799	3129.465	-247400.300
46.083	0.000	415.050	5806.326	2972.067	-231655.100
46.404	0.000	415.049	6202.110	2819.712	-217055.900
46.826	0.000	415.049	6624.872	2644.467	-203356.900
47.198	0.000	415.049	7076.452	2499.183	-190467.100
47.464	0.000	415.049	7558.813	2319.986	-178402.300
47.963	0.000	415.049	8074.054	2170.764	-167117.000
48.364	0.000	415.049	8624.416	2019.641	-156474.300
48.742	0.000	415.049	9212.292	1908.512	-146534.200
49.293	0.000	415.048	9840.241	1815.634	-137264.600
49.636	0.000	415.048	10510.994	1718.806	-128603.400
49.876	0.000	415.048	11227.468	1620.688	-120456.300
50.210	0.000	415.048	11992.780	1522.236	-112837.800
50.579	0.000	415.048	12810.259	1431.434	-105702.800
50.929	0.000	415.048	13683.461	1352.470	-99011.350
51.312	0.000	415.048	14616.184	1279.551	-92747.750
51.556	0.000	415.048	15612.485	1187.400	-86866.220
51.811	0.000	415.047	16676.698	1118.848	-81367.880
52.111	0.000	415.047	17813.453	1057.162	-76214.940
52.398	0.000	415.047	19027.694	1001.440	-71400.830
52.763	0.000	415.047	20324.702	939.781	-66879.240
53.079	0.000	415.047	21710.121	880.472	-62647.480
53.424	0.000	415.046	23189.975	839.583	-58693.830
53.784	0.000	415.046	24770.702	784.048	-54970.970
54.123	0.000	415.046	26459.178	735.829	-51497.790
54.444	0.000	415.045	28262.749	691.909	-48228.160
54.774	0.000	415.044	30189.258	659.220	-45175.260
55.035	0.000	415.043	32247.086	619.440	-42318.250
55.298	0.000	415.043	34445.185	583.882	-39637.020
55.687	0.000	415.043	36793.115	553.363	-37133.650
55.916	0.000	415.042	39301.090	520.536	-34785.570
56.370	0.000	415.042	41980.020	489.617	-32577.590
56.882	0.000	415.041	44841.556	463.247	-30521.130
57.330	0.000	415.041	47898.147	437.740	-28588.760
57.756	0.000	415.040	51163.089	413.666	-26782.050
58.245	0.000	415.040	54650.583	387.381	-25082.660
58.702	0.000	415.041	58375.799	364.201	-23490.980
59.145	0.000	415.041	62354.942	340.839	-22030.600
59.554	0.000	415.041	66605.320	333.173	-20628.480
59.885	0.000	415.041	71145.421	315.091	-19320.800
60.166	0.000	415.041	75994.996	298.675	-18090.130
60.553	0.000	415.041	81175.138	276.600	-16950.060
60.907	0.000	415.041	86708.381	268.907	-15876.020
61.198	0.000	415.041	92618.793	249.727	-14872.020
61.463	0.000	415.042	98932.084	242.954	-13929.040
61.802	0.000	415.042	105675.715	235.421	-13074.200
62.122	0.000	415.042	112879.022	204.020	-12225.930
62.442	0.000	415.043	120573.336	203.799	-11455.670
62.798	0.000	415.043	128792.127	171.682	-10735.180
63.094	0.000	415.043	137571.146	183.185	-10050.530
63.451	0.000	415.043	146948.581	178.968	-9419.752
