Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
2.577	0.000	430.049	20.000	1416316.000	-61730950.000
3.974	0.000	430.048	21.363	1607689.000	-57049560.000
5.284	0.000	430.048	22.819	1231786.000	-53278540.000
6.516	0.000	430.048	24.375	1203051.000	-50101740.000
7.677	0.000	430.049	26.036	1115010.000	-46871850.000
8.768	0.000	430.049	27.811	901698.100	-43992470.000
9.788	0.000	430.050	29.707	860390.000	-41090570.000
10.763	0.000	430.050	31.732	893947.800	-38647180.000
11.673	0.000	430.050	33.895	844057.400	-36107500.000
12.527	0.000	430.050	36.205	693590.700	-33725490.000
13.348	0.000	430.050	38.673	701096.400	-31633560.000
14.297	0.000	430.050	41.309	541542.100	-29669100.000
15.198	0.000	430.050	44.125	435546.700	-27736910.000
16.039	0.000	430.050	47.133	268594.300	-26019880.000
16.842	0.000	430.050	50.346	279479.100	-24386000.000
17.588	0.000	430.050	53.777	265365.100	-22833380.000
18.300	0.000	430.049	57.443	321507.800	-21379530.000
18.972	0.000	430.050	61.359	344572.700	-20058680.000
19.604	0.000	430.049	65.541	327653.800	-18780650.000
20.204	0.000	430.050	70.009	322568.800	-17604770.000
20.765	0.000	430.049	74.781	290694.600	-16513020.000
21.295	0.000	430.049	79.878	268600.300	-15454350.000
21.794	0.000	430.049	85.323	245234.900	-14470120.000
22.286	0.000	430.049	91.139	237606.100	-13546030.000
22.733	0.000	430.049	97.352	205579.600	-12698940.000
23.162	0.000	430.049	103.987	189737.100	-11899070.000
23.564	0.000	430.049	111.076	189911.800	-11147710.000
23.943	0.000	430.049	118.647	177689.700	-10435280.000
24.304	0.000	430.049	126.735	158158.200	-9780867.000
24.659	0.000	430.049	135.373	149861.200	-9154709.000
25.000	0.000	430.049	144.601	131553.900	-8571025.000
25.323	0.000	430.049	154.458	146728.800	-8042484.000
25.633	0.000	430.049	164.986	123399.200	-7530221.000
25.921	0.000	430.048	176.232	113621.100	-7052648.000
26.212	0.000	430.048	188.245	103983.200	-6608568.000
26.505	0.000	430.048	201.077	95528.890	-6190611.000
26.798	0.000	430.048	214.783	91280.020	-5798576.000
27.095	0.000	430.048	229.423	85457.060	-5431616.000
27.385	0.000	430.048	245.062	78446.600	-5086335.000
27.707	0.000	430.048	261.766	75829.320	-4765470.000
27.994	0.000	430.048	279.609	67785.720	-4466126.000
28.294	0.000	430.048	298.669	62306.340	-4182542.000
28.590	0.000	430.048	319.027	60540.990	-3917175.000
28.847	0.000	430.048	340.773	55884.190	-3670554.000
29.106	0.000	430.048	364.002	52645.360	-3438134.000
29.352	0.000	430.048	388.814	48804.280	-3220361.000
29.605	0.000	430.048	415.317	45802.010	-3016678.000
29.826	0.000	430.048	443.627	42349.570	-2825443.000
30.062	0.000	430.048	473.866	40091.330	-2646688.000
30.281	0.000	430.048	506.167	37592.510	-2479377.000
30.527	0.000	430.047	540.670	34811.300	-2323065.000
30.730	0.000	430.047	577.524	31988.700	-2175440.000
31.005	0.000	430.047	616.890	30288.590	-2038481.000
31.227	0.000	430.047	658.940	28050.290	-1909696.000
31.477	0.000	430.047	703.857	26600.370	-1788942.000
31.676	0.000	430.047	751.834	24455.940	-1674904.000
31.875	0.000	430.047	803.083	23286.170	-1569571.000
32.138	0.000	430.047	857.824	21537.330	-1470325.000
32.335	0.000	430.047	916.297	19918.790	-1377212.000
32.545	0.000	430.047	978.756	18608.650	-1290112.000
33.074	0.000	430.048	1045.472	17666.250	-1208726.000
33.575	0.000	430.048	1116.736	16354.870	-1132312.000
34.048	0.000	430.048	1192.857	15546.700	-1060685.000
34.508	0.000	430.048	1274.167	14533.200	-993544.900
34.937	0.000	430.048	1361.020	13564.310	-930794.400
35.334	0.000	430.048	1453.793	12515.060	-871975.100
35.708	0.000	430.048	1552.890	11772.720	-816839.300
36.109	0.000	430.048	1658.741	11019.660	-765122.700
36.467	0.000	430.048	1771.808	10268.200	-716814.900
36.835	0.000	430.048	1892.582	9577.772	-671447.000
37.179	0.000	430.048	2021.589	9003.908	-628922.400
37.509	0.000	430.048	2159.389	8326.001	-589075.500
37.859	0.000	430.049	2306.582	7806.637	-551763.800
38.220	0.000	430.049	2463.808	7331.897	-516972.300
38.523	0.000	430.049	2631.752	6848.940	-484198.400
38.874	0.000	430.049	2811.143	6344.238	-453644.800
39.202	0.000	430.049	3002.763	6029.014	-424855.300
39.486	0.000	430.049	3207.444	5636.661	-397942.200
39.781	0.000	430.049	3426.077	5264.930	-372839.800
40.032	0.000	430.049	3659.613	4918.993	-349306.100
40.336	0.000	430.049	3909.068	4560.728	-327036.700
40.689	0.000	430.050	4175.526	4309.730	-306456.000
41.029	0.000	430.050	4460.148	4017.156	-287046.700
41.408	0.000	430.050	4764.171	3755.185	-268882.000
41.723	0.000	430.050	5088.917	3552.708	-251893.200
42.048	0.000	430.050	5435.799	3267.361	-235922.600
42.357	0.000	430.050	5806.326	3052.980	-220986.400
42.624	0.000	430.050	6202.110	2828.895	-207050.800
42.908	0.000	430.050	6624.872	2637.623	-193865.600
43.159	0.000	430.050	7076.452	2552.460	-181613.400
43.450	0.000	430.050	7558.813	2324.755	-170190.800
43.736	0.000	430.050	8074.054	2211.126	-159372.400
44.051	0.000	430.050	8624.416	2094.256	-149301.400
44.357	0.000	430.050	9212.292	1947.410	-139817.500
44.621	0.000	430.050	9840.241	1812.927	-130948.400
44.876	0.000	430.050	10510.994	1718.133	-122694.000
45.158	0.000	430.050	11227.468	1617.968	-114921.600
45.406	0.000	430.050	11992.780	1514.707	-107662.200
45.689	0.000	430.050	12810.259	1445.452	-100839.600
45.947	0.000	430.050	13683.461	1341.092	-94469.490
46.196	0.000	430.050	14616.184	1283.980	-88484.420
46.516	0.000	430.050	15612.485	1192.254	-82886.850
46.784	0.000	430.050	16676.698	1131.419	-77645.890
47.043	0.000	430.050	17813.453	1061.865	-72741.020
47.381	0.000	430.050	19027.694	993.692	-68132.580
47.695	0.000	430.050	20324.702	938.893	-63831.210
47.940	0.000	430.050	21710.121	885.431	-59790.300
48.218	0.000	430.050	23189.975	844.322	-56001.120
48.500	0.000	430.050	24770.702	784.307	-52464.050
48.762	0.000	430.050	26459.178	729.525	-49143.930
49.017	0.000	430.050	28262.749	689.039	-46029.510
49.258	0.000	430.050	30189.258	655.508	-43118.800
49.514	0.000	430.050	32247.086	607.866	-40389.210
49.804	0.000	430.050	34445.185	581.218	-37833.800
50.062	0.000	430.050	36793.115	546.701	-35440.540
50.318	0.000	430.050	39301.090	514.245	-33204.920
50.573	0.000	430.050	41980.020	482.167	-31098.890
50.915	0.000	430.050	44841.556	458.942	-29133.530
51.296	0.000	430.050	47898.147	430.391	-27288.920
51.727	0.000	430.050	51163.089	401.752	-25571.690
52.117	0.000	430.050	54650.583	388.205	-23949.640
52.474	0.000	430.050	58375.799	356.851	-22431.910
52.808	0.000	430.050	62354.942	348.058	-20990.210
53.243	0.000	430.049	66605.320	327.033	-19690.280
53.516	0.000	430.049	71145.421	302.485	-18442.430
53.791	0.000	430.049	75994.996	289.449	-17277.690
54.045	0.000	430.049	81175.138	269.822	-16174.860
54.355	0.000	430.049	86708.381	251.182	-15164.000
54.646	0.000	430.049	92618.793	238.376	-14205.170
54.925	0.000	430.049	98932.084	223.139	-13303.810
55.290	0.000	430.048	105675.715	210.470	-12448.750
55.572	0.000	430.048	112879.022	211.943	-11681.830
55.844	0.000	430.048	120573.336	197.156	-10938.220
56.172	0.000	430.048	128792.127	185.768	-10236.090
56.462	0.000	430.048	137571.146	174.253	-9598.077
56.835	0.000	430.047	146948.581	167.463	-8988.856
57.149	0.000	430.047	156965.221	158.281	-8420.917
57.457	0.000	430.047	167664.638	148.767	-7891.515
57.731	0.000	430.047	179093.373	141.550	-7391.634
58.050	0.000	430.048	191301.139	133.871	-6921.603
58.368	0.000	430.048	204341.039	130.949	-6485.693
58.635	0.000	430.048	218269.793	121.220	-6077.294
58.929	0.000	430.048	233147.990	110.965	-5687.047
59.212	0.000	430.048	249040.349	121.692	-5323.465
59.572	0.000	430.048	266015.998	105.565	-4994.919
59.853	0.000	430.048	284148.780	101.555	-4678.967
60.101	0.000	430.048	303517.570	96.505	-4379.606
60.583	0.000	430.048	324206.618	91.921	-4099.842
60.869	0.000	430.048	346305.920	93.264	-3844.337
61.176	0.000	430.048	369911.605	83.624	-3597.253
61.431	0.000	430.047	395126.353	79.228	-3368.622
61.702	0.000	430.047	422059.846	77.862	-3152.930
62.032	0.000	430.047	450829.241	74.896	-2954.294
62.368	0.000	430.047	481559.679	79.257	-2761.324
62.651	0.000	430.047	514384.835	71.244	-2586.519
62.903	0.000	430.047	549447.493	67.893	-2424.483
63.189	0.000	430.047	586900.171	69.125	-2266.964
63.492	0.000	430.047	626905.783	86.985	-2117.409
63.782	0.000	430.047	669638.348	64.372	-2003.699
64.084	0.000	430.047	715283.746	56.982	-1870.422
64.415	0.000	430.047	764040.529	58.443	-1751.902
64.698	0.000	430.047	816120.781	54.538	-1634.742
64.956	0.000	430.047	871751.044	53.145	-1526.517
65.257	0.000	430.047	931173.304	54.283	-1420.031
65.585	0.000	430.047	994646.037	65.466	-1337.606
65.838	0.000	430.047	1062445.341	0.331	-1242.856
66.145	0.000	430.047	1134866.134	6.169	-1159.465
66.581	0.000	430.047	1212223.437	6.819	-1079.621
66.888	0.000	430.047	1294853.743	8.444	-1012.649
67.225	0.000	430.047	1383116.481	4.052	-953.456
67.649	0.000	430.047	1477395.584	-2.855	-891.178
68.074	0.000	430.046	1578101.150	-3.425	-828.431
68.377	0.000	430.046	1685671.237	-6.173	-773.507
68.662	0.000	430.046	1800573.758	-5.300	-718.709
69.030	0.000	430.046	1923308.524	-7.602	-665.669
69.336	0.000	430.046	2054409.414	-7.057	-622.270
69.687	0.000	430.046	2194446.698	-3.410	-581.157
69.957	0.000	430.046	2344029.518	-7.379	-534.819
70.258	0.000	430.046	2503808.540	-9.232	-496.194
70.534	0.000	430.046	2674478.780	-8.225	-457.199
70.883	0.000	430.046	2856782.629	-7.432	-421.126
71.165	0.000	430.046	3051513.084	-8.900	-381.015
71.427	0.000	430.046	3259517.196	-4.753	-349.623
71.749	0.000	430.046	3481699.752	-1.499	-316.386
72.061	0.000	430.046	3719027.216	7.555	-290.661
72.355	0.000	430.046	3972531.929	26.856	-275.827
72.654	0.000	430.046	4243316.602	12.522	-254.132
72.968	0.000	430.046	4532559.110	9.935	-241.922
73.268	0.000	430.046	4841517.618	2.481	-214.477
73.571	0.000	430.046	5171536.051	3.120	-188.929
73.967	0.000	430.046	5524049.945	1.898	-167.361
74.282	0.000	430.046	5900592.685	-0.664	-144.912
74.569	0.000	430.046	6302802.180	3.559	-125.087
74.839	0.000	430.046	6732427.985	2.310	-108.013
75.190	0.000	430.046	7191338.911	2.864	-87.674
75.490	0.000	430.046	7681531.159	6.721	-70.808
75.766	0.000	430.046	8205136.995	5.608	-58.573
76.041	0.000	430.046	8764434.032	5.576	-42.061
76.414	0.000	430.046	9361855.135	8.576	-26.491
76.685	0.000	430.046	9999999.000	11.320	-14.151
