Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.475	0.000	400.066	20.000	-3876351.000	-48940900.000
2.866	0.000	400.067	21.363	6753589.000	-45269560.000
4.164	0.000	400.069	22.819	6007514.000	-42621650.000
5.385	0.000	400.070	24.375	5432470.000	-40072930.000
6.531	0.000	400.069	26.036	4948214.000	-37737740.000
7.609	0.000	400.070	27.811	4413825.000	-35515240.000
8.623	0.000	400.070	29.707	3995399.000	-33369310.000
9.575	0.000	400.072	31.732	3633998.000	-31349500.000
10.473	0.000	400.072	33.895	3340607.000	-29418140.000
11.318	0.000	400.072	36.205	3090468.000	-27730350.000
12.120	0.000	400.072	38.673	2835930.000	-26027990.000
13.064	0.000	400.071	41.309	2498558.000	-24417360.000
13.951	0.000	400.070	44.125	2205997.000	-22937570.000
14.787	0.000	400.068	47.133	1946051.000	-21564810.000
15.574	0.000	400.067	50.346	1739455.000	-20275630.000
16.314	0.000	400.067	53.777	1635714.000	-19028700.000
17.012	0.000	400.066	57.443	1534225.000	-17857910.000
17.678	0.000	400.066	61.359	1406565.000	-16808720.000
18.296	0.000	400.067	65.541	1287958.000	-15763680.000
18.901	0.000	400.067	70.009	1171233.000	-14790210.000
19.482	0.000	400.068	74.781	1065111.000	-13890340.000
20.019	0.000	400.068	79.878	985258.500	-13041720.000
20.512	0.000	400.068	85.323	886746.100	-12231110.000
20.978	0.000	400.068	91.139	810056.700	-11481570.000
21.418	0.000	400.068	97.352	734650.900	-10773720.000
21.835	0.000	400.068	103.987	668659.200	-10108800.000
22.236	0.000	400.068	111.076	609307.200	-9485250.000
22.618	0.000	400.068	118.647	557793.100	-8898299.000
22.997	0.000	400.068	126.735	507867.200	-8353317.000
23.363	0.000	400.067	135.373	465526.500	-7835121.000
23.688	0.000	400.067	144.601	414889.500	-7349043.000
24.049	0.000	400.066	154.458	389709.800	-6888831.000
24.395	0.000	400.066	164.986	350408.200	-6462210.000
24.723	0.000	400.066	176.232	323675.100	-6062741.000
25.051	0.000	400.066	188.245	294880.200	-5685108.000
25.361	0.000	400.065	201.077	269253.700	-5332499.000
25.688	0.000	400.065	214.783	245528.800	-5002248.000
25.963	0.000	400.065	229.423	223359.600	-4688844.000
26.269	0.000	400.064	245.062	207371.600	-4395957.000
26.570	0.000	400.064	261.766	189139.700	-4122155.000
26.865	0.000	400.064	279.609	172207.700	-3864935.000
27.181	0.000	400.064	298.669	156868.700	-3624383.000
27.479	0.000	400.064	319.027	143541.400	-3399263.000
27.772	0.000	400.065	340.773	131105.400	-3186741.000
28.004	0.000	400.065	364.002	120618.200	-2987542.000
28.269	0.000	400.065	388.814	110618.600	-2800480.000
