Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.474	0.000	395.071	20.000	-4191715.000	-59542470.000
2.877	0.000	395.072	21.363	5803361.000	-47093720.000
4.176	0.000	395.073	22.819	5185861.000	-44085790.000
5.397	0.000	395.074	24.375	4648590.000	-41447960.000
6.544	0.000	395.072	26.036	4241112.000	-38955330.000
7.621	0.000	395.072	27.811	3802557.000	-36587610.000
8.635	0.000	395.072	29.707	3473969.000	-34409360.000
9.587	0.000	395.073	31.732	3160946.000	-32272140.000
10.502	0.000	395.073	33.895	2881374.000	-30372210.000
11.349	0.000	395.073	36.205	2689888.000	-28435430.000
12.148	0.000	395.073	38.673	2353753.000	-26727820.000
13.092	0.000	395.073	41.309	2145879.000	-25120590.000
13.979	0.000	395.072	44.125	1878152.000	-23579650.000
14.829	0.000	395.072	47.133	1658685.000	-22145730.000
15.615	0.000	395.072	50.346	1474485.000	-20771290.000
16.355	0.000	395.072	53.777	1397767.000	-19528810.000
17.074	0.000	395.073	57.443	1335072.000	-18314960.000
17.731	0.000	395.073	61.359	1242855.000	-17227360.000
18.364	0.000	395.074	65.541	1133605.000	-16158550.000
18.950	0.000	395.074	70.009	1041617.000	-15144470.000
19.503	0.000	395.074	74.781	949076.800	-14212440.000
20.026	0.000	395.074	79.878	844715.700	-13332220.000
20.539	0.000	395.073	85.323	778204.400	-12497380.000
21.005	0.000	395.072	91.139	713621.400	-11731370.000
21.446	0.000	395.071	97.352	641217.000	-10998910.000
21.887	0.000	395.071	103.987	583761.400	-10322210.000
22.283	0.000	395.071	111.076	541569.100	-9682913.000
22.661	0.000	395.071	118.647	494353.000	-9082186.000
23.037	0.000	395.071	126.735	449059.200	-8518178.000
23.384	0.000	395.071	135.373	412474.700	-7991957.000
23.711	0.000	395.071	144.601	378954.900	-7498979.000
24.033	0.000	395.071	154.458	338267.300	-7033605.000
24.376	0.000	395.071	164.986	311873.800	-6588719.000
24.673	0.000	395.071	176.232	288145.500	-6176062.000
24.954	0.000	395.071	188.245	261375.200	-5791032.000
25.218	0.000	395.070	201.077	239917.300	-5434255.000
25.491	0.000	395.070	214.783	220975.600	-5093317.000
25.788	0.000	395.070	229.423	200870.900	-4776111.000
26.078	0.000	395.070	245.062	182453.000	-4478570.000
26.371	0.000	395.070	261.766	166542.700	-4197850.000
26.656	0.000	395.070	279.609	154895.400	-3935377.000
26.947	0.000	395.070	298.669	141505.500	-3688941.000
