Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.472	0.000	423.392	20.000	2249712.000	-34683110.000
2.883	0.000	423.373	21.363	2686358.000	-32707100.000
4.185	0.000	423.356	22.819	2465731.000	-30693130.000
5.406	0.000	423.341	24.375	2224453.000	-28851660.000
6.554	0.000	423.326	26.036	2030908.000	-27026060.000
7.655	0.000	423.312	27.811	1804274.000	-25362070.000
8.695	0.000	423.298	29.707	1682617.000	-23809770.000
9.647	0.000	423.285	31.732	1526003.000	-22366920.000
10.544	0.000	423.273	33.895	1358664.000	-20941420.000
11.388	0.000	423.262	36.205	1278595.000	-19645650.000
12.206	0.000	423.251	38.673	1133775.000	-18483720.000
13.150	0.000	423.237	41.309	1038317.000	-17311750.000
14.037	0.000	423.226	44.125	910134.800	-16235870.000
14.873	0.000	423.214	47.133	780918.000	-15247830.000
15.659	0.000	423.203	50.346	729791.200	-14250670.000
16.402	0.000	423.193	53.777	660601.100	-13414510.000
17.112	0.000	423.182	57.443	633861.100	-12575020.000
17.778	0.000	423.173	61.359	590197.900	-11796150.000
18.397	0.000	423.164	65.541	538662.100	-11051360.000
18.983	0.000	423.156	70.009	490066.300	-10369860.000
19.538	0.000	423.148	74.781	445938.900	-9717765.000
20.063	0.000	423.142	79.878	418864.200	-9117619.000
20.557	0.000	423.135	85.323	377134.500	-8549300.000
21.023	0.000	423.128	91.139	341901.300	-8017240.000
21.462	0.000	423.122	97.352	309198.500	-7509361.000
21.879	0.000	423.116	103.987	283542.300	-7046013.000
22.284	0.000	423.109	111.076	262491.900	-6602218.000
22.683	0.000	423.104	118.647	242163.400	-6186511.000
23.050	0.000	423.098	126.735	221376.200	-5801612.000
23.396	0.000	423.093	135.373	203646.500	-5440520.000
23.748	0.000	423.087	144.601	178669.700	-5102850.000
24.077	0.000	423.084	154.458	170011.000	-4769553.000
24.394	0.000	423.077	164.986	156794.700	-4479254.000
24.705	0.000	423.074	176.232	146779.700	-4198322.000
25.045	0.000	423.069	188.245	133627.200	-3934305.000
25.336	0.000	423.064	201.077	123825.900	-3687111.000
25.651	0.000	423.060	214.783	112520.200	-3457213.000
25.950	0.000	423.056	229.423	103915.900	-3239471.000
26.235	0.000	423.051	245.062	93843.230	-3035441.000
26.550	0.000	423.047	261.766	85515.090	-2844901.000
26.851	0.000	423.043	279.609	81107.570	-2666920.000
27.157	0.000	423.038	298.669	74545.700	-2499937.000
27.431	0.000	423.034	319.027	68788.930	-2342497.000
27.742	0.000	423.030	340.773	63817.140	-2195819.000
28.038	0.000	423.026	364.002	58200.040	-2058065.000
28.264	0.000	423.021	388.814	53907.320	-1929009.000
28.529	0.000	423.017	415.317	50092.700	-1806943.000
28.770	0.000	423.014	443.627	46241.310	-1693494.000
29.003	0.000	423.010	473.866	42852.760	-1586865.000
29.232	0.000	423.008	506.167	39577.300	-1487021.000
29.432	0.000	423.004	540.670	36681.420	-1393650.000
29.684	0.000	423.001	577.524	33858.950	-1306177.000
29.907	0.000	422.997	616.890	31325.310	-1224120.000
30.172	0.000	422.994	658.940	29172.300	-1146874.000
30.357	0.000	422.990	703.857	27039.760	-1074938.000
