Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.472	0.000	433.367	20.000	3350344.000	-31231220.000
2.854	0.000	433.347	21.363	3792206.000	-29842840.000
4.160	0.000	433.329	22.819	3387966.000	-28006290.000
5.414	0.000	433.310	24.375	3078201.000	-26333360.000
6.558	0.000	433.293	26.036	2772367.000	-24730640.000
7.635	0.000	433.278	27.811	2552595.000	-23258900.000
8.645	0.000	433.263	29.707	2296794.000	-21832050.000
9.597	0.000	433.249	31.732	2091007.000	-20497440.000
10.494	0.000	433.236	33.895	1874395.000	-19283770.000
11.338	0.000	433.224	36.205	1691136.000	-18060680.000
12.148	0.000	433.213	38.673	1561590.000	-16959690.000
13.088	0.000	433.199	41.309	1376664.000	-15927990.000
13.974	0.000	433.186	44.125	1232024.000	-14975280.000
14.809	0.000	433.174	47.133	1078226.000	-14020070.000
15.637	0.000	433.164	50.346	985111.500	-13195140.000
16.376	0.000	433.152	53.777	896233.300	-12367520.000
17.074	0.000	433.143	57.443	846813.700	-11622450.000
17.750	0.000	433.133	61.359	783683.500	-10903350.000
18.369	0.000	433.124	65.541	714224.300	-10218400.000
18.953	0.000	433.116	70.009	652182.500	-9599408.000
19.504	0.000	433.110	74.781	590576.200	-9005965.000
20.031	0.000	433.102	79.878	540022.800	-8441224.000
20.522	0.000	433.095	85.323	486189.400	-7918394.000
20.989	0.000	433.089	91.139	444956.600	-7427517.000
21.446	0.000	433.084	97.352	407870.300	-6966972.000
21.862	0.000	433.079	103.987	372565.300	-6530460.000
22.257	0.000	433.074	111.076	339019.300	-6126901.000
22.627	0.000	433.069	118.647	307954.200	-5748417.000
23.008	0.000	433.065	126.735	282142.900	-5389436.000
23.343	0.000	433.060	135.373	259739.000	-5051761.000
23.706	0.000	433.056	144.601	233736.400	-4729087.000
24.063	0.000	433.052	154.458	218523.900	-4434401.000
24.369	0.000	433.048	164.986	195394.000	-4165854.000
24.677	0.000	433.045	176.232	178887.300	-3907793.000
25.005	0.000	433.042	188.245	164629.600	-3662755.000
25.349	0.000	433.038	201.077	151289.200	-3432444.000
25.617	0.000	433.034	214.783	138473.300	-3219254.000
25.891	0.000	433.032	229.423	127303.600	-3016973.000
26.143	0.000	433.028	245.062	115753.600	-2831053.000
26.451	0.000	433.026	261.766	104889.900	-2652027.000
26.754	0.000	433.022	279.609	96931.430	-2485648.000
27.024	0.000	433.019	298.669	89933.570	-2329193.000
27.256	0.000	433.017	319.027	81975.230	-2184052.000
27.498	0.000	433.014	340.773	74911.360	-2047167.000
27.808	0.000	433.012	364.002	69181.130	-1918766.000
28.058	0.000	433.009	388.814	63698.730	-1798845.000
28.336	0.000	433.007	415.317	58190.940	-1685927.000
28.569	0.000	433.005	443.627	53519.460	-1580814.000
28.797	0.000	433.002	473.866	49262.760	-1481275.000
29.031	0.000	433.000	506.167	45565.260	-1388656.000
29.297	0.000	432.998	540.670	41948.590	-1301245.000
29.521	0.000	432.995	577.524	38847.490	-1219401.000
29.795	0.000	432.993	616.890	35712.370	-1142931.000
30.012	0.000	432.991	658.940	32957.690	-1071490.000
30.235	0.000	432.989	703.857	30330.260	-1003936.000
30.445	0.000	432.988	751.834	28161.180	-940830.700
30.660	0.000	432.986	803.083	26040.470	-881834.900
30.878	0.000	432.985	857.824	24006.460	-826421.200
31.099	0.000	432.983	916.297	22209.630	-774458.400
31.286	0.000	432.981	978.756	20511.140	-725756.800
31.809	0.000	432.978	1045.472	18785.420	-680664.900
32.292	0.000	432.975	1116.736	17311.230	-637838.600
32.750	0.000	432.971	1192.857	16142.680	-597735.700
33.184	0.000	432.969	1274.167	14972.350	-560113.300
33.612	0.000	432.966	1361.020	13805.790	-524995.900
34.032	0.000	432.964	1453.793	12726.090	-492016.800
34.427	0.000	432.962	1552.890	11844.490	-461041.600
34.829	0.000	432.960	1658.741	11021.410	-432049.600
35.204	0.000	432.958	1771.808	10219.510	-404869.500
35.585	0.000	432.956	1892.582	9447.267	-379421.600
35.948	0.000	432.954	2021.589	8810.845	-355545.400
36.277	0.000	432.953	2159.389	8177.496	-333180.100
36.659	0.000	432.952	2306.582	7590.431	-312169.900
37.040	0.000	432.951	2463.808	7068.939	-292538.400
37.425	0.000	432.949	2631.752	6546.477	-274110.900
37.826	0.000	432.948	2811.143	6124.753	-256857.100
38.115	0.000	432.947	3002.763	5660.767	-240659.900
38.442	0.000	432.946	3207.444	5295.907	-225536.400
38.680	0.000	432.945	3426.077	4928.152	-211315.600
38.994	0.000	432.945	3659.613	4584.907	-197996.800
39.237	0.000	432.944	3909.068	4246.356	-185541.700
39.582	0.000	432.943	4175.526	3980.443	-173893.200
39.880	0.000	432.942	4460.148	3701.939	-162925.900
40.259	0.000	432.942	4764.171	3465.327	-152697.900
40.607	0.000	432.941	5088.917	3212.352	-143109.800
40.944	0.000	432.940	5435.799	2969.105	-134087.500
41.287	0.000	432.940	5806.326	2803.653	-125642.500
41.611	0.000	432.939	6202.110	2577.075	-117721.500
41.884	0.000	432.938	6624.872	2410.657	-110266.600
42.142	0.000	432.938	7076.452	2254.716	-103339.700
42.453	0.000	432.937	7558.813	2116.662	-96837.740
42.780	0.000	432.937	8074.054	1954.805	-90740.170
43.044	0.000	432.936	8624.416	1810.945	-84999.630
43.328	0.000	432.936	9212.292	1715.016	-79646.650
43.646	0.000	432.935	9840.241	1631.911	-74615.550
43.949	0.000	432.935	10510.994	1507.002	-69932.700
44.190	0.000	432.935	11227.468	1412.173	-65531.450
44.570	0.000	432.935	11992.780	1317.392	-61392.770
44.872	0.000	432.934	12810.259	1237.766	-57536.530
45.255	0.000	432.934	13683.461	1152.746	-53907.610
45.574	0.000	432.934	14616.184	1086.110	-50512.670
45.949	0.000	432.934	15612.485	1013.714	-47331.170
46.221	0.000	432.935	16676.698	950.325	-44350.040
46.617	0.000	432.935	17813.453	891.639	-41547.530
46.863	0.000	432.935	19027.694	831.390	-38933.170
47.218	0.000	432.935	20324.702	785.631	-36475.270
47.529	0.000	432.936	21710.121	740.956	-34181.990
47.914	0.000	432.936	23189.975	688.518	-32026.160
48.189	0.000	432.937	24770.702	646.528	-30010.140
48.502	0.000	432.937	26459.178	608.330	-28116.630
48.815	0.000	432.937	28262.749	565.642	-26342.120
49.133	0.000	432.938	30189.258	528.637	-24685.270
49.466	0.000	432.938	32247.086	503.096	-23128.100
49.851	0.000	432.939	34445.185	472.545	-21670.630
50.114	0.000	432.940	36793.115	445.818	-20306.570
50.456	0.000	432.940	39301.090	417.732	-19029.310
50.755	0.000	432.941	41980.020	391.678	-17826.770
51.147	0.000	432.942	44841.556	371.056	-16707.170
51.514	0.000	432.943	47898.147	348.173	-15653.360
51.949	0.000	432.944	51163.089	327.076	-14667.550
52.308	0.000	432.945	54650.583	307.980	-13741.050
