Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.474	0.000	426.569	20.000	4582263.000	-34940370.000
2.857	0.000	426.573	21.363	2856045.000	-31752150.000
4.156	0.000	426.577	22.819	2642645.000	-29857690.000
5.376	0.000	426.580	24.375	2408489.000	-27991090.000
6.524	0.000	426.582	26.036	2188794.000	-26253290.000
7.602	0.000	426.583	27.811	1977988.000	-24640390.000
8.615	0.000	426.584	29.707	1803525.000	-23114530.000
9.568	0.000	426.585	31.732	1641185.000	-21692670.000
10.472	0.000	426.585	33.895	1457503.000	-20404730.000
11.317	0.000	426.586	36.205	1349865.000	-19094000.000
12.119	0.000	426.585	38.673	1210388.000	-17914930.000
13.077	0.000	426.585	41.309	1091132.000	-16823420.000
13.964	0.000	426.585	44.125	976643.200	-15791130.000
14.800	0.000	426.585	47.133	833732.200	-14805400.000
15.587	0.000	426.585	50.346	730192.500	-13903090.000
16.328	0.000	426.585	53.777	700293.600	-13030390.000
17.024	0.000	426.584	57.443	673898.000	-12226550.000
17.709	0.000	426.584	61.359	622879.700	-11471120.000
18.328	0.000	426.583	65.541	575180.600	-10759930.000
18.933	0.000	426.582	70.009	521515.700	-10085840.000
19.487	0.000	426.581	74.781	480367.100	-9458770.000
20.023	0.000	426.581	79.878	429708.300	-8875711.000
20.516	0.000	426.580	85.323	399365.700	-8324054.000
20.984	0.000	426.580	91.139	361461.800	-7801620.000
21.426	0.000	426.579	97.352	331061.800	-7316734.000
21.843	0.000	426.579	103.987	303694.600	-6860510.000
22.238	0.000	426.578	111.076	275213.100	-6430573.000
22.623	0.000	426.577	118.647	253338.200	-6029488.000
22.989	0.000	426.577	126.735	232284.000	-5652953.000
23.326	0.000	426.576	135.373	211954.900	-5297947.000
23.659	0.000	426.576	144.601	191358.300	-4974537.000
24.010	0.000	426.575	154.458	175450.500	-4647502.000
24.339	0.000	426.575	164.986	165144.100	-4362736.000
24.634	0.000	426.574	176.232	150086.800	-4088663.000
24.923	0.000	426.574	188.245	137348.700	-3834427.000
25.229	0.000	426.574	201.077	127087.300	-3594307.000
25.524	0.000	426.573	214.783	117704.800	-3367613.000
25.810	0.000	426.573	229.423	108197.000	-3156205.000
26.064	0.000	426.572	245.062	97895.030	-2960107.000
26.360	0.000	426.572	261.766	90245.470	-2773464.000
26.657	0.000	426.572	279.609	84617.300	-2598628.000
26.962	0.000	426.572	298.669	77859.120	-2436353.000
27.265	0.000	426.571	319.027	71712.100	-2283315.000
27.552	0.000	426.571	340.773	65234.590	-2140678.000
27.802	0.000	426.571	364.002	60421.810	-2005961.000
28.067	0.000	426.571	388.814	55849.050	-1880147.000
28.292	0.000	426.570	415.317	51444.480	-1761523.000
28.549	0.000	426.570	443.627	47257.830	-1651343.000
28.814	0.000	426.570	473.866	44093.160	-1547746.000
29.061	0.000	426.569	506.167	40782.940	-1450026.000
29.258	0.000	426.569	540.670	37601.150	-1359125.000
29.509	0.000	426.568	577.524	34682.750	-1273579.000
29.742	0.000	426.568	616.890	32193.660	-1193601.000
29.950	0.000	426.568	658.940	29740.380	-1118432.000
30.195	0.000	426.567	703.857	27508.180	-1048021.000
30.423	0.000	426.567	751.834	25594.350	-982318.200
30.640	0.000	426.567	803.083	23434.520	-920467.800
30.895	0.000	426.566	857.824	21871.660	-862427.600
31.109	0.000	426.566	916.297	20311.760	-808410.200
31.308	0.000	426.566	978.756	18951.230	-757485.900
31.830	0.000	426.566	1045.472	17371.000	-710046.100
32.315	0.000	426.565	1116.736	16172.940	-665395.700
32.773	0.000	426.565	1192.857	14912.840	-623561.100
33.210	0.000	426.565	1274.167	13799.170	-584359.300
33.649	0.000	426.565	1361.020	12846.270	-547571.300
34.053	0.000	426.565	1453.793	11886.770	-513130.600
34.461	0.000	426.565	1552.890	11153.710	-480775.900
34.850	0.000	426.565	1658.741	10380.460	-450540.900
35.225	0.000	426.565	1771.808	9605.556	-422207.100
35.612	0.000	426.565	1892.582	8986.203	-395619.800
35.999	0.000	426.565	2021.589	8347.646	-370708.300
36.356	0.000	426.566	2159.389	7766.677	-347371.500
36.689	0.000	426.566	2306.582	7246.659	-325465.200
37.054	0.000	426.566	2463.808	6747.107	-304992.400
37.444	0.000	426.566	2631.752	6273.225	-285783.300
37.765	0.000	426.566	2811.143	5841.457	-267765.500
38.155	0.000	426.566	3002.763	5414.681	-250909.100
38.474	0.000	426.566	3207.444	5071.993	-235074.700
38.737	0.000	426.566	3426.077	4754.169	-220257.300
