Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.471	0.000	379.377	20.000	3869318.000	-54527640.000
2.850	0.000	379.359	21.363	1363488.000	-50545710.000
4.154	0.000	379.341	22.819	1402448.000	-47423480.000
5.375	0.000	379.324	24.375	1260191.000	-44363060.000
6.520	0.000	379.308	26.036	1025253.000	-41572990.000
7.607	0.000	379.294	27.811	1047539.000	-38996900.000
8.637	0.000	379.280	29.707	849060.800	-36465070.000
9.589	0.000	379.267	31.732	790557.000	-34121400.000
10.487	0.000	379.254	33.895	797878.700	-31920690.000
11.333	0.000	379.244	36.205	725300.500	-30065610.000
12.129	0.000	379.233	38.673	715594.200	-28039570.000
13.072	0.000	379.221	41.309	581269.500	-26275630.000
13.958	0.000	379.209	44.125	447421.000	-24615620.000
14.793	0.000	379.198	47.133	385492.000	-23054520.000
15.607	0.000	379.188	50.346	284147.100	-21559760.000
16.347	0.000	379.178	53.777	371653.100	-20242700.000
17.046	0.000	379.169	57.443	380487.600	-18993780.000
17.703	0.000	379.161	61.359	396565.900	-17802200.000
18.321	0.000	379.152	65.541	366403.900	-16699060.000
18.905	0.000	379.145	70.009	323598.800	-15623750.000
19.458	0.000	379.137	74.781	305632.200	-14642030.000
19.980	0.000	379.131	79.878	285500.600	-13722930.000
20.474	0.000	379.124	85.323	268991.200	-12852990.000
20.940	0.000	379.118	91.139	247159.800	-12048620.000
21.382	0.000	379.112	97.352	220258.500	-11273040.000
21.805	0.000	379.107	103.987	202635.800	-10565640.000
22.196	0.000	379.102	111.076	193186.500	-9908573.000
22.569	0.000	379.096	118.647	186315.900	-9279384.000
22.927	0.000	379.092	126.735	173380.500	-8696533.000
23.269	0.000	379.087	135.373	157419.500	-8149965.000
23.619	0.000	379.083	144.601	163741.700	-7637324.000
23.944	0.000	379.078	154.458	148006.900	-7162256.000
24.291	0.000	379.075	164.986	129615.900	-6699014.000
24.595	0.000	379.070	176.232	122899.200	-6277264.000
24.883	0.000	379.066	188.245	112839.100	-5882291.000
25.185	0.000	379.063	201.077	105923.000	-5508973.000
25.440	0.000	379.059	214.783	98572.190	-5160880.000
25.726	0.000	379.056	229.423	91893.850	-4834712.000
26.045	0.000	379.052	245.062	85930.310	-4532553.000
26.327	0.000	379.049	261.766	80018.030	-4245113.000
26.649	0.000	379.044	279.609	74687.190	-3976207.000
26.923	0.000	379.040	298.669	69318.840	-3724355.000
27.228	0.000	379.037	319.027	64840.250	-3489621.000
27.480	0.000	379.032	340.773	60933.990	-3269072.000
27.761	0.000	379.029	364.002	56691.180	-3062406.000
28.030	0.000	379.026	388.814	52837.140	-2869141.000
28.270	0.000	379.022	415.317	49528.020	-2688103.000
28.506	0.000	379.019	443.627	46914.590	-2519010.000
28.731	0.000	379.016	473.866	43440.230	-2359723.000
28.970	0.000	379.013	506.167	40334.230	-2210578.000
29.175	0.000	379.010	540.670	38400.040	-2071356.000
29.432	0.000	379.008	577.524	35750.000	-1939782.000
29.676	0.000	379.005	616.890	33610.760	-1818017.000
29.878	0.000	379.002	658.940	30685.910	-1703312.000
30.114	0.000	378.999	703.857	29176.730	-1595675.000
30.309	0.000	378.996	751.834	27313.720	-1495258.000
30.509	0.000	378.993	803.083	26050.520	-1400611.000
30.780	0.000	378.990	857.824	23826.280	-1312106.000
30.982	0.000	378.987	916.297	22495.340	-1229054.000
31.196	0.000	378.985	978.756	21063.100	-1151750.000
31.732	0.000	378.978	1045.472	19379.630	-1079130.000
32.217	0.000	378.971	1116.736	18293.920	-1011126.000
32.674	0.000	378.965	1192.857	16989.020	-947204.100
33.107	0.000	378.960	1274.167	15865.920	-887443.100
33.517	0.000	378.955	1361.020	14771.250	-831495.600
33.925	0.000	378.950	1453.793	13934.030	-779110.100
34.316	0.000	378.945	1552.890	13036.440	-729932.200
34.694	0.000	378.940	1658.741	12255.580	-683876.100
35.103	0.000	378.935	1771.808	11473.530	-640584.800
35.452	0.000	378.931	1892.582	10730.260	-600237.900
35.781	0.000	378.926	2021.589	9934.845	-562350.300
36.127	0.000	378.923	2159.389	9384.312	-526839.000
36.478	0.000	378.918	2306.582	8775.707	-493641.600
36.783	0.000	378.914	2463.808	8272.752	-462445.900
37.098	0.000	378.911	2631.752	7744.202	-433248.600
37.442	0.000	378.907	2811.143	7283.512	-405904.400
37.716	0.000	378.903	3002.763	6805.494	-380286.200
38.011	0.000	378.900	3207.444	6317.456	-356321.800
38.276	0.000	378.896	3426.077	5901.447	-333810.400
38.611	0.000	378.894	3659.613	5563.998	-312705.200
38.858	0.000	378.890	3909.068	5192.663	-293011.400
39.226	0.000	378.886	4175.526	4905.450	-274512.700
39.576	0.000	378.881	4460.148	4603.512	-257160.600
39.924	0.000	378.877	4764.171	4285.450	-240985.000
40.310	0.000	378.874	5088.917	4023.297	-225781.900
40.687	0.000	378.869	5435.799	3796.921	-211500.000
41.045	0.000	378.865	5806.326	3521.426	-198095.100
41.326	0.000	378.862	6202.110	3312.976	-185595.300
41.634	0.000	378.858	6624.872	3124.203	-173968.100
41.868	0.000	378.856	7076.452	2940.141	-162938.500
42.108	0.000	378.853	7558.813	2725.450	-152670.000
42.433	0.000	378.850	8074.054	2542.974	-143008.800
42.725	0.000	378.848	8624.416	2385.314	-133986.200
43.032	0.000	378.844	9212.292	2188.851	-125536.700
43.312	0.000	378.842	9840.241	2081.041	-117561.900
43.561	0.000	378.839	10510.994	1986.847	-110171.000
43.838	0.000	378.836	11227.468	1853.784	-103216.300
44.101	0.000	378.834	11992.780	1750.931	-96699.920
44.355	0.000	378.831	12810.259	1646.356	-90613.380
44.685	0.000	378.828	13683.461	1534.128	-84889.270
44.954	0.000	378.825	14616.184	1445.010	-79519.780
45.192	0.000	378.823	15612.485	1354.437	-74517.800
45.490	0.000	378.821	16676.698	1271.619	-69811.090
45.718	0.000	378.818	17813.453	1192.612	-65408.010
46.070	0.000	378.815	19027.694	1119.891	-61281.390
46.334	0.000	378.813	20324.702	1056.068	-57413.680
46.581	0.000	378.811	21710.121	1002.805	-53790.600
46.869	0.000	378.809	23189.975	930.492	-50387.810
47.154	0.000	378.806	24770.702	875.318	-47217.260
47.436	0.000	378.804	26459.178	822.687	-44230.070
47.673	0.000	378.802	28262.749	774.667	-41440.610
47.957	0.000	378.800	30189.258	719.500	-38816.880
48.223	0.000	378.798	32247.086	681.091	-36363.920
48.495	0.000	378.797	34445.185	643.290	-34075.610
48.785	0.000	378.795	36793.115	607.933	-31922.820
49.019	0.000	378.793	39301.090	569.402	-29913.730
49.277	0.000	378.791	41980.020	531.550	-28025.070
49.670	0.000	378.789	44841.556	504.135	-26256.400
50.089	0.000	378.787	47898.147	475.377	-24597.200
50.519	0.000	378.784	51163.089	447.902	-23048.550
50.791	0.000	378.782	54650.583	420.661	-21591.310
51.210	0.000	378.781	58375.799	397.844	-20227.440
51.479	0.000	378.779	62354.942	362.912	-18937.620
51.886	0.000	378.777	66605.320	349.896	-17761.880
52.197	0.000	378.776	71145.421	332.701	-16642.640
52.529	0.000	378.775	75994.996	314.153	-15587.770
52.773	0.000	378.774	81175.138	292.854	-14602.890
53.089	0.000	378.773	86708.381	277.059	-13682.970
53.374	0.000	378.772	92618.793	263.916	-12821.050
53.641	0.000	378.772	98932.084	248.094	-12013.240
53.926	0.000	378.771	105675.715	253.953	-11261.950
54.263	0.000	378.770	112879.022	222.698	-10553.750
54.561	0.000	378.769	120573.336	212.753	-9876.794
54.870	0.000	378.768	128792.127	213.458	-9258.176
55.274	0.000	378.767	137571.146	187.377	-8677.364
55.641	0.000	378.766	146948.581	176.324	-8126.954
55.899	0.000	378.766	156965.221	167.312	-7612.340
56.185	0.000	378.765	167664.638	160.152	-7130.323
56.482	0.000	378.765	179093.373	152.139	-6683.045
56.819	0.000	378.764	191301.139	145.293	-6258.291
57.142	0.000	378.764	204341.039	137.183	-5866.291
57.383	0.000	378.764	218269.793	130.578	-5495.527
57.750	0.000	378.764	233147.990	117.079	-5142.697
58.069	0.000	378.764	249040.349	117.494	-4823.219
58.391	0.000	378.764	266015.998	113.361	-4520.345
58.692	0.000	378.764	284148.780	107.462	-4234.859
58.966	0.000	378.764	303517.570	101.204	-3967.468
59.390	0.000	378.764	324206.618	96.197	-3715.819
59.690	0.000	378.764	346305.920	92.496	-3481.089
59.977	0.000	378.764	369911.605	88.237	-3260.363
60.260	0.000	378.764	395126.353	83.808	-3053.347
60.609	0.000	378.764	422059.846	80.539	-2861.902
60.934	0.000	378.764	450829.241	76.924	-2679.817
61.246	0.000	378.764	481559.679	73.420	-2509.925
61.500	0.000	378.765	514384.835	71.076	-2351.479
61.773	0.000	378.765	549447.493	67.470	-2201.703
62.030	0.000	378.765	586900.171	65.030	-2062.550
62.320	0.000	378.766	626905.783	61.920	-1930.298
62.627	0.000	378.767	669638.348	59.428	-1807.289
62.983	0.000	378.767	715283.746	57.152	-1691.967
63.297	0.000	378.768	764040.529	56.880	-1582.557
63.556	0.000	378.769	816120.781	54.062	-1483.746
63.895	0.000	378.770	871751.044	51.444	-1388.377
64.193	0.000	378.772	931173.304	49.381	-1298.501
64.448	0.000	378.772	994646.037	47.445	-1214.850
64.770	0.000	378.773	1062445.341	3.309	-1130.108
65.028	0.000	378.774	1134866.134	3.122	-1056.617
65.409	0.000	378.776	1212223.437	0.915	-990.989
65.737	0.000	378.776	1294853.743	-0.413	-924.445
66.051	0.000	378.777	1383116.481	-1.467	-863.837
66.451	0.000	378.778	1477395.584	-2.849	-805.717
66.901	0.000	378.780	1578101.150	-3.699	-751.380
67.178	0.000	378.781	1685671.237	-4.714	-700.808
67.499	0.000	378.782	1800573.758	-5.202	-652.797
67.960	0.000	378.784	1923308.524	-5.937	-607.835
68.258	0.000	378.786	2054409.414	-6.337	-565.259
68.563	0.000	378.787	2194446.698	-6.834	-524.760
68.808	0.000	378.788	2344029.518	-7.741	-487.633
69.148	0.000	378.789	2503808.540	-7.968	-451.329
69.417	0.000	378.791	2674478.780	-8.249	-417.712
69.767	0.000	378.792	2856782.629	-8.616	-385.377
70.065	0.000	378.793	3051513.084	-8.544	-354.896
70.366	0.000	378.795	3259517.196	-8.570	-326.068
