Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.473	0.000	435.375	20.000	3564644.000	-31150560.000
2.855	0.000	435.355	21.363	4014083.000	-29306610.000
4.154	0.000	435.337	22.819	3637852.000	-27559460.000
5.388	0.000	435.320	24.375	3295164.000	-25912830.000
6.534	0.000	435.304	26.036	2983235.000	-24370880.000
7.612	0.000	435.289	27.811	2692235.000	-22902590.000
8.625	0.000	435.276	29.707	2426842.000	-21543290.000
9.579	0.000	435.261	31.732	2200080.000	-20204870.000
10.476	0.000	435.248	33.895	2031620.000	-18971600.000
11.322	0.000	435.236	36.205	1820251.000	-17854100.000
12.174	0.000	435.224	38.673	1677135.000	-16742910.000
13.117	0.000	435.211	41.309	1489965.000	-15729450.000
14.032	0.000	435.198	44.125	1311864.000	-14767050.000
14.865	0.000	435.187	47.133	1194309.000	-13856590.000
15.651	0.000	435.175	50.346	1008587.000	-13015010.000
16.392	0.000	435.165	53.777	984832.200	-12217570.000
17.090	0.000	435.156	57.443	911143.000	-11473290.000
17.747	0.000	435.146	61.359	842694.300	-10777090.000
18.366	0.000	435.137	65.541	762299.000	-10118260.000
18.952	0.000	435.129	70.009	693753.000	-9486453.000
19.503	0.000	435.121	74.781	629870.700	-8902620.000
20.026	0.000	435.114	79.878	571647.700	-8355770.000
20.533	0.000	435.108	85.323	522199.900	-7834970.000
21.047	0.000	435.101	91.139	473742.700	-7355054.000
21.590	0.000	435.093	97.352	429949.100	-6901036.000
22.043	0.000	435.086	103.987	394264.600	-6468436.000
22.618	0.000	435.080	111.076	357969.500	-6067782.000
23.073	0.000	435.072	118.647	325112.000	-5692738.000
23.464	0.000	435.066	126.735	297869.800	-5339782.000
23.935	0.000	435.061	135.373	272569.900	-5007442.000
24.342	0.000	435.055	144.601	251005.200	-4702551.000
24.676	0.000	435.050	154.458	235336.600	-4405562.000
25.029	0.000	435.045	164.986	209444.900	-4127793.000
25.547	0.000	435.041	176.232	190105.000	-3872161.000
25.877	0.000	435.034	188.245	173468.200	-3629907.000
26.243	0.000	435.030	201.077	159163.300	-3403162.000
26.524	0.000	435.026	214.783	145195.000	-3189158.000
26.838	0.000	435.022	229.423	133441.100	-2990564.000
27.109	0.000	435.019	245.062	121687.600	-2802431.000
27.594	0.000	435.016	261.766	111263.200	-2627439.000
27.895	0.000	435.010	279.609	101845.900	-2465068.000
28.139	0.000	435.006	298.669	93401.410	-2310311.000
28.467	0.000	435.005	319.027	86059.950	-2165452.000
28.893	0.000	435.000	340.773	78988.690	-2030514.000
29.132	0.000	434.996	364.002	72477.570	-1903314.000
29.428	0.000	434.993	388.814	66784.660	-1784427.000
29.700	0.000	434.989	415.317	61030.420	-1671561.000
30.080	0.000	434.987	443.627	56254.930	-1567627.000
30.321	0.000	434.983	473.866	51537.730	-1469638.000
30.655	0.000	434.980	506.167	47514.100	-1377295.000
30.890	0.000	434.977	540.670	43628.910	-1290958.000
31.175	0.000	434.974	577.524	40313.500	-1209602.000
31.373	0.000	434.972	616.890	37030.260	-1134077.000
31.597	0.000	434.969	658.940	34204.890	-1063059.000
31.797	0.000	434.968	703.857	31697.430	-996120.500
32.052	0.000	434.966	751.834	29207.300	-933552.400
32.268	0.000	434.963	803.083	26927.040	-874997.900
32.546	0.000	434.961	857.824	24717.030	-820066.100
32.786	0.000	434.959	916.297	22948.290	-768531.000
33.013	0.000	434.957	978.756	21234.900	-720292.100
33.592	0.000	434.952	1045.472	19281.700	-675504.300
34.154	0.000	434.948	1116.736	17714.880	-633098.600
34.648	0.000	434.944	1192.857	16492.940	-593300.100
35.190	0.000	434.941	1274.167	15241.570	-555994.700
35.687	0.000	434.937	1361.020	14121.390	-521120.900
36.094	0.000	434.935	1453.793	13122.610	-488234.300
36.511	0.000	434.932	1552.890	12120.820	-457571.000
36.906	0.000	434.930	1658.741	11212.750	-428741.700
37.334	0.000	434.928	1771.808	10478.440	-401812.400
37.753	0.000	434.926	1892.582	9719.470	-376554.000
38.107	0.000	434.924	2021.589	8992.841	-352938.800
38.451	0.000	434.923	2159.389	8340.554	-330731.900
38.774	0.000	434.921	2306.582	7776.002	-309873.700
39.147	0.000	434.920	2463.808	7204.216	-290378.600
39.427	0.000	434.918	2631.752	6688.086	-272119.900
39.723	0.000	434.918	2811.143	6215.572	-254956.000
40.010	0.000	434.916	3002.763	5777.967	-238916.800
40.331	0.000	434.916	3207.444	5353.613	-223868.200
40.583	0.000	434.914	3426.077	4998.427	-209727.200
40.853	0.000	434.913	3659.613	4664.815	-196578.500
41.170	0.000	434.913	3909.068	4353.763	-184190.800
41.534	0.000	434.911	4175.526	4034.179	-172654.200
41.929	0.000	434.910	4460.148	3732.954	-161783.400
42.336	0.000	434.909	4764.171	3489.474	-151593.600
42.665	0.000	434.908	5088.917	3240.760	-142038.600
42.953	0.000	434.908	5435.799	3021.153	-133121.000
43.272	0.000	434.907	5806.326	2823.740	-124705.200
43.552	0.000	434.907	6202.110	2596.525	-116859.900
43.969	0.000	434.906	6624.872	2435.640	-109485.800
44.275	0.000	434.905	7076.452	2292.140	-102616.200
44.563	0.000	434.905	7558.813	2107.466	-96132.100
44.858	0.000	434.905	8074.054	1989.631	-90091.610
45.144	0.000	434.904	8624.416	1855.030	-84426.340
45.536	0.000	434.904	9212.292	1732.997	-79062.390
45.863	0.000	434.904	9840.241	1590.282	-74144.680
46.398	0.000	434.904	10510.994	1505.279	-69432.620
46.827	0.000	434.904	11227.468	1411.256	-65061.840
47.099	0.000	434.904	11992.780	1316.504	-60955.200
47.400	0.000	434.904	12810.259	1232.286	-57126.320
47.726	0.000	434.904	13683.461	1159.789	-53527.900
48.103	0.000	434.904	14616.184	1078.567	-50152.080
48.405	0.000	434.904	15612.485	1015.325	-46990.240
48.725	0.000	434.904	16676.698	945.503	-44032.540
48.960	0.000	434.904	17813.453	890.561	-41258.060
49.240	0.000	434.904	19027.694	833.773	-38655.280
49.565	0.000	434.905	20324.702	784.242	-36220.870
49.886	0.000	434.905	21710.121	736.294	-33939.770
50.180	0.000	434.906	23189.975	683.939	-31792.440
50.583	0.000	434.906	24770.702	647.803	-29797.870
50.902	0.000	434.907	26459.178	603.212	-27917.310
51.141	0.000	434.908	28262.749	560.293	-26158.280
51.423	0.000	434.908	30189.258	530.173	-24512.980
51.900	0.000	434.909	32247.086	493.095	-22966.570
52.130	0.000	434.909	34445.185	467.214	-21520.290
52.462	0.000	434.910	36793.115	436.338	-20163.210
52.957	0.000	434.911	39301.090	416.041	-18893.280
53.278	0.000	434.912	41980.020	387.879	-17702.400
53.669	0.000	434.913	44841.556	364.911	-16588.690
54.163	0.000	434.914	47898.147	343.279	-15544.190
54.603	0.000	434.915	51163.089	322.884	-14565.200
55.020	0.000	434.916	54650.583	301.471	-13644.790
55.381	0.000	434.917	58375.799	283.355	-12788.270
55.834	0.000	434.918	62354.942	277.897	-11973.320
56.277	0.000	434.919	66605.320	253.300	-11224.430
56.664	0.000	434.920	71145.421	239.231	-10517.960
56.989	0.000	434.921	75994.996	223.151	-9854.619
57.292	0.000	434.922	81175.138	212.191	-9233.008
57.635	0.000	434.923	86708.381	202.235	-8650.456
57.937	0.000	434.924	92618.793	190.089	-8107.690
58.332	0.000	434.925	98932.084	177.247	-7592.755
58.675	0.000	434.926	105675.715	160.167	-7118.445
58.939	0.000	434.927	112879.022	160.597	-6673.763
59.286	0.000	434.928	120573.336	150.638	-6252.152
59.617	0.000	434.929	128792.127	141.569	-5862.338
60.001	0.000	434.930	137571.146	134.724	-5487.678
60.492	0.000	434.931	146948.581	128.557	-5140.977
60.741	0.000	434.932	156965.221	121.701	-4818.458
61.105	0.000	434.933	167664.638	116.363	-4513.796
61.420	0.000	434.934	179093.373	110.705	-4229.189
61.865	0.000	434.935	191301.139	104.355	-3962.960
62.249	0.000	434.936	204341.039	99.878	-3713.158
62.599	0.000	434.937	218269.793	96.113	-3478.258
62.926	0.000	434.938	233147.990	87.743	-3258.447
63.201	0.000	434.939	249040.349	86.459	-3054.236
63.506	0.000	434.940	266015.998	82.489	-2861.430
63.871	0.000	434.940	284148.780	78.460	-2681.372
