Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.472	0.000	395.370	20.000	4155306.000	-52345810.000
2.853	0.000	395.351	21.363	1654659.000	-48852650.000
4.151	0.000	395.333	22.819	1549035.000	-45793160.000
5.372	0.000	395.315	24.375	1347068.000	-42790520.000
6.531	0.000	395.298	26.036	1273778.000	-40143310.000
7.611	0.000	395.284	27.811	1183084.000	-37663040.000
8.623	0.000	395.269	29.707	1078218.000	-35248270.000
9.578	0.000	395.256	31.732	991287.500	-33012620.000
10.475	0.000	395.243	33.895	819218.400	-30971920.000
11.320	0.000	395.231	36.205	822335.600	-28921780.000
12.126	0.000	395.219	38.673	788659.600	-27107270.000
13.078	0.000	395.207	41.309	618404.500	-25425500.000
13.965	0.000	395.194	44.125	557346.300	-23826500.000
14.804	0.000	395.182	47.133	419902.400	-22294610.000
15.609	0.000	395.171	50.346	341183.300	-20937240.000
16.349	0.000	395.161	53.777	378636.800	-19614640.000
17.045	0.000	395.151	57.443	413640.300	-18367720.000
17.703	0.000	395.142	61.359	414887.600	-17228950.000
18.331	0.000	395.133	65.541	373797.800	-16131520.000
18.916	0.000	395.125	70.009	340080.000	-15136990.000
19.469	0.000	395.117	74.781	317483.700	-14175090.000
19.991	0.000	395.111	79.878	292265.200	-13269620.000
20.485	0.000	395.104	85.323	264259.700	-12440080.000
20.966	0.000	395.098	91.139	253061.600	-11657700.000
21.412	0.000	395.091	97.352	245093.100	-10916300.000
21.827	0.000	395.085	103.987	217826.100	-10222030.000
22.221	0.000	395.080	111.076	204494.700	-9581771.000
22.595	0.000	395.074	118.647	188613.200	-8979954.000
22.948	0.000	395.070	126.735	176779.200	-8415002.000
23.337	0.000	395.064	135.373	166847.700	-7885125.000
23.674	0.000	395.059	144.601	149997.600	-7371789.000
24.008	0.000	395.055	154.458	148764.900	-6926403.000
24.333	0.000	395.050	164.986	130491.700	-6480249.000
24.633	0.000	395.046	176.232	120005.800	-6068761.000
24.928	0.000	395.041	188.245	110998.300	-5689146.000
25.238	0.000	395.038	201.077	104203.400	-5330216.000
25.532	0.000	395.033	214.783	95099.230	-4993368.000
25.801	0.000	395.029	229.423	89962.080	-4678279.000
26.060	0.000	395.026	245.062	85056.640	-4379273.000
26.368	0.000	395.022	261.766	78571.280	-4105266.000
26.679	0.000	395.019	279.609	71869.290	-3845389.000
26.935	0.000	395.014	298.669	67389.180	-3603187.000
27.218	0.000	395.011	319.027	62002.820	-3375119.000
27.523	0.000	395.007	340.773	57444.200	-3162714.000
27.825	0.000	395.003	364.002	54163.310	-2962177.000
28.056	0.000	394.999	388.814	50203.340	-2775744.000
28.295	0.000	394.996	415.317	46323.710	-2599928.000
28.510	0.000	394.994	443.627	43599.560	-2435668.000
28.770	0.000	394.990	473.866	40294.520	-2281485.000
28.968	0.000	394.987	506.167	37316.750	-2138155.000
29.226	0.000	394.984	540.670	35431.530	-2002918.000
29.462	0.000	394.981	577.524	33333.140	-1876728.000
29.736	0.000	394.978	616.890	31074.560	-1757536.000
29.947	0.000	394.974	658.940	29161.110	-1646866.000
30.219	0.000	394.971	703.857	26997.330	-1543054.000
30.451	0.000	394.967	751.834	25250.130	-1445289.000
30.647	0.000	394.964	803.083	24135.080	-1354047.000
30.854	0.000	394.962	857.824	21999.840	-1268422.000
31.086	0.000	394.959	916.297	20692.670	-1188311.000
31.286	0.000	394.957	978.756	19394.230	-1113302.000
31.803	0.000	394.949	1045.472	18005.810	-1043268.000
32.290	0.000	394.942	1116.736	16871.000	-977202.000
32.764	0.000	394.935	1192.857	15702.130	-915700.500
33.201	0.000	394.930	1274.167	14721.830	-857820.600
33.641	0.000	394.924	1361.020	13775.720	-803612.900
34.051	0.000	394.919	1453.793	12954.480	-752748.600
34.438	0.000	394.913	1552.890	12100.730	-705437.600
34.811	0.000	394.908	1658.741	11372.310	-660688.000
35.171	0.000	394.903	1771.808	10610.270	-619024.400
35.529	0.000	394.899	1892.582	9960.715	-579869.800
35.898	0.000	394.894	2021.589	9282.456	-543194.500
36.262	0.000	394.890	2159.389	8783.804	-508986.900
36.655	0.000	394.886	2306.582	8244.217	-476820.400
37.016	0.000	394.880	2463.808	7730.379	-446673.200
37.355	0.000	394.876	2631.752	7266.939	-418487.900
37.700	0.000	394.872	2811.143	6787.054	-392007.100
37.972	0.000	394.868	3002.763	6392.866	-367195.700
38.275	0.000	394.864	3207.444	5970.134	-344060.000
38.516	0.000	394.861	3426.077	5586.245	-322372.700
38.855	0.000	394.858	3659.613	5272.792	-301967.900
39.104	0.000	394.854	3909.068	4919.815	-282903.000
39.452	0.000	394.849	4175.526	4668.773	-265107.800
39.798	0.000	394.846	4460.148	4402.854	-248317.900
40.179	0.000	394.841	4764.171	4110.756	-232677.300
40.514	0.000	394.837	5088.917	3933.606	-217993.000
40.797	0.000	394.833	5435.799	3662.455	-204278.800
41.110	0.000	394.829	5806.326	3361.388	-191317.800
41.434	0.000	394.826	6202.110	3222.316	-179243.300
41.695	0.000	394.823	6624.872	2952.492	-168046.000
42.010	0.000	394.820	7076.452	2834.453	-157334.200
42.267	0.000	394.816	7558.813	2650.919	-147383.100
42.597	0.000	394.813	8074.054	2518.528	-138120.000
42.915	0.000	394.810	8624.416	2327.933	-129437.400
43.261	0.000	394.807	9212.292	2176.235	-121199.600
43.501	0.000	394.804	9840.241	2092.415	-113609.500
43.835	0.000	394.801	10510.994	1946.574	-106423.700
44.106	0.000	394.798	11227.468	1836.036	-99704.340
44.393	0.000	394.796	11992.780	1728.512	-93411.560
44.733	0.000	394.794	12810.259	1621.403	-87532.040
45.013	0.000	394.791	13683.461	1527.324	-82000.470
45.315	0.000	394.788	14616.184	1422.962	-76824.070
45.593	0.000	394.786	15612.485	1350.459	-71992.860
45.851	0.000	394.783	16676.698	1269.982	-67450.320
46.094	0.000	394.781	17813.453	1197.368	-63191.720
46.406	0.000	394.779	19027.694	1119.382	-59209.330
46.665	0.000	394.776	20324.702	1062.393	-55469.860
46.924	0.000	394.774	21710.121	989.052	-51977.360
47.265	0.000	394.772	23189.975	931.856	-48699.360
47.530	0.000	394.770	24770.702	889.457	-45621.280
47.797	0.000	394.768	26459.178	821.641	-42746.350
48.041	0.000	394.766	28262.749	771.601	-40056.770
48.283	0.000	394.764	30189.258	720.558	-37505.310
48.580	0.000	394.763	32247.086	691.474	-35150.000
48.869	0.000	394.761	34445.185	645.588	-32936.570
49.144	0.000	394.759	36793.115	607.916	-30857.650
49.495	0.000	394.757	39301.090	570.010	-28918.400
49.776	0.000	394.755	41980.020	536.172	-27088.490
50.168	0.000	394.752	44841.556	506.690	-25383.220
50.513	0.000	394.750	47898.147	477.969	-23781.370
50.905	0.000	394.748	51163.089	448.978	-22282.430
51.253	0.000	394.746	54650.583	415.066	-20878.500
51.592	0.000	394.744	58375.799	394.633	-19562.640
51.955	0.000	394.743	62354.942	383.714	-18307.930
52.421	0.000	394.740	66605.320	357.255	-17165.170
52.698	0.000	394.739	71145.421	332.664	-16089.630
53.080	0.000	394.738	75994.996	313.015	-15072.110
53.351	0.000	394.736	81175.138	303.101	-14124.940
53.671	0.000	394.735	86708.381	278.734	-13233.460
53.983	0.000	394.734	92618.793	265.097	-12396.160
54.268	0.000	394.733	98932.084	247.154	-11612.060
54.602	0.000	394.733	105675.715	243.334	-10889.200
54.885	0.000	394.731	112879.022	218.748	-10200.340
55.177	0.000	394.731	120573.336	207.315	-9556.683
55.527	0.000	394.730	128792.127	214.477	-8964.539
55.811	0.000	394.729	137571.146	186.639	-8392.532
56.231	0.000	394.728	146948.581	177.767	-7861.436
56.515	0.000	394.728	156965.221	168.662	-7366.518
56.759	0.000	394.727	167664.638	158.334	-6900.053
57.060	0.000	394.726	179093.373	151.792	-6465.164
57.384	0.000	394.726	191301.139	144.126	-6054.920
57.668	0.000	394.725	204341.039	136.657	-5675.722
57.971	0.000	394.725	218269.793	131.065	-5318.144
58.307	0.000	394.724	233147.990	123.191	-4975.515
58.587	0.000	394.724	249040.349	117.057	-4666.762
58.915	0.000	394.724	266015.998	111.268	-4374.015
59.166	0.000	394.723	284148.780	107.272	-4096.453
59.465	0.000	394.723	303517.570	99.691	-3838.117
59.869	0.000	394.723	324206.618	94.771	-3597.115
60.173	0.000	394.723	346305.920	90.948	-3368.556
60.564	0.000	394.723	369911.605	86.276	-3154.904
60.857	0.000	394.723	395126.353	83.357	-2957.036
61.146	0.000	394.723	422059.846	79.441	-2769.015
61.456	0.000	394.723	450829.241	75.373	-2594.051
61.741	0.000	394.723	481559.679	72.217	-2430.249
62.053	0.000	394.724	514384.835	69.083	-2275.250
62.384	0.000	394.724	549447.493	65.902	-2131.424
62.625	0.000	394.724	586900.171	63.094	-1995.838
62.941	0.000	394.725	626905.783	60.934	-1868.729
63.261	0.000	394.725	669638.348	58.455	-1749.304
63.519	0.000	394.726	715283.746	55.877	-1637.558
63.816	0.000	394.726	764040.529	55.480	-1531.014
64.080	0.000	394.726	816120.781	52.764	-1435.691
64.384	0.000	394.727	871751.044	50.425	-1343.813
64.633	0.000	394.728	931173.304	48.164	-1257.229
64.957	0.000	394.729	994646.037	46.248	-1175.716
65.223	0.000	394.729	1062445.341	3.149	-1094.405
65.552	0.000	394.730	1134866.134	2.851	-1022.203
66.038	0.000	394.731	1212223.437	5.080	-955.607
66.346	0.000	394.732	1294853.743	0.130	-894.347
66.665	0.000	394.732	1383116.481	-0.918	-835.694
67.116	0.000	394.733	1477395.584	-2.544	-779.506
67.590	0.000	394.735	1578101.150	-3.401	-726.883
67.892	0.000	394.736	1685671.237	-4.180	-678.001
68.150	0.000	394.736	1800573.758	-4.759	-631.302
68.518	0.000	394.737	1923308.524	-5.511	-587.477
68.810	0.000	394.738	2054409.414	-6.218	-546.193
69.076	0.000	394.739	2194446.698	-6.800	-507.375
69.411	0.000	394.740	2344029.518	-6.583	-470.692
69.706	0.000	394.741	2503808.540	-7.512	-436.106
70.032	0.000	394.742	2674478.780	-7.602	-403.164
70.418	0.000	394.743	2856782.629	-8.045	-372.179
70.790	0.000	394.744	3051513.084	-7.954	-342.565
71.070	0.000	394.745	3259517.196	-8.064	-314.706
71.466	0.000	394.746	3481699.752	-7.767	-287.990
71.835	0.000	394.748	3719027.216	-7.719	-262.541
72.110	0.000	394.749	3972531.929	-6.513	-238.672
72.497	0.000	394.750	4243316.602	-6.495	-216.053
72.788	0.000	394.751	4532559.110	-6.237	-194.965
73.043	0.000	394.752	4841517.618	-6.002	-173.589
73.339	0.000	394.753	5171536.051	-5.286	-153.563
73.740	0.000	394.755	5524049.945	-4.581	-134.283
74.049	0.000	394.756	5900592.685	-3.512	-115.844
74.339	0.000	394.757	6302802.180	-2.268	-98.392
74.666	0.000	394.759	6732427.985	-1.029	-81.800
74.965	0.000	394.760	7191338.911	0.385	-65.777
75.242	0.000	394.761	7681531.159	2.229	-50.559
75.544	0.000	394.763	8205136.995	3.949	-36.662
75.836	0.000	394.764	8764434.032	5.827	-23.463
76.125	0.000	394.765	9361855.135	7.801	-11.166
76.391	0.000	394.767	9999999.000	9.894	0.008
