Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.471	0.000	449.495	20.000	9409658.000	-26290660.000
2.854	0.000	449.494	21.363	6304653.000	-26898240.000
4.154	0.000	449.493	22.819	5766858.000	-25400820.000
5.372	0.000	449.493	24.375	5225691.000	-24020720.000
6.519	0.000	449.493	26.036	4712394.000	-22640930.000
7.596	0.000	449.492	27.811	4292856.000	-21366850.000
8.609	0.000	449.491	29.707	3871736.000	-20124940.000
9.586	0.000	449.491	31.732	3534912.000	-18994180.000
10.484	0.000	449.490	33.895	3204953.000	-17898180.000
11.329	0.000	449.490	36.205	2927740.000	-16877700.000
12.130	0.000	449.489	38.673	2661024.000	-15879470.000
13.073	0.000	449.489	41.309	2384106.000	-14958270.000
13.960	0.000	449.489	44.125	2130011.000	-14093260.000
14.794	0.000	449.489	47.133	1930790.000	-13242700.000
15.592	0.000	449.488	50.346	1694896.000	-12465780.000
16.333	0.000	449.488	53.777	1585520.000	-11746050.000
17.031	0.000	449.487	57.443	1469696.000	-11050540.000
17.687	0.000	449.487	61.359	1338222.000	-10395540.000
18.306	0.000	449.487	65.541	1205795.000	-9774492.000
18.892	0.000	449.487	70.009	1103584.000	-9185803.000
19.445	0.000	449.487	74.781	996236.500	-8638028.000
19.966	0.000	449.487	79.878	899840.000	-8110459.000
20.461	0.000	449.486	85.323	821616.400	-7622685.000
20.926	0.000	449.486	91.139	742647.400	-7161806.000
21.367	0.000	449.486	97.352	678776.800	-6722013.000
21.806	0.000	449.485	103.987	612867.000	-6313242.000
22.202	0.000	449.485	111.076	556990.700	-5929870.000
22.592	0.000	449.485	118.647	505248.700	-5567927.000
22.956	0.000	449.485	126.735	457052.100	-5226135.000
23.299	0.000	449.485	135.373	416224.800	-4906806.000
23.645	0.000	449.485	144.601	386721.100	-4609217.000
23.986	0.000	449.485	154.458	346321.400	-4329836.000
24.298	0.000	449.485	164.986	312850.200	-4056008.000
24.596	0.000	449.484	176.232	283726.600	-3806370.000
24.880	0.000	449.484	188.245	259198.700	-3571775.000
25.173	0.000	449.484	201.077	235255.600	-3353149.000
25.456	0.000	449.484	214.783	215882.200	-3145570.000
25.732	0.000	449.483	229.423	196160.100	-2951551.000
26.035	0.000	449.483	245.062	178463.100	-2767114.000
26.350	0.000	449.483	261.766	160621.200	-2596115.000
26.642	0.000	449.483	279.609	147320.500	-2435810.000
26.932	0.000	449.483	298.669	135076.600	-2285439.000
27.246	0.000	449.483	319.027	122724.600	-2142759.000
27.506	0.000	449.483	340.773	111825.600	-2010209.000
27.817	0.000	449.483	364.002	102558.400	-1885351.000
28.046	0.000	449.482	388.814	93425.970	-1768343.000
28.333	0.000	449.482	415.317	85021.710	-1658368.000
28.544	0.000	449.482	443.627	77586.420	-1555340.000
28.797	0.000	449.482	473.866	71337.460	-1457884.000
29.022	0.000	449.482	506.167	65086.450	-1367001.000
29.283	0.000	449.482	540.670	59737.640	-1282020.000
29.483	0.000	449.482	577.524	54426.320	-1201856.000
29.755	0.000	449.481	616.890	50304.150	-1126669.000
29.993	0.000	449.481	658.940	45973.780	-1056352.000
30.191	0.000	449.481	703.857	42110.990	-990561.900
30.456	0.000	449.481	751.834	38563.370	-928419.500
30.685	0.000	449.481	803.083	35233.690	-870380.900
30.875	0.000	449.481	857.824	32555.500	-816143.500
31.114	0.000	449.480	916.297	29725.290	-765150.000
31.307	0.000	449.480	978.756	27380.560	-717265.200
31.901	0.000	449.480	1045.472	25015.530	-672606.900
32.402	0.000	449.480	1116.736	22951.770	-630792.300
32.859	0.000	449.480	1192.857	21017.950	-591189.700
33.294	0.000	449.479	1274.167	19342.240	-554104.600
33.708	0.000	449.479	1361.020	17851.080	-519499.900
34.107	0.000	449.479	1453.793	16436.670	-486875.500
34.510	0.000	449.479	1552.890	15131.670	-456372.500
34.884	0.000	449.479	1658.741	13991.830	-427736.800
35.258	0.000	449.479	1771.808	12919.560	-400919.100
35.643	0.000	449.478	1892.582	11910.900	-375699.800
36.013	0.000	449.478	2021.589	11038.470	-352177.600
36.356	0.000	449.478	2159.389	10187.310	-330057.300
36.699	0.000	449.478	2306.582	9416.595	-309322.200
37.020	0.000	449.478	2463.808	8659.080	-289889.100
37.387	0.000	449.478	2631.752	8026.711	-271685.800
37.764	0.000	449.477	2811.143	7401.079	-254620.900
38.124	0.000	449.477	3002.763	6870.993	-238620.500
38.468	0.000	449.477	3207.444	6398.316	-223634.000
38.746	0.000	449.477	3426.077	5911.650	-209582.300
39.065	0.000	449.476	3659.613	5472.936	-196392.700
39.312	0.000	449.476	3909.068	5043.076	-184036.600
39.682	0.000	449.476	4175.526	4678.670	-172520.000
40.051	0.000	449.475	4460.148	4320.266	-161695.700
40.444	0.000	449.475	4764.171	3998.665	-151530.300
40.766	0.000	449.474	5088.917	3717.408	-142016.100
41.059	0.000	449.474	5435.799	3466.229	-133076.800
41.381	0.000	449.474	5806.326	3175.013	-124707.500
41.662	0.000	449.474	6202.110	3023.141	-116885.000
41.975	0.000	449.474	6624.872	2764.905	-109511.900
42.236	0.000	449.474	7076.452	2566.942	-102639.700
42.532	0.000	449.474	7558.813	2359.444	-96163.560
42.813	0.000	449.474	8074.054	2239.653	-90136.700
43.137	0.000	449.474	8624.416	2064.797	-84434.420
43.416	0.000	449.474	9212.292	1910.057	-79142.640
43.660	0.000	449.474	9840.241	1754.629	-74170.730
43.898	0.000	449.474	10510.994	1655.034	-69487.930
44.194	0.000	449.474	11227.468	1538.652	-65100.480
44.463	0.000	449.474	11992.780	1442.810	-61010.380
44.748	0.000	449.474	12810.259	1339.985	-57169.260
45.033	0.000	449.474	13683.461	1241.869	-53569.640
45.342	0.000	449.474	14616.184	1160.680	-50196.550
45.569	0.000	449.474	15612.485	1075.766	-47026.050
45.815	0.000	449.474	16676.698	1004.203	-44070.570
46.066	0.000	449.474	17813.453	937.189	-41292.210
46.365	0.000	449.474	19027.694	874.155	-38694.490
46.638	0.000	449.474	20324.702	817.042	-36258.820
46.869	0.000	449.474	21710.121	765.218	-33967.360
47.122	0.000	449.474	23189.975	714.951	-31829.130
47.357	0.000	449.474	24770.702	666.877	-29819.410
47.621	0.000	449.474	26459.178	623.610	-27942.980
47.881	0.000	449.474	28262.749	583.522	-26183.070
48.126	0.000	449.474	30189.258	532.655	-24534.680
48.438	0.000	449.474	32247.086	508.789	-22986.370
48.728	0.000	449.474	34445.185	477.806	-21539.350
49.014	0.000	449.474	36793.115	443.952	-20181.140
49.271	0.000	449.474	39301.090	417.841	-18910.700
49.519	0.000	449.474	41980.020	392.276	-17720.170
49.884	0.000	449.474	44841.556	365.084	-16604.150
50.282	0.000	449.474	47898.147	342.146	-15556.880
50.730	0.000	449.473	51163.089	320.273	-14576.280
51.002	0.000	449.473	54650.583	299.987	-13656.740
51.411	0.000	449.473	58375.799	280.048	-12797.680
51.678	0.000	449.473	62354.942	272.910	-11998.450
52.115	0.000	449.473	66605.320	249.742	-11236.070
52.416	0.000	449.473	71145.421	234.568	-10525.050
52.691	0.000	449.472	75994.996	219.327	-9863.330
52.999	0.000	449.472	81175.138	209.403	-9245.963
53.289	0.000	449.472	86708.381	194.317	-8656.517
53.587	0.000	449.471	92618.793	184.126	-8111.593
53.867	0.000	449.471	98932.084	171.733	-7599.773
54.181	0.000	449.471	105675.715	169.542	-7118.862
54.460	0.000	449.471	112879.022	151.061	-6674.821
54.742	0.000	449.470	120573.336	145.528	-6256.052
55.042	0.000	449.470	128792.127	126.446	-5862.936
55.327	0.000	449.470	137571.146	128.333	-5491.004
55.732	0.000	449.470	146948.581	121.123	-5144.020
56.012	0.000	449.469	156965.221	114.179	-4820.308
