Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.473	0.000	404.067	20.000	2594030.000	-49568540.000
2.856	0.000	404.070	21.363	1841965.000	-44099060.000
4.179	0.000	404.071	22.819	1769306.000	-41330380.000
5.414	0.000	404.071	24.375	1599359.000	-38732600.000
6.568	0.000	404.071	26.036	1487840.000	-36247320.000
7.647	0.000	404.071	27.811	1391232.000	-33987110.000
8.662	0.000	404.070	29.707	1251931.000	-31846280.000
9.635	0.000	404.069	31.732	1112283.000	-29852890.000
10.533	0.000	404.068	33.895	1082548.000	-27969440.000
11.452	0.000	404.067	36.205	994146.200	-26200330.000
12.252	0.000	404.066	38.673	854161.400	-24563360.000
13.197	0.000	404.064	41.309	812769.400	-23036000.000
14.097	0.000	404.063	44.125	683624.600	-21568140.000
14.938	0.000	404.061	47.133	570499.500	-20257060.000
15.726	0.000	404.060	50.346	565137.700	-18897930.000
16.475	0.000	404.058	53.777	534753.200	-17775610.000
17.174	0.000	404.057	57.443	524512.200	-16676310.000
17.832	0.000	404.055	61.359	519308.500	-15640030.000
18.452	0.000	404.054	65.541	481883.700	-14670770.000
19.038	0.000	404.053	70.009	445747.600	-13741690.000
19.592	0.000	404.052	74.781	415839.900	-12881230.000
20.114	0.000	404.050	79.878	367304.100	-12070020.000
20.628	0.000	404.049	85.323	354211.100	-11321720.000
21.108	0.000	404.049	91.139	326863.000	-10603480.000
21.564	0.000	404.048	97.352	307575.200	-9943350.000
22.010	0.000	404.046	103.987	283924.500	-9314237.000
22.475	0.000	404.046	111.076	261212.600	-8734843.000
22.881	0.000	404.045	118.647	240141.900	-8186306.000
23.283	0.000	404.044	126.735	225342.300	-7669841.000
23.696	0.000	404.042	135.373	204375.400	-7190578.000
24.060	0.000	404.041	144.601	200800.100	-6747646.000
24.464	0.000	404.041	154.458	177424.700	-6324188.000
24.803	0.000	404.040	164.986	165377.900	-5917048.000
25.186	0.000	404.039	176.232	154155.200	-5544485.000
25.492	0.000	404.039	188.245	143840.200	-5197721.000
25.893	0.000	404.038	201.077	135594.000	-4871256.000
26.171	0.000	404.038	214.783	124216.300	-4565134.000
26.455	0.000	404.037	229.423	117323.300	-4278822.000
26.735	0.000	404.037	245.062	111039.700	-4007497.000
26.994	0.000	404.036	261.766	101932.600	-3755638.000
27.269	0.000	404.036	279.609	92640.230	-3520251.000
27.515	0.000	404.036	298.669	86440.240	-3298326.000
27.782	0.000	404.035	319.027	80770.660	-3092112.000
28.037	0.000	404.035	340.773	74396.740	-2897404.000
28.298	0.000	404.035	364.002	69295.390	-2715199.000
28.541	0.000	404.034	388.814	64575.930	-2544552.000
28.875	0.000	404.034	415.317	59505.430	-2383817.000
29.143	0.000	404.034	443.627	55678.250	-2234691.000
29.415	0.000	404.033	473.866	51719.460	-2093926.000
29.623	0.000	404.033	506.167	48219.580	-1962045.000
29.909	0.000	404.032	540.670	44809.860	-1838702.000
30.154	0.000	404.032	577.524	41519.170	-1723069.000
30.389	0.000	404.032	616.890	38563.730	-1614779.000
30.691	0.000	404.032	658.940	36065.660	-1513504.000
30.928	0.000	404.031	703.857	33457.270	-1417845.000
31.176	0.000	404.031	751.834	31298.680	-1328493.000
31.366	0.000	404.031	803.083	28845.000	-1244924.000
31.613	0.000	404.031	857.824	27182.280	-1166694.000
31.863	0.000	404.031	916.297	25352.180	-1093028.000
32.113	0.000	404.030	978.756	23514.460	-1024321.000
32.700	0.000	404.030	1045.472	21619.600	-959933.400
33.286	0.000	404.030	1116.736	20155.370	-899583.800
33.808	0.000	404.029	1192.857	18824.290	-842842.000
34.276	0.000	404.028	1274.167	17504.840	-789768.400
34.740	0.000	404.028	1361.020	16218.030	-740052.600
35.163	0.000	404.028	1453.793	15040.030	-693455.100
35.604	0.000	404.027	1552.890	14141.350	-649682.800
35.971	0.000	404.027	1658.741	13101.730	-608794.100
36.440	0.000	404.027	1771.808	12291.410	-570386.300
36.790	0.000	404.026	1892.582	11340.810	-534598.700
37.147	0.000	404.026	2021.589	10595.340	-500981.200
37.538	0.000	404.026	2159.389	9890.212	-469277.200
37.866	0.000	404.026	2306.582	9195.205	-439768.200
38.223	0.000	404.026	2463.808	8593.620	-411966.300
38.536	0.000	404.026	2631.752	8034.045	-386050.500
38.845	0.000	404.027	2811.143	7483.957	-361677.200
39.196	0.000	404.027	3002.763	7010.584	-338936.700
39.487	0.000	404.027	3207.444	6488.919	-317495.400
39.755	0.000	404.027	3426.077	6076.080	-297506.600
40.047	0.000	404.027	3659.613	5662.855	-278766.000
40.272	0.000	404.027	3909.068	5297.055	-261168.600
40.636	0.000	404.026	4175.526	4971.385	-244770.600
40.963	0.000	404.026	4460.148	4604.262	-229303.000
41.297	0.000	404.026	4764.171	4331.518	-214804.100
41.593	0.000	404.026	5088.917	3977.179	-201233.400
41.922	0.000	404.026	5435.799	3762.523	-188542.100
42.182	0.000	404.027	5806.326	3546.473	-176735.800
42.477	0.000	404.027	6202.110	3255.266	-165537.700
42.782	0.000	404.027	6624.872	3024.668	-155105.900
43.061	0.000	404.027	7076.452	2881.873	-145396.900
43.310	0.000	404.027	7558.813	2677.656	-136151.600
43.680	0.000	404.027	8074.054	2507.917	-127598.100
43.971	0.000	404.027	8624.416	2343.564	-119508.600
44.212	0.000	404.027	9212.292	2168.341	-112031.600
44.497	0.000	404.027	9840.241	2027.159	-104920.600
44.779	0.000	404.027	10510.994	1913.297	-98306.910
