Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.473	0.000	408.051	20.000	461264.100	-43066230.000
2.857	0.000	408.051	21.363	1884148.000	-43743210.000
4.157	0.000	408.051	22.819	1756023.000	-40884750.000
5.379	0.000	408.051	24.375	1641368.000	-38273550.000
6.528	0.000	408.051	26.036	1433509.000	-35936560.000
7.608	0.000	408.050	27.811	1328594.000	-33658520.000
8.622	0.000	408.050	29.707	1247684.000	-31497660.000
9.577	0.000	408.050	31.732	1125051.000	-29521420.000
10.473	0.000	408.050	33.895	1095147.000	-27726560.000
11.314	0.000	408.050	36.205	936183.500	-26016300.000
12.109	0.000	408.050	38.673	939714.200	-24329800.000
13.054	0.000	408.050	41.309	806405.800	-22785730.000
13.942	0.000	408.051	44.125	674304.600	-21375220.000
14.779	0.000	408.051	47.133	619648.700	-20045960.000
15.568	0.000	408.052	50.346	535915.400	-18730070.000
16.309	0.000	408.052	53.777	543249.700	-17617040.000
17.009	0.000	408.052	57.443	532563.900	-16525380.000
17.667	0.000	408.052	61.359	528018.600	-15501670.000
18.288	0.000	408.052	65.541	483046.400	-14518440.000
18.875	0.000	408.052	70.009	438838.800	-13621810.000
19.428	0.000	408.052	74.781	410966.300	-12766770.000
19.957	0.000	408.052	79.878	388185.100	-11948560.000
20.462	0.000	408.052	85.323	361034.000	-11206630.000
20.942	0.000	408.052	91.139	329457.200	-10509470.000
21.400	0.000	408.052	97.352	295573.900	-9849258.000
21.879	0.000	408.052	103.987	277471.600	-9231852.000
22.307	0.000	408.052	111.076	263043.200	-8652486.000
22.776	0.000	408.052	118.647	242745.300	-8109502.000
23.249	0.000	408.052	126.735	225582.800	-7602148.000
23.719	0.000	408.052	135.373	205004.900	-7123829.000
24.077	0.000	408.052	144.601	190211.800	-6664520.000
24.423	0.000	408.052	154.458	188028.200	-6250252.000
24.791	0.000	408.052	164.986	168314.000	-5864170.000
25.185	0.000	408.052	176.232	157560.800	-5498369.000
25.542	0.000	408.052	188.245	145270.300	-5151690.000
25.841	0.000	408.052	201.077	133668.600	-4830213.000
26.169	0.000	408.052	214.783	123654.100	-4525256.000
26.534	0.000	408.052	229.423	115621.200	-4240609.000
26.803	0.000	408.051	245.062	105113.400	-3973325.000
27.072	0.000	408.052	261.766	100009.900	-3723247.000
27.359	0.000	408.052	279.609	91665.020	-3489869.000
27.646	0.000	408.052	298.669	86263.070	-3271137.000
27.881	0.000	408.052	319.027	79359.130	-3064438.000
28.114	0.000	408.052	340.773	74271.550	-2872927.000
28.367	0.000	408.052	364.002	68334.990	-2691476.000
28.637	0.000	408.052	388.814	63765.210	-2523380.000
28.901	0.000	408.052	415.317	59436.530	-2363907.000
29.167	0.000	408.052	443.627	54757.400	-2215393.000
29.405	0.000	408.052	473.866	51635.510	-2076387.000
29.682	0.000	408.052	506.167	48035.150	-1945246.000
29.927	0.000	408.052	540.670	44349.340	-1823119.000
30.229	0.000	408.052	577.524	41084.340	-1708787.000
30.457	0.000	408.052	616.890	38207.600	-1600873.000
30.742	0.000	408.052	658.940	35776.540	-1500236.000
30.995	0.000	408.052	703.857	32944.820	-1405446.000
31.285	0.000	408.052	751.834	31039.860	-1317213.000
31.463	0.000	408.052	803.083	28479.920	-1234540.000
31.667	0.000	408.052	857.824	26799.800	-1156814.000
31.914	0.000	408.052	916.297	25104.920	-1083847.000
32.097	0.000	408.052	978.756	23160.620	-1015435.000
32.678	0.000	408.052	1045.472	21446.740	-951786.800
33.181	0.000	408.052	1116.736	19946.510	-892032.300
33.722	0.000	408.052	1192.857	18601.640	-835774.700
34.221	0.000	408.052	1274.167	17443.870	-783100.800
34.713	0.000	408.052	1361.020	16263.720	-733867.100
35.127	0.000	408.052	1453.793	15014.080	-687573.800
35.564	0.000	408.052	1552.890	14050.170	-644253.500
35.948	0.000	408.052	1658.741	13089.760	-603763.100
36.309	0.000	408.052	1771.808	12135.100	-565744.200
36.655	0.000	408.052	1892.582	11307.880	-530076.200
36.996	0.000	408.052	2021.589	10502.120	-496581.600
37.364	0.000	408.052	2159.389	9860.904	-465256.300
37.727	0.000	408.052	2306.582	9186.695	-435957.500
38.050	0.000	408.052	2463.808	8609.799	-408506.100
38.343	0.000	408.052	2631.752	8045.716	-382685.500
38.661	0.000	408.052	2811.143	7484.291	-358626.200
38.943	0.000	408.051	3002.763	6970.245	-335991.700
39.229	0.000	408.051	3207.444	6473.912	-314861.400
39.550	0.000	408.051	3426.077	6048.691	-295014.500
39.866	0.000	408.051	3659.613	5627.277	-276403.300
40.117	0.000	408.051	3909.068	5258.738	-259000.600
40.473	0.000	408.052	4175.526	4891.043	-242672.000
40.837	0.000	408.052	4460.148	4591.992	-227415.500
41.181	0.000	408.052	4764.171	4280.752	-213041.800
41.485	0.000	408.052	5088.917	3998.311	-199612.400
41.795	0.000	408.052	5435.799	3725.788	-187043.700
42.132	0.000	408.052	5806.326	3469.658	-175255.200
42.388	0.000	408.052	6202.110	3259.183	-164165.400
42.746	0.000	408.052	6624.872	3066.516	-153833.700
43.031	0.000	408.052	7076.452	2857.866	-144166.600
43.365	0.000	408.052	7558.813	2728.765	-135020.800
43.687	0.000	408.052	8074.054	2489.730	-126513.100
43.984	0.000	408.052	8624.416	2330.101	-118586.500
44.316	0.000	408.052	9212.292	2158.209	-111075.000
44.643	0.000	408.052	9840.241	2043.485	-104132.600
44.877	0.000	408.052	10510.994	1886.860	-97495.440
45.126	0.000	408.052	11227.468	1786.740	-91345.800
45.396	0.000	408.052	11992.780	1672.559	-85592.620
45.718	0.000	408.053	12810.259	1566.580	-80193.820
45.953	0.000	408.053	13683.461	1468.871	-75145.390
46.244	0.000	408.053	14616.184	1368.104	-70394.910
46.547	0.000	408.053	15612.485	1288.044	-65960.840
46.865	0.000	408.053	16676.698	1197.782	-61800.690
47.159	0.000	408.053	17813.453	1123.625	-57912.040
47.384	0.000	408.053	19027.694	1054.954	-54249.570
47.725	0.000	408.053	20324.702	988.681	-50821.990
47.984	0.000	408.053	21710.121	916.925	-47607.100
48.279	0.000	408.053	23189.975	867.813	-44611.600
48.542	0.000	408.053	24770.702	808.303	-41793.550
48.813	0.000	408.053	26459.178	764.117	-39152.120
49.086	0.000	408.053	28262.749	712.912	-36680.180
49.324	0.000	408.053	30189.258	671.203	-34380.680
49.595	0.000	408.052	32247.086	624.363	-32186.590
49.878	0.000	408.052	34445.185	593.218	-30168.570
50.166	0.000	408.052	36793.115	560.480	-28272.210
50.397	0.000	408.052	39301.090	523.885	-26483.770
50.690	0.000	408.052	41980.020	497.039	-24813.910
51.080	0.000	408.052	44841.556	469.210	-23243.440
51.441	0.000	408.052	47898.147	435.061	-21779.310
51.818	0.000	408.052	51163.089	415.249	-20404.170
52.114	0.000	408.052	54650.583	388.178	-19119.690
52.575	0.000	408.052	58375.799	364.646	-17912.930
52.891	0.000	408.052	62354.942	356.713	-16785.320
53.308	0.000	408.052	66605.320	327.094	-15718.050
53.641	0.000	408.052	71145.421	308.577	-14729.880
53.895	0.000	408.052	75994.996	286.732	-13800.300
54.177	0.000	408.052	81175.138	280.714	-12927.370
54.488	0.000	408.052	86708.381	254.510	-12117.600
54.781	0.000	408.052	92618.793	239.390	-11352.310
55.124	0.000	408.052	98932.084	230.239	-10635.860
55.433	0.000	408.052	105675.715	208.602	-9962.600
55.745	0.000	408.052	112879.022	206.214	-9338.665
56.065	0.000	408.052	120573.336	190.681	-8739.545
56.387	0.000	408.052	128792.127	182.558	-8206.821
56.673	0.000	408.052	137571.146	172.202	-7680.857
57.067	0.000	408.052	146948.581	162.141	-7197.806
57.425	0.000	408.052	156965.221	156.338	-6738.462
57.689	0.000	408.052	167664.638	145.521	-6319.364
57.982	0.000	408.052	179093.373	140.257	-5918.319
58.324	0.000	408.052	191301.139	133.633	-5543.574
58.678	0.000	408.052	204341.039	125.446	-5195.192
58.998	0.000	408.052	218269.793	118.553	-4868.891
59.351	0.000	408.051	233147.990	114.798	-4560.650
59.662	0.000	408.051	249040.349	109.484	-4271.920
60.022	0.000	408.051	266015.998	102.725	-4003.946
60.336	0.000	408.051	284148.780	98.317	-3750.451
60.652	0.000	408.051	303517.570	92.323	-3513.327
61.112	0.000	408.051	324206.618	89.538	-3292.043
61.433	0.000	408.051	346305.920	85.608	-3082.201
61.740	0.000	408.051	369911.605	82.018	-2887.582
62.049	0.000	408.051	395126.353	77.235	-2706.284
62.340	0.000	408.051	422059.846	74.285	-2533.571
62.630	0.000	408.052	450829.241	70.787	-2375.044
62.965	0.000	408.052	481559.679	68.324	-2222.988
63.264	0.000	408.051	514384.835	64.744	-2081.246
63.518	0.000	408.051	549447.493	63.010	-1950.017
63.813	0.000	408.051	586900.171	60.221	-1826.105
64.104	0.000	408.051	626905.783	58.221	-1709.627
64.427	0.000	408.051	669638.348	55.805	-1601.071
64.685	0.000	408.051	715283.746	53.865	-1498.944
