Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.475	0.000	310.084	20.000	5605975.000	-79851190.000
2.879	0.000	310.085	21.363	2438253.000	-65174600.000
4.180	0.000	310.085	22.819	2194814.000	-61005370.000
5.401	0.000	310.086	24.375	1954524.000	-57041940.000
6.548	0.000	310.085	26.036	1710140.000	-53579000.000
7.628	0.000	310.085	27.811	1600279.000	-50190030.000
8.643	0.000	310.085	29.707	1468643.000	-47054700.000
9.594	0.000	310.085	31.732	1365072.000	-43906490.000
10.492	0.000	310.085	33.895	1331160.000	-41166450.000
11.340	0.000	310.085	36.205	1164329.000	-38809730.000
12.139	0.000	310.086	38.673	1238397.000	-36252160.000
13.081	0.000	310.086	41.309	977571.800	-33881290.000
13.973	0.000	310.086	44.125	793506.300	-31787780.000
14.811	0.000	310.086	47.133	592206.100	-29711450.000
15.600	0.000	310.087	50.346	387617.600	-27894800.000
16.341	0.000	310.087	53.777	520595.000	-26124480.000
17.059	0.000	310.088	57.443	595679.300	-24534320.000
17.718	0.000	310.088	61.359	592437.000	-23017270.000
18.338	0.000	310.088	65.541	609885.000	-21542740.000
18.923	0.000	310.088	70.009	543322.600	-20197800.000
19.474	0.000	310.088	74.781	503940.700	-18935850.000
19.996	0.000	310.088	79.878	471646.800	-17721550.000
20.523	0.000	310.088	85.323	439219.900	-16620870.000
21.022	0.000	310.088	91.139	410706.900	-15580590.000
21.479	0.000	310.088	97.352	374423.200	-14600470.000
21.952	0.000	310.088	103.987	366949.700	-13673180.000
22.394	0.000	310.088	111.076	323843.700	-12823230.000
22.780	0.000	310.088	118.647	309795.800	-12013260.000
23.244	0.000	310.088	126.735	281921.300	-11256030.000
23.617	0.000	310.087	135.373	273356.600	-10546790.000
24.022	0.000	310.087	144.601	261245.900	-9902703.000
24.378	0.000	310.087	154.458	253338.600	-9257757.000
24.756	0.000	310.087	164.986	219240.500	-8678693.000
25.079	0.000	310.087	176.232	204891.600	-8132263.000
25.372	0.000	310.087	188.245	191274.500	-7622288.000
25.718	0.000	310.087	201.077	177378.900	-7139170.000
26.036	0.000	310.087	214.783	168781.700	-6692246.000
26.288	0.000	310.087	229.423	154287.600	-6270621.000
26.539	0.000	310.087	245.062	140677.400	-5875736.000
26.834	0.000	310.087	261.766	133750.500	-5504423.000
27.116	0.000	310.087	279.609	126384.300	-5159527.000
27.404	0.000	310.087	298.669	119421.400	-4832854.000
27.692	0.000	310.087	319.027	111054.300	-4530275.000
27.977	0.000	310.087	340.773	103353.500	-4244189.000
28.236	0.000	310.087	364.002	96400.390	-3977533.000
28.515	0.000	310.087	388.814	90115.240	-3727349.000
28.831	0.000	310.087	415.317	85489.620	-3493162.000
29.136	0.000	310.087	443.627	79954.490	-3271912.000
29.383	0.000	310.087	473.866	74468.580	-3067128.000
29.681	0.000	310.087	506.167	69247.180	-2873301.000
29.939	0.000	310.087	540.670	66074.060	-2693300.000
30.231	0.000	310.087	577.524	61203.190	-2524821.000
30.441	0.000	310.087	616.890	57886.650	-2364047.000
30.638	0.000	310.087	658.940	54481.010	-2216230.000
30.888	0.000	310.087	703.857	50276.200	-2077044.000
31.097	0.000	310.087	751.834	47130.220	-1946381.000
31.347	0.000	310.087	803.083	43397.430	-1823743.000
31.544	0.000	310.087	857.824	41769.360	-1708890.000
31.738	0.000	310.087	916.297	38914.870	-1601253.000
31.938	0.000	310.087	978.756	36897.060	-1500572.000
32.466	0.000	310.087	1045.472	34047.830	-1406594.000
33.022	0.000	310.086	1116.736	31861.100	-1318658.000
33.513	0.000	310.086	1192.857	29904.740	-1235839.000
33.998	0.000	310.086	1274.167	27951.530	-1157749.000
34.423	0.000	310.086	1361.020	26414.640	-1085280.000
34.871	0.000	310.086	1453.793	24724.410	-1016982.000
35.289	0.000	310.085	1552.890	23474.530	-953158.600
35.684	0.000	310.085	1658.741	21877.940	-893040.300
36.052	0.000	310.085	1771.808	20514.590	-836823.100
36.410	0.000	310.085	1892.582	19383.360	-784221.200
36.751	0.000	310.085	2021.589	18177.770	-735059.800
37.133	0.000	310.085	2159.389	16960.750	-688856.300
37.456	0.000	310.084	2306.582	16010.880	-645349.100
37.804	0.000	310.084	2463.808	15035.900	-604881.700
38.072	0.000	310.084	2631.752	14194.510	-566907.800
38.419	0.000	310.084	2811.143	13325.590	-531125.800
38.699	0.000	310.084	3002.763	12520.500	-497728.700
39.012	0.000	310.083	3207.444	11831.120	-466496.300
39.361	0.000	310.083	3426.077	11070.890	-437133.900
39.698	0.000	310.083	3659.613	10420.290	-409718.100
39.983	0.000	310.082	3909.068	9776.913	-383995.700
40.327	0.000	310.082	4175.526	9166.621	-359856.500
40.654	0.000	310.082	4460.148	8661.360	-337222.400
41.016	0.000	310.082	4764.171	8092.272	-316038.300
41.347	0.000	310.082	5088.917	7644.826	-296204.200
41.676	0.000	310.082	5435.799	7180.394	-277605.600
41.959	0.000	310.082	5806.326	6745.145	-260127.400
42.277	0.000	310.081	6202.110	6366.032	-243824.900
42.598	0.000	310.081	6624.872	6028.706	-228440.500
42.861	0.000	310.081	7076.452	5698.360	-214062.300
