Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.476	0.000	410.051	20.000	4069649.000	-50441950.000
2.861	0.000	410.051	21.363	1922102.000	-43397350.000
4.161	0.000	410.050	22.819	1729782.000	-40722690.000
5.381	0.000	410.050	24.375	1624838.000	-38182540.000
6.530	0.000	410.050	26.036	1486676.000	-35758400.000
7.609	0.000	410.051	27.811	1422710.000	-33537130.000
8.623	0.000	410.051	29.707	1336390.000	-31412860.000
9.578	0.000	410.051	31.732	1174068.000	-29502380.000
10.474	0.000	410.052	33.895	1040645.000	-27636200.000
11.321	0.000	410.052	36.205	1004409.000	-25823880.000
12.120	0.000	410.052	38.673	877375.300	-24211970.000
13.070	0.000	410.052	41.309	789029.300	-22747040.000
13.958	0.000	410.052	44.125	716244.600	-21275780.000
14.794	0.000	410.052	47.133	577545.900	-19961280.000
15.581	0.000	410.052	50.346	550152.600	-18755360.000
16.323	0.000	410.052	53.777	531335.600	-17549020.000
17.023	0.000	410.052	57.443	525200.100	-16454900.000
17.712	0.000	410.052	61.359	527229.500	-15436080.000
18.332	0.000	410.052	65.541	484715.000	-14483980.000
18.919	0.000	410.052	70.009	455165.500	-13556810.000
19.471	0.000	410.052	74.781	421009.500	-12714620.000
19.994	0.000	410.052	79.878	371980.600	-11911130.000
20.509	0.000	410.052	85.323	350798.800	-11171350.000
20.990	0.000	410.052	91.139	327546.600	-10466510.000
21.433	0.000	410.052	97.352	300711.700	-9803131.000
21.959	0.000	410.052	103.987	275470.100	-9191161.000
22.423	0.000	410.052	111.076	260590.200	-8614334.000
22.892	0.000	410.052	118.647	242773.300	-8080234.000
23.381	0.000	410.052	126.735	226621.700	-7567328.000
23.794	0.000	410.052	135.373	206227.900	-7094165.000
24.164	0.000	410.052	144.601	205639.300	-6653598.000
24.555	0.000	410.052	154.458	189325.400	-6237907.000
24.870	0.000	410.052	164.986	168789.000	-5840162.000
25.320	0.000	410.052	176.232	153715.200	-5472438.000
25.682	0.000	410.052	188.245	144709.500	-5130921.000
25.987	0.000	410.052	201.077	133571.300	-4807637.000
26.297	0.000	410.052	214.783	124030.100	-4507004.000
26.601	0.000	410.052	229.423	116091.300	-4222872.000
26.921	0.000	410.052	245.062	105012.000	-3955740.000
27.206	0.000	410.052	261.766	96496.540	-3708393.000
27.475	0.000	410.052	279.609	92291.980	-3476035.000
