Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.490	0.000	322.054	20.000	-4402329.000	-62763360.000
2.889	0.000	322.055	21.363	2154866.000	-62798280.000
4.187	0.000	322.055	22.819	1999967.000	-58895310.000
5.409	0.000	322.056	24.375	1913941.000	-55059640.000
6.556	0.000	322.056	26.036	1798863.000	-51643660.000
7.635	0.000	322.057	27.811	1589471.000	-48369060.000
8.684	0.000	322.057	29.707	1432351.000	-45369360.000
9.646	0.000	322.057	31.732	1416774.000	-42523520.000
10.544	0.000	322.058	33.895	1195638.000	-39735640.000
11.389	0.000	322.057	36.205	1172105.000	-37307600.000
12.189	0.000	322.057	38.673	1057797.000	-34858530.000
13.132	0.000	322.057	41.309	894314.400	-32724160.000
14.019	0.000	322.057	44.125	660361.800	-30698310.000
14.855	0.000	322.058	47.133	564324.200	-28610200.000
15.643	0.000	322.058	50.346	405897.900	-27007640.000
16.386	0.000	322.058	53.777	536498.000	-25181260.000
17.084	0.000	322.057	57.443	585069.800	-23625350.000
17.802	0.000	322.057	61.359	602852.300	-22188750.000
18.421	0.000	322.057	65.541	540453.100	-20774340.000
19.006	0.000	322.057	70.009	504752.800	-19502100.000
19.560	0.000	322.057	74.781	465920.500	-18272960.000
20.080	0.000	322.057	79.878	446793.700	-17104370.000
20.588	0.000	322.057	85.323	410039.000	-16060640.000
21.089	0.000	322.057	91.139	389518.600	-15020370.000
21.584	0.000	322.058	97.352	350164.400	-14092540.000
22.046	0.000	322.058	103.987	322977.700	-13209130.000
22.484	0.000	322.058	111.076	309365.900	-12373150.000
22.979	0.000	322.058	118.647	293427.200	-11595220.000
23.396	0.000	322.058	126.735	269712.300	-10856970.000
23.767	0.000	322.058	135.373	245953.100	-10181440.000
24.173	0.000	322.058	144.601	224579.300	-9524139.000
24.495	0.000	322.058	154.458	197243.000	-8942317.000
24.890	0.000	322.058	164.986	201295.200	-8372442.000
25.233	0.000	322.058	176.232	193401.500	-7848403.000
25.533	0.000	322.058	188.245	177016.900	-7351833.000
25.930	0.000	322.058	201.077	168101.300	-6893747.000
26.198	0.000	322.058	214.783	154405.900	-6456448.000
26.470	0.000	322.058	229.423	143859.600	-6052508.000
26.779	0.000	322.058	245.062	138106.100	-5667678.000
27.065	0.000	322.058	261.766	123816.400	-5309359.000
27.428	0.000	322.059	279.609	117836.400	-4977520.000
27.689	0.000	322.059	298.669	110686.100	-4664581.000
27.958	0.000	322.059	319.027	102239.300	-4371220.000
28.222	0.000	322.059	340.773	96489.000	-4095998.000
28.491	0.000	322.059	364.002	90680.820	-3838450.000
28.744	0.000	322.060	388.814	83782.020	-3595513.000
29.005	0.000	322.060	415.317	77934.270	-3368967.000
29.279	0.000	322.060	443.627	73211.410	-3157318.000
29.572	0.000	322.060	473.866	67983.530	-2957082.000
29.870	0.000	322.060	506.167	64231.320	-2771442.000
30.146	0.000	322.060	540.670	60081.450	-2597249.000
30.411	0.000	322.060	577.524	56033.110	-2434211.000
30.700	0.000	322.060	616.890	52113.300	-2280672.000
30.969	0.000	322.060	658.940	48934.050	-2136947.000
31.180	0.000	322.060	703.857	45804.830	-2001906.000
31.378	0.000	322.060	751.834	43412.670	-1876886.000
31.625	0.000	322.060	803.083	40613.520	-1758019.000
31.837	0.000	322.060	857.824	38386.000	-1647966.000
32.144	0.000	322.060	916.297	36073.310	-1544262.000
32.316	0.000	322.060	978.756	33470.700	-1446711.000
32.926	0.000	322.060	1045.472	31633.110	-1356002.000
33.468	0.000	322.060	1116.736	29788.580	-1270877.000
34.015	0.000	322.060	1192.857	27635.000	-1190573.000
34.488	0.000	322.060	1274.167	25892.420	-1115889.000
34.938	0.000	322.060	1361.020	24539.990	-1045837.000
35.390	0.000	322.060	1453.793	22847.280	-980119.800
35.797	0.000	322.060	1552.890	21601.610	-918215.100
36.178	0.000	322.060	1658.741	20281.240	-860436.100
36.544	0.000	322.060	1771.808	19125.970	-806317.500
36.910	0.000	322.060	1892.582	17874.370	-755696.900
37.258	0.000	322.060	2021.589	16715.320	-708040.000
37.611	0.000	322.060	2159.389	15761.190	-663517.100
37.986	0.000	322.060	2306.582	14769.260	-621777.100
38.303	0.000	322.060	2463.808	13816.580	-582656.000
38.653	0.000	322.060	2631.752	12955.370	-546032.800
38.915	0.000	322.060	2811.143	12264.420	-511656.700
39.263	0.000	322.060	3002.763	11541.960	-479406.800
39.597	0.000	322.060	3207.444	10853.250	-449307.100
39.920	0.000	322.059	3426.077	10169.730	-421028.800
40.231	0.000	322.059	3659.613	9633.415	-394610.100
40.487	0.000	322.059	3909.068	9098.690	-369813.000
40.846	0.000	322.059	4175.526	8506.782	-346531.800
41.176	0.000	322.059	4460.148	8055.945	-324827.900
41.505	0.000	322.059	4764.171	7507.424	-304386.100
41.870	0.000	322.059	5088.917	7089.394	-285221.300
42.138	0.000	322.059	5435.799	6733.641	-267253.700
42.444	0.000	322.059	5806.326	6221.463	-250532.700
42.780	0.000	322.059	6202.110	5922.841	-234728.000
43.054	0.000	322.058	6624.872	5538.540	-220003.200
43.296	0.000	322.058	7076.452	5277.829	-206151.000
43.537	0.000	322.058	7558.813	4916.092	-193170.400
43.851	0.000	322.058	8074.054	4611.025	-181081.700
44.134	0.000	322.058	8624.416	4300.519	-169694.400
44.448	0.000	322.058	9212.292	4124.241	-158979.900
44.706	0.000	322.058	9840.241	3800.264	-149026.200
44.961	0.000	322.058	10510.994	3668.937	-139620.300
45.243	0.000	322.058	11227.468	3425.588	-130893.700
45.509	0.000	322.058	11992.780	3232.999	-122663.600
45.760	0.000	322.058	12810.259	3054.414	-114981.900
46.046	0.000	322.058	13683.461	2891.539	-107767.100
46.356	0.000	322.058	14616.184	2717.235	-100987.900
46.661	0.000	322.058	15612.485	2570.549	-94655.420
46.922	0.000	322.058	16676.698	2405.963	-88707.770
47.194	0.000	322.058	17813.453	2292.076	-83160.770
47.475	0.000	322.058	19027.694	2168.496	-77928.170
47.747	0.000	322.058	20324.702	2035.350	-73033.360
47.993	0.000	322.058	21710.121	1925.060	-68454.810
48.273	0.000	322.058	23189.975	1807.178	-64163.450
48.556	0.000	322.058	24770.702	1708.500	-60134.720
48.853	0.000	322.058	26459.178	1605.850	-56365.650
49.116	0.000	322.058	28262.749	1518.084	-52833.880
49.394	0.000	322.058	30189.258	1420.555	-49504.300
49.751	0.000	322.058	32247.086	1344.527	-46407.300
50.042	0.000	322.057	34445.185	1269.257	-43498.570
50.280	0.000	322.057	36793.115	1195.172	-40765.490
50.588	0.000	322.057	39301.090	1131.690	-38215.470
