Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.475	0.000	392.046	20.000	4387453.000	-52305560.000
2.857	0.000	392.046	21.363	1821688.000	-44986120.000
4.177	0.000	392.046	22.819	1567339.000	-42210860.000
5.397	0.000	392.046	24.375	1550878.000	-39531630.000
6.542	0.000	392.046	26.036	1384298.000	-37110990.000
7.622	0.000	392.046	27.811	1267624.000	-34800700.000
8.645	0.000	392.046	29.707	1112628.000	-32573470.000
9.599	0.000	392.046	31.732	1049529.000	-30462960.000
10.514	0.000	392.046	33.895	937088.300	-28591680.000
11.360	0.000	392.046	36.205	1011636.000	-26827070.000
12.205	0.000	392.046	38.673	865366.500	-25167240.000
13.150	0.000	392.046	41.309	775140.700	-23564170.000
14.039	0.000	392.046	44.125	621006.500	-22064950.000
14.875	0.000	392.046	47.133	563570.700	-20714750.000
15.663	0.000	392.046	50.346	508426.600	-19308620.000
16.462	0.000	392.046	53.777	496099.700	-18187180.000
17.160	0.000	392.046	57.443	497674.900	-17079460.000
17.818	0.000	392.045	61.359	482449.100	-15985180.000
18.438	0.000	392.045	65.541	466289.100	-14966290.000
19.024	0.000	392.045	70.009	422692.900	-14031910.000
19.578	0.000	392.045	74.781	391356.200	-13146130.000
20.099	0.000	392.045	79.878	379213.600	-12328110.000
20.627	0.000	392.045	85.323	347300.300	-11553030.000
21.110	0.000	392.044	91.139	313119.100	-10829210.000
21.591	0.000	392.044	97.352	296694.700	-10160430.000
22.035	0.000	392.044	103.987	275627.200	-9512135.000
22.502	0.000	392.044	111.076	248491.600	-8917815.000
22.977	0.000	392.044	118.647	236243.600	-8361609.000
23.381	0.000	392.044	126.735	220901.000	-7834925.000
23.893	0.000	392.044	135.373	205295.200	-7335899.000
24.262	0.000	392.045	144.601	199217.100	-6876280.000
24.714	0.000	392.045	154.458	186161.800	-6441874.000
25.051	0.000	392.045	164.986	160735.900	-6042496.000
25.414	0.000	392.045	176.232	150397.200	-5661726.000
25.752	0.000	392.045	188.245	139094.600	-5307923.000
26.071	0.000	392.045	201.077	128933.600	-4974343.000
26.376	0.000	392.045	214.783	120101.200	-4660672.000
26.640	0.000	392.045	229.423	112518.000	-4367964.000
26.904	0.000	392.046	245.062	106141.800	-4095678.000
27.175	0.000	392.046	261.766	95376.910	-3836477.000
27.478	0.000	392.046	279.609	89079.340	-3592736.000
27.740	0.000	392.046	298.669	83340.880	-3366320.000
28.016	0.000	392.046	319.027	76995.870	-3155613.000
28.328	0.000	392.045	340.773	71786.990	-2957456.000
28.563	0.000	392.045	364.002	67397.370	-2771922.000
28.865	0.000	392.045	388.814	62003.830	-2597353.000
29.101	0.000	392.045	415.317	57271.900	-2433550.000
29.328	0.000	392.045	443.627	53603.530	-2279857.000
29.581	0.000	392.045	473.866	49663.510	-2135975.000
29.848	0.000	392.045	506.167	46400.740	-2002113.000
30.064	0.000	392.045	540.670	42513.670	-1875927.000
30.276	0.000	392.045	577.524	39972.140	-1758807.000
30.532	0.000	392.045	616.890	37213.100	-1647465.000
30.818	0.000	392.045	658.940	34476.590	-1543351.000
31.042	0.000	392.045	703.857	32164.940	-1446013.000
31.253	0.000	392.045	751.834	30023.320	-1354959.000
31.531	0.000	392.045	803.083	27731.520	-1269908.000
31.807	0.000	392.045	857.824	25983.500	-1189806.000
32.068	0.000	392.045	916.297	24240.730	-1114977.000
32.298	0.000	392.045	978.756	22518.980	-1044692.000
32.906	0.000	392.045	1045.472	21105.560	-979092.100
33.452	0.000	392.045	1116.736	19485.870	-917395.300
34.034	0.000	392.045	1192.857	18050.490	-859307.000
34.558	0.000	392.045	1274.167	16764.530	-805342.400
35.014	0.000	392.045	1361.020	15629.470	-754509.000
35.435	0.000	392.046	1453.793	14558.200	-707056.900
