Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.471	0.000	406.075	20.000	3861449.000	-45098710.000
2.854	0.000	406.074	21.363	1866763.000	-43947590.000
4.154	0.000	406.072	22.819	1754702.000	-41027800.000
5.405	0.000	406.070	24.375	1579643.000	-38525200.000
6.590	0.000	406.067	26.036	1477050.000	-36103720.000
7.670	0.000	406.064	27.811	1341008.000	-33867980.000
8.682	0.000	406.062	29.707	1233401.000	-31737600.000
9.633	0.000	406.060	31.732	1142994.000	-29788420.000
10.532	0.000	406.058	33.895	996263.500	-27820690.000
11.390	0.000	406.056	36.205	942233.600	-26115620.000
12.187	0.000	406.054	38.673	964915.800	-24493530.000
13.132	0.000	406.052	41.309	826303.200	-22928750.000
14.030	0.000	406.050	44.125	656409.800	-21478820.000
14.909	0.000	406.048	47.133	577400.200	-20117210.000
15.695	0.000	406.046	50.346	464519.800	-18879000.000
16.439	0.000	406.044	53.777	497917.100	-17688610.000
17.138	0.000	406.042	57.443	506918.200	-16602610.000
17.800	0.000	406.041	61.359	523773.300	-15569060.000
18.422	0.000	406.040	65.541	486796.800	-14609990.000
19.009	0.000	406.039	70.009	455370.400	-13683890.000
19.560	0.000	406.038	74.781	420180.300	-12824740.000
20.097	0.000	406.038	79.878	375505.700	-12018850.000
20.612	0.000	406.037	85.323	357153.900	-11261790.000
21.091	0.000	406.037	91.139	323361.000	-10557110.000
21.578	0.000	406.036	97.352	309094.200	-9888763.000
22.065	0.000	406.036	103.987	278996.500	-9271687.000
22.501	0.000	406.036	111.076	264563.800	-8692059.000
22.980	0.000	406.036	118.647	246672.200	-8144921.000
23.398	0.000	406.036	126.735	224998.200	-7638313.000
23.802	0.000	406.035	135.373	209744.100	-7159539.000
24.182	0.000	406.035	144.601	205244.000	-6701594.000
24.563	0.000	406.034	154.458	189395.500	-6276776.000
24.905	0.000	406.034	164.986	168680.100	-5888654.000
25.219	0.000	406.034	176.232	157784.700	-5518974.000
25.569	0.000	406.034	188.245	144015.600	-5174744.000
25.846	0.000	406.034	201.077	133754.600	-4850077.000
26.136	0.000	406.034	214.783	124675.000	-4542765.000
26.423	0.000	406.033	229.423	116275.400	-4258138.000
26.709	0.000	406.033	245.062	109249.000	-3993202.000
27.014	0.000	406.033	261.766	101001.500	-3741390.000
27.257	0.000	406.033	279.609	92316.130	-3504920.000
27.536	0.000	406.033	298.669	86689.240	-3283229.000
27.800	0.000	406.033	319.027	80212.790	-3078803.000
28.050	0.000	406.033	340.773	74232.020	-2885078.000
28.303	0.000	406.033	364.002	68492.920	-2702551.000
28.573	0.000	406.033	388.814	64849.180	-2533101.000
28.826	0.000	406.032	415.317	60117.370	-2373945.000
29.098	0.000	406.032	443.627	56327.990	-2224539.000
29.362	0.000	406.032	473.866	52087.890	-2085383.000
29.622	0.000	406.032	506.167	47904.590	-1953445.000
29.843	0.000	406.031	540.670	44583.330	-1830704.000
30.153	0.000	406.031	577.524	41602.310	-1715633.000
30.407	0.000	406.031	616.890	38353.950	-1607229.000
30.637	0.000	406.031	658.940	35787.480	-1506521.000
30.836	0.000	406.031	703.857	33079.300	-1411388.000
31.025	0.000	406.031	751.834	30887.490	-1323016.000
31.272	0.000	406.031	803.083	28885.920	-1239659.000
31.481	0.000	406.030	857.824	26564.770	-1161384.000
31.678	0.000	406.030	916.297	24779.350	-1088427.000
31.880	0.000	406.030	978.756	23253.040	-1019951.000
32.490	0.000	406.030	1045.472	21416.130	-955787.200
33.035	0.000	406.030	1116.736	20180.870	-895770.300
33.494	0.000	406.031	1192.857	18629.190	-839641.400
34.020	0.000	406.031	1274.167	17367.830	-786700.500
34.476	0.000	406.031	1361.020	16328.730	-737105.700
34.889	0.000	406.031	1453.793	15085.470	-690785.000
35.322	0.000	406.032	1552.890	14088.070	-647138.600
35.681	0.000	406.032	1658.741	13170.680	-606382.900
36.073	0.000	406.032	1771.808	12289.860	-567999.400
36.465	0.000	406.032	1892.582	11380.870	-532333.400
36.818	0.000	406.032	2021.589	10643.890	-498814.000
37.186	0.000	406.033	2159.389	9951.069	-467383.500
37.514	0.000	406.033	2306.582	9241.504	-437858.300
37.821	0.000	406.033	2463.808	8596.221	-410358.200
38.123	0.000	406.033	2631.752	8042.491	-384469.300
38.435	0.000	406.033	2811.143	7451.168	-360228.600
38.713	0.000	406.034	3002.763	7003.711	-337568.300
39.067	0.000	406.034	3207.444	6507.875	-316270.600
39.368	0.000	406.034	3426.077	6091.191	-296358.200
39.646	0.000	406.034	3659.613	5683.213	-277647.100
39.894	0.000	406.034	3909.068	5325.916	-260161.200
40.327	0.000	406.034	4175.526	4994.579	-243761.200
40.687	0.000	406.034	4460.148	4635.628	-228382.600
41.050	0.000	406.035	4764.171	4292.375	-213950.600
41.397	0.000	406.035	5088.917	4022.099	-200491.100
41.721	0.000	406.035	5435.799	3814.817	-187852.700
42.029	0.000	406.035	5806.326	3544.053	-175971.500
42.310	0.000	406.036	6202.110	3320.434	-164936.100
42.586	0.000	406.036	6624.872	3090.357	-154459.300
42.891	0.000	406.036	7076.452	2882.841	-144754.100
43.199	0.000	406.036	7558.813	2677.761	-135672.400
43.536	0.000	406.036	8074.054	2521.479	-127071.100
43.839	0.000	406.036	8624.416	2308.038	-119027.100
44.121	0.000	406.036	9212.292	2180.907	-111599.300
44.420	0.000	406.036	9840.241	2037.839	-104524.100
44.691	0.000	406.036	10510.994	1934.548	-97917.030
44.986	0.000	406.036	11227.468	1814.676	-91730.880
45.238	0.000	406.036	11992.780	1675.872	-85947.590
45.504	0.000	406.036	12810.259	1587.683	-80529.330
45.774	0.000	406.037	13683.461	1486.646	-75441.180
46.110	0.000	406.037	14616.184	1400.463	-70684.330
46.404	0.000	406.037	15612.485	1304.344	-66234.740
46.676	0.000	406.037	16676.698	1231.406	-62061.000
46.907	0.000	406.037	17813.453	1152.788	-58138.780
47.210	0.000	406.037	19027.694	1076.823	-54462.520
47.476	0.000	406.037	20324.702	1018.968	-51044.650
47.746	0.000	406.038	21710.121	945.955	-47788.900
48.075	0.000	406.038	23189.975	886.726	-44799.240
48.346	0.000	406.038	24770.702	835.119	-41976.690
48.649	0.000	406.038	26459.178	780.571	-39323.700
48.931	0.000	406.038	28262.749	721.724	-36831.640
49.225	0.000	406.039	30189.258	701.147	-34509.650
49.519	0.000	406.039	32247.086	646.651	-32335.500
