Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.475	0.000	306.095	20.000	7080214.000	-62867560.000
2.859	0.000	306.095	21.363	2052255.000	-66166600.000
4.158	0.000	306.094	22.819	2177337.000	-61856780.000
5.378	0.000	306.094	24.375	1999255.000	-57972860.000
6.524	0.000	306.094	26.036	1757074.000	-54222370.000
7.605	0.000	306.093	27.811	1559190.000	-50733920.000
8.619	0.000	306.093	29.707	1429372.000	-47432450.000
9.606	0.000	306.093	31.732	1366860.000	-44531670.000
10.505	0.000	306.093	33.895	1416480.000	-41913050.000
11.353	0.000	306.093	36.205	1098547.000	-39119760.000
12.151	0.000	306.093	38.673	1049466.000	-36836950.000
13.095	0.000	306.092	41.309	949793.400	-34399810.000
13.983	0.000	306.092	44.125	821084.500	-32197610.000
14.869	0.000	306.091	47.133	599740.800	-30141240.000
15.654	0.000	306.091	50.346	452301.500	-28106560.000
16.395	0.000	306.091	53.777	525123.500	-26487390.000
17.095	0.000	306.091	57.443	623497.100	-24895270.000
17.755	0.000	306.091	61.359	595508.700	-23318060.000
18.409	0.000	306.091	65.541	605525.400	-21849100.000
18.992	0.000	306.091	70.009	533423.000	-20465680.000
19.542	0.000	306.091	74.781	490693.800	-19200820.000
20.064	0.000	306.092	79.878	478180.200	-17966590.000
20.565	0.000	306.092	85.323	418592.800	-16848550.000
21.045	0.000	306.092	91.139	418427.500	-15790810.000
21.529	0.000	306.092	97.352	403263.800	-14783210.000
21.991	0.000	306.092	103.987	351066.100	-13851450.000
22.511	0.000	306.093	111.076	332818.300	-12987320.000
22.961	0.000	306.093	118.647	310967.200	-12181120.000
23.353	0.000	306.092	126.735	292545.500	-11413890.000
23.775	0.000	306.093	135.373	265601.200	-10691940.000
24.184	0.000	306.093	144.601	241640.900	-9998974.000
24.538	0.000	306.093	154.458	218566.500	-9392468.000
24.896	0.000	306.093	164.986	223034.600	-8796635.000
25.203	0.000	306.093	176.232	200116.100	-8242480.000
25.520	0.000	306.093	188.245	193620.400	-7725215.000
25.870	0.000	306.093	201.077	178612.300	-7240709.000
26.145	0.000	306.093	214.783	165327.900	-6785375.000
26.459	0.000	306.093	229.423	155150.400	-6358758.000
26.716	0.000	306.093	245.062	149489.800	-5953407.000
