Time (s)	Light (A)	T (K)	f (Hz)	R (Ohm)	X (Ohm)
1.472	0.000	370.023	20.000	6775070.000	-50147020.000
2.880	0.000	370.023	21.363	1919299.000	-48491390.000
4.180	0.000	370.023	22.819	1670463.000	-45405310.000
5.400	0.000	370.023	24.375	1516895.000	-42649850.000
6.547	0.000	370.023	26.036	1412078.000	-39909110.000
7.625	0.000	370.023	27.811	1311311.000	-37362680.000
8.639	0.000	370.023	29.707	1211259.000	-35067180.000
9.593	0.000	370.022	31.732	1112569.000	-32896490.000
10.516	0.000	370.022	33.895	921174.700	-30740600.000
11.361	0.000	370.022	36.205	954123.500	-28759720.000
12.158	0.000	370.022	38.673	793639.500	-27008180.000
13.101	0.000	370.021	41.309	754786.800	-25307300.000
13.989	0.000	370.020	44.125	652947.800	-23726690.000
14.823	0.000	370.020	47.133	491889.000	-22178410.000
15.610	0.000	370.020	50.346	480316.700	-20843220.000
16.349	0.000	370.020	53.777	452275.100	-19533320.000
17.047	0.000	370.020	57.443	495731.400	-18325930.000
17.705	0.000	370.020	61.359	481974.500	-17182680.000
18.333	0.000	370.020	65.541	478754.900	-16084140.000
18.945	0.000	370.020	70.009	411714.400	-15067690.000
19.498	0.000	370.020	74.781	382594.500	-14121610.000
20.020	0.000	370.020	79.878	379650.700	-13225290.000
20.517	0.000	370.020	85.323	327174.100	-12403570.000
21.010	0.000	370.020	91.139	319233.800	-11614430.000
21.476	0.000	370.021	97.352	297685.400	-10893480.000
21.938	0.000	370.021	103.987	274675.500	-10204290.000
22.478	0.000	370.021	111.076	248324.600	-9566067.000
22.960	0.000	370.021	118.647	231186.900	-8968995.000
23.376	0.000	370.021	126.735	216400.600	-8399819.000
23.834	0.000	370.021	135.373	205153.700	-7877763.000
24.193	0.000	370.021	144.601	203818.900	-7379951.000
24.629	0.000	370.021	154.458	186126.900	-6911671.000
24.956	0.000	370.021	164.986	160688.900	-6479491.000
25.286	0.000	370.021	176.232	150513.600	-6069421.000
25.617	0.000	370.021	188.245	139138.800	-5691031.000
25.929	0.000	370.021	201.077	130032.500	-5332907.000
26.245	0.000	370.021	214.783	121217.500	-4994110.000
26.505	0.000	370.021	229.423	112600.400	-4682076.000
26.806	0.000	370.021	245.062	103340.200	-4385987.000
27.082	0.000	370.021	261.766	96568.450	-4106104.000
27.398	0.000	370.021	279.609	90727.950	-3850203.000
27.746	0.000	370.021	298.669	84512.840	-3608670.000
28.035	0.000	370.021	319.027	78413.270	-3381570.000
28.294	0.000	370.021	340.773	73344.300	-3168483.000
28.612	0.000	370.021	364.002	67430.040	-2967682.000
28.904	0.000	370.021	388.814	62570.110	-2782197.000
29.138	0.000	370.021	415.317	58712.830	-2606903.000
29.373	0.000	370.021	443.627	54328.640	-2442360.000
29.675	0.000	370.021	473.866	51074.210	-2288675.000
29.897	0.000	370.021	506.167	46733.040	-2145726.000
30.172	0.000	370.021	540.670	44092.040	-2009811.000
30.390	0.000	370.021	577.524	41017.550	-1883112.000
30.656	0.000	370.021	616.890	38587.080	-1763835.000
30.929	0.000	370.021	658.940	35777.270	-1653336.000
31.135	0.000	370.021	703.857	33598.600	-1548847.000
31.343	0.000	370.021	751.834	31600.830	-1451370.000
31.578	0.000	370.021	803.083	29643.910	-1359466.000
31.798	0.000	370.021	857.824	27190.260	-1274051.000
31.994	0.000	370.021	916.297	25627.160	-1193761.000
32.243	0.000	370.022	978.756	23602.370	-1118593.000
32.856	0.000	370.022	1045.472	21951.950	-1048171.000
33.404	0.000	370.022	1116.736	20617.880	-981866.400
33.947	0.000	370.022	1192.857	19468.610	-920098.600
34.432	0.000	370.022	1274.167	17802.980	-862050.000
34.882	0.000	370.022	1361.020	16725.510	-807838.200
35.318	0.000	370.022	1453.793	15698.390	-756933.400
35.716	0.000	370.022	1552.890	14720.920	-709083.600
36.081	0.000	370.022	1658.741	13606.900	-664407.900
36.415	0.000	370.022	1771.808	12756.760	-622517.100
36.768	0.000	370.023	1892.582	11896.240	-583210.600
37.149	0.000	370.023	2021.589	11109.630	-546553.200
37.501	0.000	370.023	2159.389	10361.730	-512066.500
37.806	0.000	370.023	2306.582	9635.842	-479721.200
38.148	0.000	370.023	2463.808	9086.844	-449496.900
38.494	0.000	370.023	2631.752	8474.221	-421173.000
38.798	0.000	370.023	2811.143	7908.832	-394598.700
39.093	0.000	370.023	3002.763	7491.431	-369673.700
39.400	0.000	370.023	3207.444	7000.639	-346412.500
39.662	0.000	370.023	3426.077	6418.060	-324476.800
39.957	0.000	370.023	3659.613	6064.574	-304132.200
40.248	0.000	370.023	3909.068	5693.896	-284911.000
40.631	0.000	370.023	4175.526	5386.111	-266929.900
40.953	0.000	370.023	4460.148	4991.435	-250090.100
41.305	0.000	370.024	4764.171	4749.048	-234324.400
41.648	0.000	370.024	5088.917	4452.806	-219504.300
41.966	0.000	370.024	5435.799	4113.754	-205711.700
42.236	0.000	370.024	5806.326	3898.617	-192671.200
42.528	0.000	370.024	6202.110	3601.210	-180585.800
42.828	0.000	370.024	6624.872	3358.460	-169225.000
43.163	0.000	370.025	7076.452	3186.240	-158583.000
43.476	0.000	370.025	7558.813	3049.963	-148590.700
43.787	0.000	370.025	8074.054	2788.308	-139154.400
44.112	0.000	370.025	8624.416	2606.582	-130364.700
44.358	0.000	370.025	9212.292	2428.904	-122126.000
44.640	0.000	370.025	9840.241	2339.240	-114426.900
44.913	0.000	370.025	10510.994	2193.232	-107225.900
45.198	0.000	370.025	11227.468	2053.270	-100480.700
45.472	0.000	370.025	11992.780	1929.443	-94107.480
45.744	0.000	370.025	12810.259	1808.380	-88210.460
46.026	0.000	370.025	13683.461	1701.990	-82653.590
46.309	0.000	370.025	14616.184	1602.849	-77445.470
46.557	0.000	370.025	15612.485	1501.546	-72547.090
46.874	0.000	370.025	16676.698	1408.656	-67973.290
47.163	0.000	370.025	17813.453	1330.995	-63682.480
47.464	0.000	370.024	19027.694	1249.178	-59684.320
47.772	0.000	370.024	20324.702	1170.373	-55924.960
48.037	0.000	370.024	21710.121	1105.323	-52408.400
48.350	0.000	370.024	23189.975	1026.635	-49075.630
48.630	0.000	370.024	24770.702	980.770	-45978.430
48.886	0.000	370.024	26459.178	926.099	-43089.600
49.169	0.000	370.024	28262.749	851.456	-40373.240
49.467	0.000	370.024	30189.258	797.320	-37815.580
49.741	0.000	370.024	32247.086	780.139	-35429.890
50.019	0.000	370.024	34445.185	727.726	-33206.440
50.291	0.000	370.024	36793.115	692.072	-31113.540
50.576	0.000	370.024	39301.090	646.227	-29153.060
50.807	0.000	370.023	41980.020	608.850	-27317.740
51.178	0.000	370.023	44841.556	574.784	-25594.520
51.607	0.000	370.023	47898.147	543.836	-23984.360
51.971	0.000	370.023	51163.089	512.826	-22473.530
52.332	0.000	370.023	54650.583	484.246	-21061.630
52.671	0.000	370.023	58375.799	451.158	-19732.330
52.969	0.000	370.023	62354.942	421.712	-18505.430
53.397	0.000	370.023	66605.320	404.707	-17321.440
53.722	0.000	370.023	71145.421	385.799	-16230.180
54.008	0.000	370.023	75994.996	365.397	-15216.070
54.291	0.000	370.023	81175.138	347.498	-14248.730
54.620	0.000	370.023	86708.381	323.117	-13361.010
54.919	0.000	370.023	92618.793	305.994	-12512.910
55.224	0.000	370.023	98932.084	287.197	-11731.770
55.562	0.000	370.023	105675.715	256.478	-11005.010
55.838	0.000	370.023	112879.022	258.558	-10285.470
56.124	0.000	370.023	120573.336	222.800	-9662.040
56.453	0.000	370.023	128792.127	232.185	-9060.139
56.766	0.000	370.023	137571.146	216.863	-8475.172
57.154	0.000	370.023	146948.581	205.018	-7943.506
57.405	0.000	370.023	156965.221	192.720	-7443.774
57.739	0.000	370.023	167664.638	183.319	-6975.851
57.999	0.000	370.023	179093.373	178.026	-6534.993
58.296	0.000	370.023	191301.139	167.930	-6123.975
58.595	0.000	370.023	204341.039	158.783	-5738.660
58.912	0.000	370.023	218269.793	149.766	-5380.341
59.197	0.000	370.023	233147.990	149.630	-5031.014
59.522	0.000	370.023	249040.349	135.935	-4723.190
59.836	0.000	370.022	266015.998	127.537	-4425.088
60.169	0.000	370.022	284148.780	121.979	-4146.575
60.494	0.000	370.022	303517.570	116.737	-3883.144
60.965	0.000	370.021	324206.618	109.842	-3639.256
61.317	0.000	370.021	346305.920	105.752	-3411.047
61.637	0.000	370.021	369911.605	100.426	-3195.897
61.956	0.000	370.020	395126.353	95.517	-2994.111
62.213	0.000	370.020	422059.846	91.928	-2803.384
62.515	0.000	370.020	450829.241	88.176	-2628.158
62.821	0.000	370.020	481559.679	83.879	-2460.408
63.091	0.000	370.020	514384.835	79.798	-2306.444
63.396	0.000	370.020	549447.493	75.708	-2159.845
63.725	0.000	370.020	586900.171	73.024	-2021.101
63.967	0.000	370.020	626905.783	71.990	-1893.726
64.277	0.000	370.019	669638.348	68.122	-1773.894
64.657	0.000	370.019	715283.746	66.334	-1660.871
64.916	0.000	370.019	764040.529	63.168	-1551.742
65.223	0.000	370.019	816120.781	60.515	-1456.788
65.552	0.000	370.019	871751.044	57.227	-1363.378
65.827	0.000	370.019	931173.304	55.124	-1275.252
66.095	0.000	370.019	994646.037	53.288	-1191.934
66.408	0.000	370.019	1062445.341	-5.663	-1108.146
66.726	0.000	370.019	1134866.134	-7.208	-1037.410
